Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Captain N'ghathrod,Battle for Baldur's Gate Commander Decks,1,FALSE,0.00,Mythic Rare,646,55c02dc8-0743-400c-b334-ca029caf0463,646,clb,mythic
"Faldorn, Dread Wolf Herald",Battle for Baldur's Gate Commander Decks,1,FALSE,0.00,Mythic Rare,647,213e530e-33a9-4358-b43b-4a276a7e7190,647,clb,mythic
"Firkraag, Cunning Instigator",Battle for Baldur's Gate Commander Decks,1,FALSE,0.00,Mythic Rare,648,b55e624b-6f6a-42ae-89aa-0cc62ee55a31,648,clb,mythic
Nalia de'Arnise,Battle for Baldur's Gate Commander Decks,1,FALSE,0.00,Mythic Rare,649,7a1294fd-9885-4dfd-8192-0ca074fc83f7,649,clb,mythic
Folk Hero,Battle for Baldur's Gate Commander Decks,1,FALSE,0.00,Mythic Rare,650,a8b3aae8-fc36-45ed-84ed-efb8f543cada,650,clb,mythic
Clan Crafter,Battle for Baldur's Gate Commander Decks,1,FALSE,0.00,Mythic Rare,651,3e82f96f-bd2b-4672-b729-c44c943fcac9,651,clb,mythic
"Zellix, Sanity Flayer",Battle for Baldur's Gate Commander Decks,1,FALSE,0.00,Mythic Rare,652,a5d57db6-0aa5-4e28-b156-e97b74af2cee,652,clb,mythic
"Burakos, Party Leader",Battle for Baldur's Gate Commander Decks,1,FALSE,0.00,Mythic Rare,653,899e278d-5d4e-461a-9878-2b85de16b38d,653,clb,mythic
Haunted One,Battle for Baldur's Gate Commander Decks,1,FALSE,0.00,Mythic Rare,654,dc53b1af-0f4a-4475-a131-27cb5d5b0cf1,654,clb,mythic
"Baeloth Barrityl, Entertainer",Battle for Baldur's Gate Commander Decks,1,FALSE,0.00,Mythic Rare,655,ec983aac-9eda-4086-ad7e-34da9b2987cc,655,clb,mythic
Passionate Archaeologist,Battle for Baldur's Gate Commander Decks,1,FALSE,0.00,Mythic Rare,656,bd5bbfa6-e5f4-413d-b132-ebae32d38657,656,clb,mythic
Durnan of the Yawning Portal,Battle for Baldur's Gate Commander Decks,1,FALSE,0.00,Mythic Rare,657,53f287c1-bd17-43fd-b0e3-b52472b0aa70,657,clb,mythic
Deep Gnome Terramancer,Battle for Baldur's Gate Commander Decks,1,FALSE,4.43,Rare,658,cc75f9f1-5873-450f-a0b2-871b55036954,658,clb,rare
Harper Recruiter,Battle for Baldur's Gate Commander Decks,1,FALSE,0.25,Rare,659,6bb131fd-d96f-43e0-a40d-fa6394a4b75c,659,clb,rare
Seasoned Dungeoneer,Battle for Baldur's Gate Commander Decks,1,FALSE,5.17,Rare,660,7fee3f76-20a8-4621-84fb-ddf79c955532,660,clb,rare
Stick Together,Battle for Baldur's Gate Commander Decks,1,FALSE,0.27,Rare,661,8d77a57a-e30b-46d7-acb8-1d164c7dff78,661,clb,rare
Aboleth Spawn,Battle for Baldur's Gate Commander Decks,1,FALSE,3.78,Rare,662,51889b3f-082a-40e9-8be7-11f8c1a7a9a8,662,clb,rare
Artificer Class,Battle for Baldur's Gate Commander Decks,1,FALSE,7.04,Rare,663,cf4e9335-06e3-4b27-8fd8-3e44ece89a36,663,clb,rare
Astral Dragon,Battle for Baldur's Gate Commander Decks,1,FALSE,5.75,Rare,664,670fbc63-4c9b-4e57-b53e-4ca4d7a224ba,664,clb,rare
Endless Evil,Battle for Baldur's Gate Commander Decks,1,FALSE,2.80,Rare,665,804b3378-b330-45d2-9e2c-602ec080f285,665,clb,rare
Grell Philosopher,Battle for Baldur's Gate Commander Decks,1,FALSE,0.50,Rare,666,e18bb373-a0bb-4e3c-b7db-83f747820fcd,666,clb,rare
Mocking Doppelganger,Battle for Baldur's Gate Commander Decks,1,FALSE,1.22,Rare,667,6c5f81d8-b189-4f6e-872f-a237bb872aa9,667,clb,rare
Psionic Ritual,Battle for Baldur's Gate Commander Decks,1,FALSE,0.35,Rare,668,9eb36d21-0136-4fee-a348-92a99b7c5305,668,clb,rare
Black Market Connections,Battle for Baldur's Gate Commander Decks,1,FALSE,10.75,Rare,669,d13cb0d3-3452-4c1f-81ec-024b4c45bbad,669,clb,rare
Brainstealer Dragon,Battle for Baldur's Gate Commander Decks,1,FALSE,3.25,Rare,670,0984b1f1-dfc8-4cb9-90a3-e084950438bf,670,clb,rare
From the Catacombs,Battle for Baldur's Gate Commander Decks,1,FALSE,0.99,Rare,671,08737950-4662-4d36-a1ea-6fd87e38c02b,671,clb,rare
Solemn Doomguide,Battle for Baldur's Gate Commander Decks,1,FALSE,0.25,Rare,672,b467929d-5fc3-4104-8a29-a8157835f274,672,clb,rare
Uchuulon,Battle for Baldur's Gate Commander Decks,1,FALSE,1.00,Rare,673,ecef5fca-72ec-4aee-af6e-ee5d6f6bc567,673,clb,rare
Bothersome Quasit,Battle for Baldur's Gate Commander Decks,1,FALSE,7.98,Rare,674,6e9a0a23-cd62-4762-b751-ac0159a1b3c5,674,clb,rare
Death Kiss,Battle for Baldur's Gate Commander Decks,1,FALSE,3.29,Rare,675,537b9888-70c5-4bee-8f26-d1457fdf1167,675,clb,rare
Delayed Blast Fireball,Battle for Baldur's Gate Commander Decks,1,FALSE,12.32,Rare,676,e59903e3-a344-4218-9d41-8b19a9bc8311,676,clb,rare
Loot Dispute,Battle for Baldur's Gate Commander Decks,1,FALSE,0.41,Rare,677,0669a2bb-11c7-45d8-9299-09246ff4e72c,677,clb,rare
Nalfeshnee,Battle for Baldur's Gate Commander Decks,1,FALSE,6.25,Rare,678,b7717617-706a-4338-a207-dd8c08feb1c3,678,clb,rare
Spectacular Showdown,Battle for Baldur's Gate Commander Decks,1,FALSE,0.50,Rare,679,d5b1cbee-528f-48f7-b7c9-16aa3dab850a,679,clb,rare
Green Slime,Battle for Baldur's Gate Commander Decks,1,FALSE,1.60,Rare,680,b1beaaae-9406-4beb-8e74-d278822434c7,680,clb,rare
Journey to the Lost City,Battle for Baldur's Gate Commander Decks,1,FALSE,0.27,Rare,681,967b19ce-062d-470c-8716-425a8dec0e18,681,clb,rare
Tlincalli Hunter // Retrieve Prey,Battle for Baldur's Gate Commander Decks,1,FALSE,0.76,Rare,682,45b5d677-ff77-47ce-8612-bae70c326e4e,682,clb,rare
Venture Forth,Battle for Baldur's Gate Commander Decks,1,FALSE,0.45,Rare,683,bb4db814-3821-47ea-9e33-0e9f49128a36,683,clb,rare
Multiclass Baldric,Battle for Baldur's Gate Commander Decks,1,FALSE,0.47,Rare,684,dbb7927d-c3c4-4464-8ada-bcd8466b2012,684,clb,rare
Sarevok's Tome,Battle for Baldur's Gate Commander Decks,1,FALSE,1.00,Rare,685,5a470690-a05d-4311-963c-50cbf779846d,685,clb,rare
Archpriest of Iona,Battle for Baldur's Gate Commander Decks,1,FALSE,0.25,Rare,686,0b0b1acd-68e5-4922-8b51-06fa7eda984c,686,clb,rare
Austere Command,Battle for Baldur's Gate Commander Decks,1,FALSE,0.60,Rare,687,3d24036e-075f-4991-a740-a9d943722ad2,687,clb,rare
Aven Mindcensor,Battle for Baldur's Gate Commander Decks,1,FALSE,0.50,Uncommon,688,d4cf468f-4e9d-4551-a0ed-10bd6a2316ad,688,clb,uncommon
Bygone Bishop,Battle for Baldur's Gate Commander Decks,1,FALSE,0.25,Rare,689,cf879fc7-9f84-40a7-a7be-9cc98a720af5,689,clb,rare
