Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
"Arthur, Marigold Knight (Extended Art)",Bloomburrow Commander Variants,1,FALSE,0.67,Mythic Rare,41,,,,
Mr. Foxglove (Extended Art),Bloomburrow Commander Variants,1,TRUE,1.11,Mythic Rare,42,,,,
The Odd Acorn Gang (Extended Art),Bloomburrow Commander Variants,1,TRUE,2.07,Mythic Rare,43,,,,
"Wildsear, Scouring Maw (Extended Art)",Bloomburrow Commander Variants,1,FALSE,4.10,Mythic Rare,44,,,,
Jacked Rabbit (Extended Art),Bloomburrow Commander Variants,1,FALSE,6.78,Rare,45,,,,
Murmuration (Extended Art),Bloomburrow Commander Variants,1,FALSE,0.54,Rare,46,,,,
Perch Protection (Extended Art),Bloomburrow Commander Variants,1,FALSE,2.50,Rare,47,,,,
Steelburr Champion (Extended Art),Bloomburrow Commander Variants,1,FALSE,0.50,Rare,48,,,,
Tempt with Bunnies (Extended Art),Bloomburrow Commander Variants,1,FALSE,5.71,Rare,49,,,,
Pollywog Prodigy (Extended Art),Bloomburrow Commander Variants,1,FALSE,15.17,Rare,50,,,,
Twenty-Toed Toad (Extended Art),Bloomburrow Commander Variants,1,FALSE,6.68,Rare,51,,,,
Hazel's Brewmaster (Extended Art),Bloomburrow Commander Variants,1,FALSE,8.57,Rare,52,,,,
Insatiable Frugivore (Extended Art),Bloomburrow Commander Variants,1,FALSE,0.40,Rare,53,,,,
Moonstone Eulogist (Extended Art),Bloomburrow Commander Variants,1,FALSE,0.45,Rare,54,,,,
Swarmyard Massacre (Extended Art),Bloomburrow Commander Variants,1,FALSE,5.58,Rare,55,,,,
Agate Instigator (Extended Art),Bloomburrow Commander Variants,1,FALSE,12.10,Rare,56,,,,
Calamity of Cinders (Extended Art),Bloomburrow Commander Variants,1,FALSE,0.49,Rare,57,,,,
Echoing Assault (Extended Art),Bloomburrow Commander Variants,1,FALSE,1.94,Rare,58,,,,
Prosperous Bandit (Extended Art),Bloomburrow Commander Variants,1,FALSE,0.67,Rare,59,,,,
Pyreswipe Hawk (Extended Art),Bloomburrow Commander Variants,1,FALSE,0.35,Rare,60,,,,
Bloodroot Apothecary (Extended Art),Bloomburrow Commander Variants,1,FALSE,4.53,Rare,61,,,,
Communal Brewing (Extended Art),Bloomburrow Commander Variants,1,FALSE,1.89,Rare,63,,,,
Evercoat Ursine (Extended Art),Bloomburrow Commander Variants,1,FALSE,0.50,Rare,64,,,,
Rootcast Apprenticeship (Extended Art),Bloomburrow Commander Variants,1,FALSE,2.35,Rare,65,,,,
Scurry of Squirrels (Extended Art),Bloomburrow Commander Variants,1,FALSE,2.50,Rare,66,,,,
Thickest in the Thicket (Extended Art),Bloomburrow Commander Variants,1,FALSE,2.85,Rare,67,,,,
Trailtracker Scout (Extended Art),Bloomburrow Commander Variants,1,FALSE,1.52,Rare,68,,,,
Rolling Hamsphere (Extended Art),Bloomburrow Commander Variants,1,FALSE,0.50,Rare,71,,,,
Sword of the Squeak (Extended Art),Bloomburrow Commander Variants,1,FALSE,1.86,Rare,72,,,,
"Karn, the Great Creator (Borderless)",Bloomburrow Commander Variants,1,TRUE,6.15,Mythic Rare,73,,,,
Luminous Broodmoth (Borderless),Bloomburrow Commander Variants,1,TRUE,6.21,Mythic Rare,74,,,,
"Jace, the Mind Sculptor (Borderless)",Bloomburrow Commander Variants,1,TRUE,18.57,Mythic Rare,75,,,,
"Narset, Parter of Veils (Borderless)",Bloomburrow Commander Variants,1,TRUE,2.60,Rare,76,,,,
"Ink-Eyes, Servant of Oni (Borderless)",Bloomburrow Commander Variants,1,FALSE,3.99,Rare,77,,,,
Liliana of the Dark Realms (Borderless),Bloomburrow Commander Variants,1,TRUE,14.57,Mythic Rare,78,,,,
Marrow-Gnawer (Borderless),Bloomburrow Commander Variants,1,FALSE,5.31,Rare,79,,,,
Marrow-Gnawer (Borderless),Bloomburrow Commander Variants,1,TRUE,6.49,Rare,79,,,,
Ant Queen (Borderless),Bloomburrow Commander Variants,1,TRUE,0.32,Rare,80,,,,
Birds of Paradise (Borderless),Bloomburrow Commander Variants,1,TRUE,7.08,Rare,81,,,,
"Chatterfang, Squirrel General (Borderless)",Bloomburrow Commander Variants,1,TRUE,15.63,Mythic Rare,82,,,,
Gilded Goose (Borderless),Bloomburrow Commander Variants,1,TRUE,2.08,Rare,83,,,,
"Nissa, Who Shakes the World (Borderless)",Bloomburrow Commander Variants,1,TRUE,3.29,Rare,84,,,,
Squirrel Mob (Borderless),Bloomburrow Commander Variants,1,TRUE,1.00,Rare,85,,,,
Baleful Strix (Borderless),Bloomburrow Commander Variants,1,TRUE,5.52,Rare,86,,,,
"Derevi, Empyrial Tactician (Borderless)",Bloomburrow Commander Variants,1,TRUE,2.70,Rare,87,,,,
The Gitrog Monster (Borderless),Bloomburrow Commander Variants,1,FALSE,7.50,Mythic Rare,88,,,,
"Ishai, Ojutai Dragonspeaker (Borderless)",Bloomburrow Commander Variants,1,TRUE,3.32,Mythic Rare,89,,,,
"Kwain, Itinerant Meddler (Borderless)",Bloomburrow Commander Variants,1,TRUE,0.39,Rare,90,,,,
"Kykar, Wind's Fury (Borderless)",Bloomburrow Commander Variants,1,TRUE,3.33,Mythic Rare,91,,,,
"Teferi, Time Raveler (Borderless)",Bloomburrow Commander Variants,1,TRUE,5.50,Rare,92,,,,
"Elspeth, Sun's Champion",Bloomburrow Commander Variants,1,FALSE,1.63,Mythic Rare,97,,,,
"Domri, Anarch of Bolas",Bloomburrow Commander Variants,1,FALSE,0.52,Rare,98,,,,
"Garruk, Cursed Huntsman",Bloomburrow Commander Variants,1,FALSE,1.06,Mythic Rare,99,,,,
"Tamiyo, Field Researcher",Bloomburrow Commander Variants,1,FALSE,1.52,Mythic Rare,100,,,,
