Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
The Prismatic Piper,Commander Legends,1,TRUE,0.12,Common,1,a69e6d8f-f742-4508-a83a-38ae84be228c,1,cmr,special
"Akroma, Vision of Ixidor",Commander Legends,1,FALSE,8.14,Mythic Rare,2,c0bdd07d-9fb9-4ee4-80db-494ee0cba58d,2,cmr,mythic
Akroma's Will,Commander Legends,1,FALSE,10.97,Rare,3,c281997b-1566-4469-a14c-6645f81ab023,3,cmr,rare
"Alharu, Solemn Ritualist",Commander Legends,1,FALSE,0.19,Uncommon,4,2047bfa4-3f4d-47bd-9484-545686f15b75,4,cmr,uncommon
Ancestral Blade,Commander Legends,1,TRUE,0.10,Common,5,ff8461c3-6e80-403a-b3eb-01882c841d7a,5,cmr,common
Angel of the Dawn,Commander Legends,1,FALSE,0.15,Common,6,d00ffeb5-195c-45ad-a791-ec67f463d552,6,cmr,common
Angelic Gift,Commander Legends,1,FALSE,0.20,Common,7,db0775f2-3fd9-42aa-80e3-edac67764fa2,7,cmr,common
Anointer of Valor,Commander Legends,1,FALSE,0.15,Common,8,d66fcbb8-0fa5-48a9-b40c-d5a12f09a858,8,cmr,common
Archon of Coronation,Commander Legends,1,FALSE,0.50,Mythic Rare,9,9e367c30-3b77-445e-a1fb-78f6c5971826,9,cmr,mythic
"Ardenn, Intrepid Archaeologist",Commander Legends,1,FALSE,2.99,Uncommon,10,728b802c-969b-4865-b7a0-871c585d097a,10,cmr,uncommon
Armored Skyhunter,Commander Legends,1,FALSE,3.91,Rare,11,2bf63241-9091-42f5-b997-9ce5aa3484f1,11,cmr,rare
Austere Command,Commander Legends,1,FALSE,0.71,Rare,12,ce4ec853-411d-40a3-84a7-a62b3cb57cb3,12,cmr,rare
Benevolent Blessing,Commander Legends,1,FALSE,0.25,Common,13,0d5c2401-da2c-46f9-b850-f37edcbb85cd,13,cmr,common
Cage of Hands,Commander Legends,1,FALSE,0.15,Common,14,655aefd8-8b0b-4c65-9973-376bbf05375b,14,cmr,common
Captain's Call,Commander Legends,1,TRUE,0.12,Common,15,ac907330-492d-4705-bb8a-1fdb080632e1,15,cmr,common
Court of Grace,Commander Legends,1,FALSE,1.30,Rare,16,02f0be1b-554e-4b61-b495-6e2a7369cdb1,16,cmr,rare
Court Street Denizen,Commander Legends,1,FALSE,0.17,Common,17,c45b1d32-5a3a-4ec3-af11-d0ba947de175,17,cmr,common
Dispeller's Capsule,Commander Legends,1,FALSE,0.15,Common,18,d9b717e3-4dc6-4a7d-928a-2111c8199177,18,cmr,common
Doomed Traveler,Commander Legends,1,FALSE,0.18,Common,19,5a4573af-feba-4c9d-b24b-3d15888a5ce2,19,cmr,common
Faith's Fetters,Commander Legends,1,FALSE,0.20,Uncommon,20,04a7da8c-a444-4deb-89b9-2fc9e5475bff,20,cmr,uncommon
Fencing Ace,Commander Legends,1,FALSE,0.15,Uncommon,21,86d8754c-816f-4d07-8dcd-9611bf0beb87,21,cmr,uncommon
First Response,Commander Legends,1,FALSE,0.20,Uncommon,22,0270f9f2-9afe-4bbb-b14c-0e2da7f54dfc,22,cmr,uncommon
Inspiring Roar,Commander Legends,1,FALSE,0.15,Common,23,1287d422-d6b0-43eb-8e89-3d6a0201100d,23,cmr,common
Intangible Virtue,Commander Legends,1,FALSE,0.25,Uncommon,24,535764b9-67b2-4123-a4be-2aa72fcd8a33,24,cmr,uncommon
Iona's Judgment,Commander Legends,1,FALSE,0.15,Common,25,e792e689-0cf8-4bd0-b2f1-4edff9972e18,25,cmr,common
Kangee's Lieutenant,Commander Legends,1,TRUE,0.32,Uncommon,26,a0f431b3-6f4e-40a5-b9d1-f2c67b70544d,26,cmr,uncommon
Keeper of the Accord,Commander Legends,1,FALSE,0.50,Rare,27,37eec618-2c3d-423b-bbb7-72ef7deb38fc,27,cmr,rare
"Keleth, Sunmane Familiar",Commander Legends,1,FALSE,0.24,Uncommon,28,de0ba512-b6c3-4931-be05-cb6bd03a4b7c,28,cmr,uncommon
Kinsbaile Courier,Commander Legends,1,FALSE,0.15,Common,29,56b2b413-e00f-440d-9d27-92eb069b8c71,29,cmr,common
Kor Cartographer,Commander Legends,1,FALSE,0.15,Common,30,583ef638-1ea1-4301-bb86-78cb2b5f3aab,30,cmr,common
"Livio, Oathsworn Sentinel",Commander Legends,1,FALSE,0.25,Rare,31,02bce846-8049-4d5c-b0ad-8abd484e5a27,31,cmr,rare
Make a Stand,Commander Legends,1,FALSE,0.25,Uncommon,32,3a948ef4-145f-4bea-b4af-5daa951b338c,32,cmr,uncommon
Ninth Bridge Patrol,Commander Legends,1,FALSE,0.15,Common,33,4a9555fe-fa1d-4af9-90a4-c3f91e0edd9b,33,cmr,common
Open the Armory,Commander Legends,1,FALSE,2.90,Uncommon,34,6db45698-9da9-4cea-b9bf-0f84ab276b51,34,cmr,uncommon
Orzhov Advokist,Commander Legends,1,FALSE,0.20,Uncommon,35,96017805-0a26-4beb-8de3-6779c4e5633d,35,cmr,uncommon
Palace Sentinels,Commander Legends,1,FALSE,0.18,Common,36,4fd0e9a0-f974-412a-aba1-c4fb68351149,36,cmr,common
Patron of the Valiant,Commander Legends,1,FALSE,0.19,Uncommon,37,7db1e841-04e9-49ab-acbf-defd6d82140a,37,cmr,uncommon
Prava of the Steel Legion,Commander Legends,1,FALSE,0.30,Uncommon,38,e9e40e2a-e447-4754-a98b-5521e546781f,38,cmr,uncommon
Promise of Tomorrow,Commander Legends,1,FALSE,0.27,Rare,39,0ccffa9d-8896-4364-bc5c-37592d2714f9,39,cmr,rare
"Radiant, Serra Archangel",Commander Legends,1,FALSE,0.22,Uncommon,40,38b00110-e3de-40ce-b2bd-9466fe9e53a3,40,cmr,uncommon
Raise the Alarm,Commander Legends,1,FALSE,0.15,Common,41,6c7c8527-55f6-494d-b4f7-c427a5735053,41,cmr,common
"Rebbec, Architect of Ascension",Commander Legends,1,FALSE,0.25,Uncommon,42,46975250-950f-4f5d-a7c5-f61aec8e40ad,42,cmr,uncommon
Return to Dust,Commander Legends,1,FALSE,0.20,Uncommon,43,829f5785-36d8-473c-b2de-0b4635388d7e,43,cmr,uncommon
Seraph of Dawn,Commander Legends,1,FALSE,0.16,Common,44,64bf33ea-2d2d-476d-ab1d-fba204fd034b,44,cmr,common
Skywhaler's Shot,Commander Legends,1,FALSE,0.15,Common,46,3e2c5013-523f-42b2-b947-abe304a6cb84,46,cmr,common
Slash the Ranks,Commander Legends,1,FALSE,0.97,Rare,47,0913a5e8-7f77-44f2-a7cf-c8c0d6270a86,47,cmr,rare
Slaughter the Strong,Commander Legends,1,FALSE,0.25,Uncommon,48,2d986177-3814-4069-bce5-f9e54c528e85,48,cmr,uncommon
