Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
"Kozilek, the Great Distortion",Commander Masters,1,FALSE,4.11,Mythic Rare,2,c41554e7-2a07-4cc7-b01b-44deed08e588,2,cmm,mythic
"Morophon, the Boundless",Commander Masters,1,TRUE,7.37,Mythic Rare,3,84238335-e08c-421c-b9b9-70a679ff2967,3,cmm,mythic
Pathrazer of Ulamog,Commander Masters,1,TRUE,2.44,Uncommon,4,c9b1d4d8-7df9-41e0-b2d9-dbca9c9f6994,4,cmm,uncommon
"Ulamog, the Ceaseless Hunger",Commander Masters,1,FALSE,23.96,Mythic Rare,5,c74ae706-b3b3-4097-a387-6f6c38a9b603,5,cmm,mythic
Ulamog's Crusher,Commander Masters,1,TRUE,0.28,Common,6,699c0f6f-b26b-4741-8140-8a6030cad127,6,cmm,common
Ainok Bond-Kin,Commander Masters,1,TRUE,0.07,Common,7,6956c523-507c-4256-88b8-58a8a108c79f,7,cmm,common
"Alharu, Solemn Ritualist",Commander Masters,1,TRUE,0.08,Uncommon,8,3fdf5020-ea97-4f95-a096-cb5688dad2e2,8,cmm,uncommon
All That Glitters,Commander Masters,1,TRUE,0.56,Common,9,5fc0b82a-f943-4330-b9e7-bb4527354bfd,9,cmm,common
"Anafenza, Kin-Tree Spirit",Commander Masters,1,TRUE,0.18,Uncommon,11,1717da7b-9e87-4694-873b-abd4e3bcd5e2,11,cmm,uncommon
Ancestral Blade,Commander Masters,1,TRUE,0.10,Common,12,24705dee-027c-42a2-8505-66c0a34a4a58,12,cmm,common
"Baird, Steward of Argive",Commander Masters,1,TRUE,0.20,Uncommon,15,91bbe20b-0d39-46fc-a09a-fc8c676f1fe7,15,cmm,uncommon
"Balan, Wandering Knight",Commander Masters,1,TRUE,0.62,Rare,16,049ebad9-bf65-48e2-9640-c11b5f04e38b,16,cmm,rare
Battle Screech,Commander Masters,1,TRUE,0.08,Common,17,90301f8c-f7af-4179-8faf-9901931bba8d,17,cmm,common
Cartographer's Hawk,Commander Masters,1,TRUE,0.21,Uncommon,18,12d0b07f-9823-45b7-89bb-0a2a71833d46,18,cmm,uncommon
Custodi Squire,Commander Masters,1,TRUE,0.11,Common,19,1771d71b-18b1-44dd-b413-4319519b0778,19,cmm,common
"Danitha Capashen, Paragon",Commander Masters,1,TRUE,2.35,Uncommon,20,a11f77e4-edb6-43c6-b8ca-d4f62d26d0c0,20,cmm,uncommon
Darksteel Mutation,Commander Masters,1,TRUE,2.96,Uncommon,21,e47a6750-4fdd-44e2-86ae-5bc4d414bf42,21,cmm,uncommon
Elite Scaleguard,Commander Masters,1,FALSE,0.20,Uncommon,22,d0ca5bcc-f49f-4370-9f95-031836bb771b,22,cmm,uncommon
Fencing Ace,Commander Masters,1,TRUE,0.06,Uncommon,23,994094f8-e175-4e2e-aa39-c096f0ed9e6a,23,cmm,uncommon
Flawless Maneuver,Commander Masters,1,TRUE,10.57,Rare,24,ab12f69e-1491-47a8-8c46-d85bbf637ff6,24,cmm,rare
Gavony Silversmith,Commander Masters,1,TRUE,0.04,Common,25,e8d78a93-1a9f-4bc1-82b4-d3434367d27b,25,cmm,common
Generous Gift,Commander Masters,1,TRUE,1.09,Common,26,1a8c02ab-6348-4b04-8ce0-b36309a14a5e,26,cmm,common
Grand Abolisher,Commander Masters,1,FALSE,7.80,Rare,27,86e30ca4-1769-4686-aa18-31610246cd80,27,cmm,rare
"Heliod, Sun-Crowned",Commander Masters,1,FALSE,12.35,Mythic Rare,29,3245ff74-1f9c-4518-a23f-1579f338f232,29,cmm,mythic
Herald of the Host,Commander Masters,1,TRUE,0.27,Uncommon,30,e8d57d75-275d-45c8-85f4-aab230af35b2,30,cmm,uncommon
Intangible Virtue,Commander Masters,1,TRUE,0.17,Uncommon,31,7d251846-7aa5-4318-a96b-fbd9daf691f9,31,cmm,uncommon
Jazal Goldmane,Commander Masters,1,FALSE,0.26,Rare,32,616d54a1-33f7-47c9-852f-4f3a07309f27,32,cmm,rare
"Keleth, Sunmane Familiar",Commander Masters,1,TRUE,0.13,Uncommon,33,fc95324a-9a7f-4ed9-a3da-36a3eca91936,33,cmm,uncommon
"Kemba, Kha Regent",Commander Masters,1,TRUE,0.20,Uncommon,34,dacc4290-6a72-4c00-8bdd-e40ae28885a8,34,cmm,uncommon
Kirtar's Wrath,Commander Masters,1,TRUE,0.07,Uncommon,35,fbbbbbf7-eaae-462e-a8eb-7f6a97703600,35,cmm,uncommon
Knighted Myr,Commander Masters,1,TRUE,0.11,Common,36,db0489ee-96b6-4437-a716-ee07ecbd4cb7,36,cmm,common
"Losheel, Clockwork Scholar",Commander Masters,1,TRUE,1.64,Uncommon,38,ee6b54de-8e79-4f60-b642-3d259bf74ea0,38,cmm,uncommon
Loyal Retainers,Commander Masters,1,FALSE,2.00,Mythic Rare,39,c9b35e70-9a0e-4204-9454-a1f2c58eb0e0,39,cmm,mythic
Loyal Unicorn,Commander Masters,1,TRUE,0.27,Uncommon,40,c1d7203b-55ed-4d08-ac2e-2c4b4b93c274,40,cmm,uncommon
Mace of the Valiant,Commander Masters,1,TRUE,0.21,Uncommon,41,88a08aff-3a50-4f2e-97a1-f1d79d5c4ade,41,cmm,uncommon
"Mangara, the Diplomat",Commander Masters,1,TRUE,1.71,Rare,42,09e77ae5-a1a6-4e51-9853-10e81ca2dd2c,42,cmm,rare
Ministrant of Obligation,Commander Masters,1,TRUE,0.03,Common,43,30d9c9db-28a0-47fa-b561-6040e47c2392,43,cmm,common
Myrsmith,Commander Masters,1,TRUE,0.06,Common,44,78ea3e84-2d78-489f-875a-48e58c956451,44,cmm,common
"Nahiri, the Lithomancer",Commander Masters,1,TRUE,1.05,Rare,45,b074e60a-6f9b-4679-9617-261e2e15e1e8,45,cmm,rare
"Odric, Master Tactician",Commander Masters,1,TRUE,0.52,Rare,46,13bfcec9-a789-41f1-aa3d-4e4cdd7555b2,46,cmm,rare
Palace Jailer,Commander Masters,1,TRUE,0.27,Uncommon,47,a50ee31a-e80f-481a-b2e7-7a6c68eb1efb,47,cmm,uncommon
Palace Sentinels,Commander Masters,1,TRUE,0.07,Common,48,6c0bbbe0-e6cf-43df-9c44-b6bbfa9c9af7,48,cmm,common
Path to Exile,Commander Masters,1,TRUE,1.11,Uncommon,49,4970389b-08f4-4a15-a128-954b072a8137,49,cmm,uncommon
Puresteel Paladin,Commander Masters,1,TRUE,2.44,Rare,51,d8f8a324-006d-4cb8-9816-620a603b4229,51,cmm,rare
Return to Dust,Commander Masters,1,TRUE,0.16,Uncommon,52,2d57ba1d-2b43-4839-b77d-38fee2e81bf6,52,cmm,uncommon
"Sephara, Sky's Blade",Commander Masters,1,FALSE,2.88,Rare,54,729ee848-6c27-4202-b2bc-605f45209468,54,cmm,rare
Sevinne's Reclamation,Commander Masters,1,FALSE,0.41,Rare,55,51647010-99f0-4b02-8c91-fdd826db130d,55,cmm,rare
Shelter,Commander Masters,1,TRUE,0.15,Common,56,1f4fedc9-6dd1-4190-a0c9-e9d10fd91315,56,cmm,common
Smothering Tithe,Commander Masters,1,TRUE,26.45,Mythic Rare,57,861b5889-0183-4bee-afeb-a4b2aa700a8e,57,cmm,mythic
