Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Faceless One,Commander: Battle for Baldur's Gate,1,FALSE,0.15,Special,1,,,,
"Abdel Adrian, Gorion's Ward",Commander: Battle for Baldur's Gate,1,FALSE,0.20,Uncommon,2,,,,
"Abdel Adrian, Gorion's Ward",Commander: Battle for Baldur's Gate,1,TRUE,0.16,Uncommon,2,,,,
Ancient Gold Dragon,Commander: Battle for Baldur's Gate,1,TRUE,15.83,Mythic Rare,3,,,,
Archivist of Oghma,Commander: Battle for Baldur's Gate,1,FALSE,3.60,Rare,4,,,,
Ascend from Avernus,Commander: Battle for Baldur's Gate,1,TRUE,0.93,Rare,5,,,,
Astral Confrontation,Commander: Battle for Baldur's Gate,1,FALSE,0.15,Common,6,,,,
Bane's Invoker,Commander: Battle for Baldur's Gate,1,FALSE,0.15,Common,7,,,,
Banishment,Commander: Battle for Baldur's Gate,1,FALSE,0.15,Uncommon,8,,,,
Battle Angels of Tyr,Commander: Battle for Baldur's Gate,1,FALSE,12.59,Mythic Rare,9,,,,
Beckoning Will-o'-Wisp,Commander: Battle for Baldur's Gate,1,FALSE,0.15,Uncommon,10,,,,
Blessed Hippogriff // Tyr's Blessing,Commander: Battle for Baldur's Gate,1,FALSE,0.15,Common,11,,,,
Blessed Hippogriff // Tyr's Blessing,Commander: Battle for Baldur's Gate,1,TRUE,0.12,Common,11,,,,
Contraband Livestock,Commander: Battle for Baldur's Gate,1,FALSE,0.25,Uncommon,12,,,,
Contraband Livestock,Commander: Battle for Baldur's Gate,1,TRUE,0.35,Uncommon,12,,,,
Crystal Dragon // Rob the Hoard,Commander: Battle for Baldur's Gate,1,FALSE,0.20,Uncommon,13,,,,
Crystal Dragon // Rob the Hoard,Commander: Battle for Baldur's Gate,1,TRUE,0.14,Uncommon,13,,,,
Dawnbringer Cleric,Commander: Battle for Baldur's Gate,1,FALSE,0.20,Common,15,,,,
Dawnbringer Cleric,Commander: Battle for Baldur's Gate,1,TRUE,0.14,Common,15,,,,
"Ellyn Harbreeze, Busybody",Commander: Battle for Baldur's Gate,1,FALSE,0.15,Uncommon,16,,,,
"Ellyn Harbreeze, Busybody",Commander: Battle for Baldur's Gate,1,TRUE,0.19,Uncommon,16,,,,
Far Traveler,Commander: Battle for Baldur's Gate,1,FALSE,0.20,Uncommon,17,,,,
Far Traveler,Commander: Battle for Baldur's Gate,1,TRUE,0.20,Uncommon,17,,,,
Flaming Fist,Commander: Battle for Baldur's Gate,1,FALSE,0.15,Common,18,,,,
Flaming Fist,Commander: Battle for Baldur's Gate,1,TRUE,0.08,Common,18,,,,
Flaming Fist Officer,Commander: Battle for Baldur's Gate,1,FALSE,0.15,Common,19,,,,
Githzerai Monk,Commander: Battle for Baldur's Gate,1,FALSE,0.20,Uncommon,20,,,,
Githzerai Monk,Commander: Battle for Baldur's Gate,1,TRUE,0.15,Uncommon,20,,,,
Goliath Paladin,Commander: Battle for Baldur's Gate,1,FALSE,0.16,Common,21,,,,
Goliath Paladin,Commander: Battle for Baldur's Gate,1,TRUE,0.13,Common,21,,,,
Greatsword of Tyr,Commander: Battle for Baldur's Gate,1,FALSE,0.20,Common,22,,,,
Greatsword of Tyr,Commander: Battle for Baldur's Gate,1,TRUE,0.17,Common,22,,,,
Guardian Naga // Banishing Coils,Commander: Battle for Baldur's Gate,1,FALSE,0.15,Common,23,,,,
Guardian Naga // Banishing Coils,Commander: Battle for Baldur's Gate,1,TRUE,0.11,Common,23,,,,
Guiding Bolt,Commander: Battle for Baldur's Gate,1,FALSE,0.15,Common,24,,,,
Guiding Bolt,Commander: Battle for Baldur's Gate,1,TRUE,0.04,Common,24,,,,
Hammers of Moradin,Commander: Battle for Baldur's Gate,1,TRUE,0.16,Uncommon,25,,,,
Horn of Valhalla // Ysgard's Call,Commander: Battle for Baldur's Gate,1,FALSE,0.50,Rare,26,,,,
Icewind Stalwart,Commander: Battle for Baldur's Gate,1,FALSE,0.15,Common,27,,,,
Icewind Stalwart,Commander: Battle for Baldur's Gate,1,TRUE,0.10,Common,27,,,,
Inspiring Leader,Commander: Battle for Baldur's Gate,1,FALSE,0.25,Uncommon,28,,,,
"Lae'zel, Vlaakith's Champion",Commander: Battle for Baldur's Gate,1,FALSE,1.50,Rare,29,,,,
Lae'zel's Acrobatics,Commander: Battle for Baldur's Gate,1,FALSE,1.15,Rare,30,,,,
Legion Loyalty,Commander: Battle for Baldur's Gate,1,TRUE,0.90,Mythic Rare,31,,,,
"Lulu, Loyal Hollyphant",Commander: Battle for Baldur's Gate,1,FALSE,0.15,Uncommon,32,,,,
"Lulu, Loyal Hollyphant",Commander: Battle for Baldur's Gate,1,TRUE,0.13,Uncommon,32,,,,
Martial Impetus,Commander: Battle for Baldur's Gate,1,FALSE,0.15,Common,33,,,,
Martial Impetus,Commander: Battle for Baldur's Gate,1,TRUE,0.07,Common,33,,,,
Minimus Containment,Commander: Battle for Baldur's Gate,1,FALSE,0.15,Common,34,,,,
Minimus Containment,Commander: Battle for Baldur's Gate,1,TRUE,0.05,Common,34,,,,
Noble Heritage,Commander: Battle for Baldur's Gate,1,FALSE,0.26,Rare,35,,,,
Noble Heritage,Commander: Battle for Baldur's Gate,1,TRUE,0.19,Rare,35,,,,
Pegasus Guardian // Rescue the Foal,Commander: Battle for Baldur's Gate,1,FALSE,0.18,Common,36,,,,
Pegasus Guardian // Rescue the Foal,Commander: Battle for Baldur's Gate,1,TRUE,0.18,Common,36,,,,
Rasaad yn Bashir,Commander: Battle for Baldur's Gate,1,FALSE,0.15,Uncommon,37,,,,
Rasaad yn Bashir,Commander: Battle for Baldur's Gate,1,TRUE,0.21,Uncommon,37,,,,
Recruitment Drive,Commander: Battle for Baldur's Gate,1,FALSE,0.17,Common,38,,,,
Rescuer Chwinga,Commander: Battle for Baldur's Gate,1,FALSE,0.15,Uncommon,39,,,,
Roving Harper,Commander: Battle for Baldur's Gate,1,FALSE,0.15,Common,40,,,,
Scouting Hawk,Commander: Battle for Baldur's Gate,1,FALSE,0.15,Common,41,,,,
Scouting Hawk,Commander: Battle for Baldur's Gate,1,TRUE,0.16,Common,41,,,,
Sculpted Sunburst,Commander: Battle for Baldur's Gate,1,FALSE,0.25,Rare,42,,,,
Sculpted Sunburst,Commander: Battle for Baldur's Gate,1,TRUE,0.12,Rare,42,,,,
Slaughter the Strong,Commander: Battle for Baldur's Gate,1,FALSE,0.20,Uncommon,43,,,,
Steadfast Unicorn,Commander: Battle for Baldur's Gate,1,FALSE,0.15,Common,44,,,,
Steadfast Unicorn,Commander: Battle for Baldur's Gate,1,TRUE,0.15,Common,44,,,,
Stoneskin,Commander: Battle for Baldur's Gate,1,FALSE,0.25,Uncommon,45,,,,
Tabaxi Toucaneers,Commander: Battle for Baldur's Gate,1,FALSE,0.15,Common,46,,,,
Tabaxi Toucaneers,Commander: Battle for Baldur's Gate,1,TRUE,0.05,Common,46,,,,
Undercellar Sweep,Commander: Battle for Baldur's Gate,1,FALSE,0.17,Uncommon,47,,,,
Veteran Soldier,Commander: Battle for Baldur's Gate,1,FALSE,0.15,Uncommon,48,,,,
Veteran Soldier,Commander: Battle for Baldur's Gate,1,TRUE,0.12,Uncommon,48,,,,
White Plume Adventurer,Commander: Battle for Baldur's Gate,1,FALSE,1.16,Rare,49,,,,
White Plume Adventurer,Commander: Battle for Baldur's Gate,1,TRUE,1.63,Rare,49,,,,
