Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
"Dihada, Binder of Wills",Dominaria United Commander,1,FALSE,8.85,Mythic Rare,1,ddeb54d6-a600-42b9-98df-20f8d58caed8,1,dmc,mythic
Jared Carthalion,Dominaria United Commander,1,FALSE,0.81,Mythic Rare,2,5acffa48-9e3f-4ba3-a55f-d459307f46df,2,dmc,mythic
"Jenson Carthalion, Druid Exile",Dominaria United Commander,1,FALSE,0.56,Mythic Rare,3,6a67f32c-4c9a-4bda-92f4-037b99999777,3,dmc,mythic
"Shanid, Sleepers' Scourge",Dominaria United Commander,1,FALSE,0.88,Mythic Rare,4,1b0fb859-055d-4aa1-814c-0894cd2ccd4a,4,dmc,mythic
"Zeriam, Golden Wind",Dominaria United Commander,1,FALSE,0.30,Rare,5,e7efbb9a-e0b3-412c-9ee7-a90123033999,5,dmc,rare
"Moira, Urborg Haunt",Dominaria United Commander,1,FALSE,0.30,Rare,6,0a5c9d99-8fbc-4a74-99a5-32ba71eb2b62,6,dmc,rare
The Reaver Cleaver,Dominaria United Commander,1,FALSE,8.00,Rare,8,5bcd1591-b5b9-49fc-9f2a-45f31ed1871e,8,dmc,rare
"Bladewing, Deathless Tyrant",Dominaria United Commander,1,FALSE,3.39,Rare,9,7dcf3b3e-e986-4add-a3c6-4e92a6f72a12,9,dmc,rare
"Cadric, Soul Kindler",Dominaria United Commander,1,FALSE,2.04,Rare,10,f82f8cab-5039-4e3a-a2ba-cbf829db80ed,10,dmc,rare
"Verrak, Warped Sengir",Dominaria United Commander,1,FALSE,0.44,Rare,16,8ca7f49a-ab5a-49de-b07b-96c803daaf7d,16,dmc,rare
Gerrard's Hourglass Pendant,Dominaria United Commander,1,FALSE,0.77,Rare,17,580ca958-4df7-4f42-b497-d412d286bd4e,17,dmc,rare
The Peregrine Dynamo,Dominaria United Commander,1,FALSE,1.34,Rare,19,2e474c23-22d3-4249-b678-254b178ddf6f,19,dmc,rare
Historian's Boon,Dominaria United Commander,1,FALSE,2.58,Rare,21,0da48d1e-0dec-461a-9a1d-477408b297e6,21,dmc,rare
Robaran Mercenaries,Dominaria United Commander,1,FALSE,0.35,Rare,22,32e9a83f-be4b-4116-8e0d-61c159286ae0,22,dmc,rare
Emperor Mihail II,Dominaria United Commander,1,TRUE,1.63,Rare,23,715284eb-8384-4ad8-910c-8378e954a2b1,23,dmc,rare
Activated Sleeper,Dominaria United Commander,1,FALSE,1.04,Rare,24b,343d01cf-9806-4c2d-a993-ddc9ed248d7f,24,dmc,rare
"Rosnakht, Heir of Rohgahh",Dominaria United Commander,1,FALSE,0.50,Rare,25,013e33d4-7d08-4773-a570-469ae3cf92f2,25,dmc,rare
"Baru, Wurmspeaker",Dominaria United Commander,1,FALSE,1.79,Rare,26,2cae4149-d8ef-4772-9db4-cb576bef61b5,26,dmc,rare
"Greensleeves, Maro-Sorcerer",Dominaria United Commander,1,FALSE,19.86,Mythic Rare,27,0969d7f3-cec5-4118-adb1-ff957eedf6ab,27,dmc,mythic
The Mana Rig,Dominaria United Commander,1,FALSE,0.77,Mythic Rare,28,c0a6edbf-eabe-44d3-b098-562f3758c005,28,dmc,mythic
"Ayesha Tanaka, Armorer",Dominaria United Commander,1,TRUE,0.23,Rare,29,dab74812-89c9-42e2-8b9d-bf5b35a7cf7e,29,dmc,rare
The Ever-Changing 'Dane,Dominaria United Commander,1,FALSE,0.27,Rare,30,a17c5b28-e7d1-4ca6-bf6b-0a4c8b757232,30,dmc,rare
General Marhault Elsdragon,Dominaria United Commander,1,FALSE,0.30,Uncommon,31,bf2931bd-bedc-45e8-b3f0-e2a220dbac1b,31,dmc,uncommon
"Hazezon, Shaper of Sand",Dominaria United Commander,1,TRUE,0.37,Rare,32,25869cd0-63da-4dfb-8870-221cdba276e2,32,dmc,rare
Jasmine Boreal of the Seven,Dominaria United Commander,1,FALSE,0.25,Uncommon,33,c1f5bcc4-3ec7-42ae-8e4b-80a9b9135ff0,33,dmc,uncommon
"Jedit Ojanen, Mercenary",Dominaria United Commander,1,FALSE,0.50,Mythic Rare,34,914a4923-18a6-4aa5-8510-b02e9dc7bb41,34,dmc,mythic
The Lady of Otaria,Dominaria United Commander,1,TRUE,0.27,Mythic Rare,35,d96a5a00-22a7-4a7b-a7e2-5c055a8384ba,35,dmc,mythic
Ohabi Caleria,Dominaria United Commander,1,TRUE,0.24,Rare,36,82003d72-5138-4341-a53a-62b794f2bce1,36,dmc,rare
"Orca, Siege Demon",Dominaria United Commander,1,FALSE,0.44,Rare,37,8511fc1e-cff2-4d6c-b9c3-0a7f70ac3528,37,dmc,rare
"Ramirez DePietro, Pillager",Dominaria United Commander,1,FALSE,0.25,Uncommon,38,91f65272-fee1-4076-b5b2-2e04001cf1ea,38,dmc,uncommon
"Ramses, Assassin Lord",Dominaria United Commander,1,FALSE,4.16,Rare,39,9e5f168c-4f56-4d06-bef1-db10fdfbe657,39,dmc,rare
"Rasputin, the Oneiromancer",Dominaria United Commander,1,TRUE,0.19,Rare,40,7f0f171a-2929-4d95-9829-d0e885622e04,40,dmc,rare
"Rohgahh, Kher Keep Overlord",Dominaria United Commander,1,FALSE,0.34,Rare,41,84e87400-cc3f-4476-b177-2c36a65f277b,41,dmc,rare
"Stangg, Echo Warrior",Dominaria United Commander,1,FALSE,0.38,Rare,42,7722a9a1-2ff9-4a39-b56e-c7eef2ff9dcd,42,dmc,rare
"Sivitri, Dragon Master",Dominaria United Commander,1,FALSE,6.89,Mythic Rare,43,b7505068-484e-4844-b3dd-89c28f18275d,43,dmc,mythic
"Tetsuo, Imperial Champion",Dominaria United Commander,1,FALSE,0.54,Mythic Rare,44,51c523cd-78b0-438f-bba5-19160f648d5f,44,dmc,mythic
"Tobias, Doomed Conqueror",Dominaria United Commander,1,TRUE,0.08,Uncommon,45,afcb1feb-e957-42e7-b05a-48f26bda7b76,45,dmc,uncommon
Tor Wauki the Younger,Dominaria United Commander,1,TRUE,0.48,Uncommon,46,adea296b-b320-4588-9d6e-cbb5db7c39e3,46,dmc,uncommon
"Torsten, Founder of Benalia",Dominaria United Commander,1,TRUE,1.62,Mythic Rare,47,0783b426-a527-42c1-9271-be28b229e1c6,47,dmc,mythic
"Xira, the Golden Sting",Dominaria United Commander,1,TRUE,0.32,Rare,48,48e60dff-8ac0-4e70-a7a8-a177e9e6847b,48,dmc,rare
"Ayesha Tanaka, Armorer (Etched Foil)",Dominaria United Commander Variants,1,TRUE,0.17,Rare,51,,,,
The Ever-Changing 'Dane (Etched Foil),Dominaria United Commander Variants,1,TRUE,0.19,Rare,52,,,,
General Marhault Elsdragon (Etched Foil),Dominaria United Commander Variants,1,TRUE,0.14,Uncommon,53,,,,
"Hazezon, Shaper of Sand (Etched Foil)",Dominaria United Commander Variants,1,TRUE,0.20,Rare,54,,,,
Jasmine Boreal of the Seven (Etched Foil),Dominaria United Commander Variants,1,TRUE,0.15,Uncommon,55,,,,
"Jedit Ojanen, Mercenary (Etched Foil)",Dominaria United Commander Variants,1,TRUE,0.31,Mythic Rare,56,,,,
The Lady of Otaria (Etched Foil),Dominaria United Commander Variants,1,TRUE,0.20,Mythic Rare,57,,,,
Ohabi Caleria (Etched Foil),Dominaria United Commander Variants,1,TRUE,0.15,Rare,58,,,,
"Orca, Siege Demon (Etched Foil)",Dominaria United Commander Variants,1,TRUE,0.25,Rare,59,,,,
"Ramirez DePietro, Pillager (Etched Foil)",Dominaria United Commander Variants,1,TRUE,0.16,Uncommon,60,,,,
"Ramses, Assassin Lord (Etched Foil)",Dominaria United Commander Variants,1,TRUE,1.55,Rare,61,,,,
"Rasputin, the Oneiromancer (Etched Foil)",Dominaria United Commander Variants,1,TRUE,0.12,Rare,62,,,,
