Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Belt of Giant Strength,Forgotten Realms Commander,1,FALSE,1.03,Rare,38,4ef2b9aa-4f7c-4640-bb34-9775e1be0935,38,afc,rare
Utter End,Forgotten Realms Commander,1,FALSE,0.35,Rare,195,0abda7f5-89c2-43ad-bcc9-8b802881c373,195,afc,rare
Immovable Rod (Extended Art),Forgotten Realms Commander Variants,1,FALSE,0.59,Rare,276,,,,
Radiant Solar (Extended Art),Forgotten Realms Commander Variants,1,FALSE,1.82,Rare,278,,,,
Phantom Steed (Extended Art),Forgotten Realms Commander Variants,1,FALSE,0.68,Rare,287,,,,
Danse Macabre (Extended Art),Forgotten Realms Commander Variants,1,FALSE,2.26,Rare,291,,,,
Death Tyrant (Extended Art),Forgotten Realms Commander Variants,1,FALSE,4.02,Rare,292,,,,
Grave Endeavor (Extended Art),Forgotten Realms Commander Variants,1,FALSE,1.21,Rare,293,,,,
Chaos Dragon (Extended Art),Forgotten Realms Commander Variants,1,FALSE,4.18,Rare,299,,,,
Bag of Tricks (Extended Art),Forgotten Realms Commander Variants,1,FALSE,0.40,Rare,306,,,,
Neverwinter Hydra (Extended Art),Forgotten Realms Commander Variants,1,FALSE,5.40,Rare,310,,,,
"Karazikar, the Eye Tyrant (Extended Art)",Forgotten Realms Commander Variants,1,FALSE,12.82,Mythic Rare,319,,,,
