Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Cosmic Intervention,Kaldheim Commander,1,FALSE,4.60,Rare,3,933c4a54-5c3a-496b-aa35-edf791155d8d,3,khc,rare
Hero of Bretagard,Kaldheim Commander,1,FALSE,0.32,Rare,4,4458c16c-b71d-481d-863b-f2e3b1320178,4,khc,rare
Tales of the Ancestors,Kaldheim Commander,1,FALSE,0.50,Rare,8,c286a74c-3714-4190-8322-84b161debe39,8,khc,rare
Ethereal Valkyrie,Kaldheim Commander,1,FALSE,0.64,Rare,16,552912bf-4085-49ad-902f-5c41540df97a,16,khc,rare
Inspired Sphinx,Kaldheim Commander,1,FALSE,0.40,Mythic Rare,40,7f58d798-9b99-45a9-9015-f689145018a8,40,khc,mythic
Angel of Finality,Kaldheim Commander,1,FALSE,0.30,Rare,17,fef86cfe-6e4a-4ff7-bb6d-914d8c1e0782,17,khc,rare
Banishing Light,Kaldheim Commander,1,FALSE,0.20,Uncommon,19,0858ab5a-930c-44f0-9621-4dd634cf39c6,19,khc,uncommon
Cloudgoat Ranger,Kaldheim Commander,1,FALSE,0.25,Uncommon,21,6dfaa74a-0ef0-44bb-b8b5-6d121278b5a2,21,khc,uncommon
Flickerwisp,Kaldheim Commander,1,FALSE,0.25,Uncommon,24,edacc6f3-e105-4648-8dcc-a5c54c7ad043,24,khc,uncommon
Geist-Honored Monk,Kaldheim Commander,1,FALSE,0.40,Rare,25,4d09ef1d-3552-43a3-91c7-0d14c0f06780,25,khc,rare
Wall of Omens,Kaldheim Commander,1,FALSE,0.30,Uncommon,35,2561dc8e-1ea6-43f3-8cf1-afd7ec9a2191,35,khc,uncommon
Mist Raven,Kaldheim Commander,1,FALSE,0.20,Common,41,8f868751-dd1a-4beb-b3cc-c4a88980299b,41,khc,common
Whirler Rogue,Kaldheim Commander,1,FALSE,0.20,Uncommon,45,23dcb171-884d-480f-ba05-2a7c9cde5cfd,45,khc,uncommon
Cloudblazer,Kaldheim Commander,1,FALSE,0.22,Uncommon,84,edab81f0-dd20-45bd-946d-75b682e1d3d0,84,khc,uncommon
Mistmeadow Witch,Kaldheim Commander,1,FALSE,0.20,Uncommon,88,570afcb8-8cf0-4946-863a-be19c0a5e110,88,khc,uncommon
Burnished Hart,Kaldheim Commander,1,FALSE,0.25,Uncommon,98,552e8660-4f52-4ce6-aeee-306676746695,98,khc,uncommon
