Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
"Duskana, the Rage Mother (Extended Art)",Karlov Manor Commander Variants,1,FALSE,1.39,Mythic Rare,312,,,,
"Feather, Radiant Arbiter (Extended Art)",Karlov Manor Commander Variants,1,TRUE,0.57,Mythic Rare,313,,,,
"Kaust, Eyes of the Glade (Extended Art)",Karlov Manor Commander Variants,1,TRUE,0.39,Mythic Rare,314,,,,
"Mirko, Obsessive Theorist (Extended Art)",Karlov Manor Commander Variants,1,FALSE,0.50,Mythic Rare,316,,,,
"Morska, Undersea Sleuth (Extended Art)",Karlov Manor Commander Variants,1,TRUE,0.52,Mythic Rare,317,,,,
"Nelly Borca, Impulsive Accuser (Extended Art)",Karlov Manor Commander Variants,1,FALSE,0.67,Mythic Rare,318,,,,
"Sophia, Dogged Detective (Extended Art)",Karlov Manor Commander Variants,1,TRUE,0.30,Mythic Rare,319,,,,
Immortal Obligation (Extended Art),Karlov Manor Commander Variants,1,FALSE,0.47,Rare,321,,,,
Merchant of Truth (Extended Art),Karlov Manor Commander Variants,1,FALSE,0.96,Rare,322,,,,
Otherworldly Escort (Extended Art),Karlov Manor Commander Variants,1,FALSE,0.25,Rare,323,,,,
Redemption Arc (Extended Art),Karlov Manor Commander Variants,1,FALSE,0.70,Rare,324,,,,
Serene Sleuth (Extended Art),Karlov Manor Commander Variants,1,FALSE,0.25,Rare,325,,,,
Trouble in Pairs (Extended Art),Karlov Manor Commander Variants,1,FALSE,29.37,Rare,326,,,,
True Identity (Extended Art),Karlov Manor Commander Variants,1,FALSE,0.25,Rare,327,,,,
Unexplained Absence (Extended Art),Karlov Manor Commander Variants,1,FALSE,0.83,Rare,328,,,,
Veiled Ascension (Extended Art),Karlov Manor Commander Variants,1,FALSE,0.28,Rare,329,,,,
Copy Catchers (Extended Art),Karlov Manor Commander Variants,1,FALSE,0.25,Rare,330,,,,
Detective of the Month (Extended Art),Karlov Manor Commander Variants,1,FALSE,0.40,Rare,331,,,,
Follow the Bodies (Extended Art),Karlov Manor Commander Variants,1,FALSE,0.41,Rare,333,,,,
Tangletrove Kelp (Extended Art),Karlov Manor Commander Variants,1,FALSE,0.57,Rare,334,,,,
Eye of Duskmantle (Extended Art),Karlov Manor Commander Variants,1,FALSE,0.26,Rare,337,,,,
Foreboding Steamboat (Extended Art),Karlov Manor Commander Variants,1,FALSE,0.30,Rare,338,,,,
Unshakable Tail (Extended Art),Karlov Manor Commander Variants,1,FALSE,0.49,Rare,339,,,,
Boltbender (Extended Art),Karlov Manor Commander Variants,1,FALSE,0.42,Rare,340,,,,
Havoc Eater (Extended Art),Karlov Manor Commander Variants,1,FALSE,0.44,Rare,341,,,,
Hot Pursuit (Extended Art),Karlov Manor Commander Variants,1,FALSE,0.42,Rare,342,,,,
Mob Verdict (Extended Art),Karlov Manor Commander Variants,1,FALSE,0.47,Rare,343,,,,
Prisoner's Dilemma (Extended Art),Karlov Manor Commander Variants,1,FALSE,2.03,Rare,344,,,,
Showstopping Surprise (Extended Art),Karlov Manor Commander Variants,1,FALSE,0.35,Rare,345,,,,
"Tesak, Judith's Hellhound (Extended Art)",Karlov Manor Commander Variants,1,FALSE,0.49,Rare,346,,,,
Innocuous Researcher (Extended Art),Karlov Manor Commander Variants,1,FALSE,0.27,Rare,348,,,,
On the Trail (Extended Art),Karlov Manor Commander Variants,1,FALSE,2.47,Rare,349,,,,
Printlifter Ooze (Extended Art),Karlov Manor Commander Variants,1,FALSE,0.73,Rare,350,,,,
Knowledge Is Power (Extended Art),Karlov Manor Commander Variants,1,FALSE,0.43,Rare,352,,,,
Take the Bait (Extended Art),Karlov Manor Commander Variants,1,FALSE,2.03,Rare,353,,,,
Panoptic Projektor (Extended Art),Karlov Manor Commander Variants,1,FALSE,0.50,Rare,354,,,,
Ransom Note (Extended Art),Karlov Manor Commander Variants,1,FALSE,0.34,Rare,356,,,,
Ransom Note (Extended Art),Karlov Manor Commander Variants,1,FALSE,0.30,Rare,357,,,,
Ransom Note (Extended Art),Karlov Manor Commander Variants,1,FALSE,0.28,Rare,358,,,,
