Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
"Admiral Brass, Unsinkable (Showcase)",Lost Caverns Commander Variants,1,FALSE,0.40,Mythic Rare,17,,,,
"Clavileño, First of the Blessed (Showcase)",Lost Caverns Commander Variants,1,TRUE,4.22,Mythic Rare,18,,,,
Hakbal of the Surging Soul (Showcase),Lost Caverns Commander Variants,1,TRUE,4.49,Mythic Rare,19,,,,
"Pantlaza, Sun-Favored (Showcase)",Lost Caverns Commander Variants,1,FALSE,4.60,Mythic Rare,20,,,,
Illustrious Wanderglyph (Extended Art),Lost Caverns Commander Variants,1,FALSE,8.46,Rare,21,,,,
Altar of the Wretched // Wretched Bonemass (Extended Art),Lost Caverns Commander Variants,1,TRUE,0.48,Rare,22,,,,
Ore-Rich Stalactite // Cosmium Catalyst (Extended Art),Lost Caverns Commander Variants,1,TRUE,0.18,Rare,23,,,,
Contest of Claws (Extended Art),Lost Caverns Commander Variants,1,FALSE,2.13,Rare,24,,,,
Contest of Claws (Extended Art),Lost Caverns Commander Variants,1,TRUE,2.76,Rare,24,,,,
"Admiral Brass, Unsinkable (Extended Art)",Lost Caverns Commander Variants,1,FALSE,0.50,Mythic Rare,25,,,,
"Carmen, Cruel Skymarcher (Extended Art)",Lost Caverns Commander Variants,1,TRUE,4.79,Mythic Rare,26,,,,
"Clavileño, First of the Blessed (Extended Art)",Lost Caverns Commander Variants,1,TRUE,0.50,Mythic Rare,27,,,,
"Don Andres, the Renegade (Extended Art)",Lost Caverns Commander Variants,1,TRUE,2.38,Mythic Rare,28,,,,
Hakbal of the Surging Soul (Extended Art),Lost Caverns Commander Variants,1,FALSE,1.46,Mythic Rare,29,,,,
"Pantlaza, Sun-Favored (Extended Art)",Lost Caverns Commander Variants,1,TRUE,3.64,Mythic Rare,30,,,,
"Tetzin, Gnome Champion // The Golden-Gear Colossus (Extended Art)",Lost Caverns Commander Variants,1,TRUE,0.37,Rare,31,,,,
"Wayta, Trainer Prodigy (Extended Art)",Lost Caverns Commander Variants,1,TRUE,0.77,Mythic Rare,32,,,,
"Xavier Sal, Infested Captain (Extended Art)",Lost Caverns Commander Variants,1,TRUE,1.25,Rare,33,,,,
"Xolatoyac, the Smiling Flood (Extended Art)",Lost Caverns Commander Variants,1,FALSE,4.40,Mythic Rare,34,,,,
Eye of Ojer Taq // Apex Observatory (Extended Art),Lost Caverns Commander Variants,1,TRUE,1.78,Mythic Rare,35,,,,
Paleontologist's Pick-Axe // Dinosaur Headdress (Extended Art),Lost Caverns Commander Variants,1,FALSE,0.48,Mythic Rare,36,,,,
Bronzebeak Foragers (Extended Art),Lost Caverns Commander Variants,1,FALSE,1.18,Rare,37,,,,
Charismatic Conqueror (Extended Art),Lost Caverns Commander Variants,1,FALSE,26.67,Rare,38,,,,
Elenda's Hierophant (Extended Art),Lost Caverns Commander Variants,1,FALSE,6.48,Rare,39,,,,
