Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Eldrazi Confluence (Ripple Foil),MH3 Commander Collector's Edition,2,FALSE,0.00,Rare,32,,,,
Eldrazi Confluence (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,7.45,Rare,32,,,,
Eldritch Immunity (Ripple Foil),MH3 Commander Collector's Edition,1,FALSE,0.00,Rare,33,,,,
Eldritch Immunity (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,18.95,Rare,33,,,,
Inversion Behemoth (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,0.96,Rare,34,,,,
Selective Obliteration (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,3.45,Rare,35,,,,
Spawnbed Protector (Ripple Foil),MH3 Commander Collector's Edition,2,FALSE,0.00,Rare,36,,,,
Spawnbed Protector (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,9.62,Rare,36,,,,
Twins of Discord (Ripple Foil),MH3 Commander Collector's Edition,1,FALSE,0.00,Rare,37,,,,
Twins of Discord (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,2.33,Rare,37,,,,
Ulamog's Dreadsire (Ripple Foil),MH3 Commander Collector's Edition,1,FALSE,0.00,Rare,38,,,,
Ulamog's Dreadsire (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,6.54,Rare,38,,,,
Angelic Aberration (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,3.37,Rare,39,,,,
Bismuth Mindrender (Ripple Foil),MH3 Commander Collector's Edition,1,FALSE,0.00,Rare,51,,,,
Bismuth Mindrender (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,2.55,Rare,51,,,,
Mutated Cultist (Ripple Foil),MH3 Commander Collector's Edition,1,FALSE,0.00,Rare,53,,,,
Mutated Cultist (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,7.15,Rare,53,,,,
Hideous Taskmaster (Ripple Foil),MH3 Commander Collector's Edition,2,FALSE,0.00,Rare,57,,,,
Hideous Taskmaster (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,0.00,Rare,57,,,,
Chittering Dispatcher (Ripple Foil),MH3 Commander Collector's Edition,1,FALSE,0.00,Rare,63,,,,
Chittering Dispatcher (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,3.50,Rare,63,,,,
Hourglass of the Lost (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,2.70,Rare,92,,,,
Localized Destruction (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,0.32,Rare,93,,,,
Razorfield Ripper (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,0.95,Rare,94,,,,
Salvation Colossus (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,2.14,Rare,95,,,,
Silverquill Lecturer (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,1.67,Rare,96,,,,
Aurora Shifter (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,0.42,Rare,97,,,,
Copy Land (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,2.78,Rare,99,,,,
March from Velis Vel (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,0.25,Rare,100,,,,
Wonderscape Sage (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,0.40,Rare,101,,,,
Barrowgoyf (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,36.89,Rare,102,,,,
Final Act (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,0.69,Rare,104,,,,
Aether Refinery (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,0.29,Rare,106,,,,
Blaster Hulk (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,0.86,Rare,107,,,,
Filigree Racer (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,0.35,Rare,108,,,,
Hideous Taskmaster (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,4.77,Rare,109,,,,
Overclocked Electromancer (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,0.27,Rare,110,,,,
Pyrogoyf (Ripple Foil),MH3 Commander Collector's Edition,1,TRUE,31.41,Rare,111,,,,
