Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
"Azlask, the Swelling Scourge (Borderless)",Modern Horizons 3 Commander Variants,1,FALSE,0.00,Mythic Rare,9,,,,
"Azlask, the Swelling Scourge (Borderless)",Modern Horizons 3 Commander Variants,1,TRUE,0.00,Mythic Rare,9,,,,
"Cayth, Famed Mechanist (Borderless)",Modern Horizons 3 Commander Variants,1,FALSE,0.00,Mythic Rare,10,,,,
"Coram, the Undertaker (Borderless)",Modern Horizons 3 Commander Variants,1,TRUE,0.00,Mythic Rare,11,,,,
Disa the Restless (Borderless),Modern Horizons 3 Commander Variants,1,TRUE,0.00,Mythic Rare,12,,,,
"Jyoti, Moag Ancient (Borderless)",Modern Horizons 3 Commander Variants,1,TRUE,0.00,Mythic Rare,13,,,,
"Satya, Aetherflux Genius (Borderless)",Modern Horizons 3 Commander Variants,1,FALSE,0.00,Mythic Rare,15,,,,
"Ulalek, Fused Atrocity (Borderless)",Modern Horizons 3 Commander Variants,1,FALSE,0.00,Mythic Rare,16,,,,
"Ulalek, Fused Atrocity (Borderless)",Modern Horizons 3 Commander Variants,1,TRUE,0.00,Mythic Rare,16,,,,
"Azlask, the Swelling Scourge (Foil Etched)",Modern Horizons 3 Commander Variants,1,FALSE,0.00,Mythic Rare,17,,,,
"Coram, the Undertaker (Foil Etched)",Modern Horizons 3 Commander Variants,1,TRUE,0.00,Mythic Rare,19,,,,
"Satya, Aetherflux Genius (Foil Etched)",Modern Horizons 3 Commander Variants,1,TRUE,0.00,Mythic Rare,23,,,,
"Ulalek, Fused Atrocity (Foil Etched)",Modern Horizons 3 Commander Variants,1,FALSE,0.00,Mythic Rare,24,,,,
"Azlask, the Swelling Scourge (Extended Art)",Modern Horizons 3 Commander Variants,1,FALSE,0.75,Mythic Rare,25,,,,
"Cayth, Famed Mechanist (Extended Art)",Modern Horizons 3 Commander Variants,1,TRUE,0.44,Mythic Rare,26,,,,
"Coram, the Undertaker (Extended Art)",Modern Horizons 3 Commander Variants,1,FALSE,0.49,Mythic Rare,27,,,,
Disa the Restless (Extended Art),Modern Horizons 3 Commander Variants,1,FALSE,0.40,Mythic Rare,28,,,,
"Omo, Queen of Vesuva (Extended Art)",Modern Horizons 3 Commander Variants,1,FALSE,0.42,Mythic Rare,30,,,,
"Satya, Aetherflux Genius (Extended Art)",Modern Horizons 3 Commander Variants,1,FALSE,0.36,Mythic Rare,31,,,,
Eldrazi Confluence,Modern Horizons 3 Commander,2,FALSE,2.22,Rare,32,78ee2013-29dc-4879-9d59-1b492996d297,32,m3c,rare
Eldritch Immunity,Modern Horizons 3 Commander,1,FALSE,4.00,Rare,33,64a63b90-dbd6-4b66-8031-a3e230ada5b9,33,m3c,rare
Spawnbed Protector,Modern Horizons 3 Commander,2,FALSE,2.75,Rare,36,bf2d8dab-71f3-4da7-a4b1-ed3309a4c756,36,m3c,rare
Twins of Discord,Modern Horizons 3 Commander,1,FALSE,0.49,Rare,37,b3c237a5-1d2a-457a-be4e-c07483b31799,37,m3c,rare
Ulamog's Dreadsire,Modern Horizons 3 Commander,1,FALSE,2.42,Rare,38,b5821c21-8133-40f7-a28d-addf64b1e35f,38,m3c,rare
Hourglass of the Lost (Extended Art),Modern Horizons 3 Commander Variants,1,FALSE,0.72,Rare,40,,,,
Hourglass of the Lost (Extended Art),Modern Horizons 3 Commander Variants,1,TRUE,0.72,Rare,40,,,,
Localized Destruction (Extended Art),Modern Horizons 3 Commander Variants,1,FALSE,0.30,Rare,41,,,,
Localized Destruction (Extended Art),Modern Horizons 3 Commander Variants,1,TRUE,0.30,Rare,41,,,,
Razorfield Ripper (Extended Art),Modern Horizons 3 Commander Variants,1,FALSE,0.35,Rare,42,,,,
Razorfield Ripper (Extended Art),Modern Horizons 3 Commander Variants,1,TRUE,0.35,Rare,42,,,,
Salvation Colossus (Extended Art),Modern Horizons 3 Commander Variants,1,FALSE,0.50,Rare,43,,,,
Salvation Colossus (Extended Art),Modern Horizons 3 Commander Variants,1,TRUE,0.50,Rare,43,,,,
Silverquill Lecturer (Extended Art),Modern Horizons 3 Commander Variants,1,FALSE,0.60,Rare,44,,,,
Silverquill Lecturer (Extended Art),Modern Horizons 3 Commander Variants,1,TRUE,0.60,Rare,44,,,,
Aurora Shifter (Extended Art),Modern Horizons 3 Commander Variants,1,FALSE,0.30,Rare,45,,,,
Aurora Shifter (Extended Art),Modern Horizons 3 Commander Variants,1,TRUE,0.30,Rare,45,,,,
Benthic Anomaly,Modern Horizons 3 Commander,1,FALSE,1.15,Rare,46,08ff764d-2c0d-4599-a22a-6a64766dad3a,46,m3c,rare
Benthic Anomaly,Modern Horizons 3 Commander,1,TRUE,1.15,Rare,46,08ff764d-2c0d-4599-a22a-6a64766dad3a,46,m3c,rare
Copy Land (Extended Art),Modern Horizons 3 Commander Variants,1,FALSE,1.00,Rare,47,,,,
Copy Land (Extended Art),Modern Horizons 3 Commander Variants,1,TRUE,1.00,Rare,47,,,,
March from Velis Vel (Extended Art),Modern Horizons 3 Commander Variants,1,FALSE,0.00,Rare,48,,,,
March from Velis Vel (Extended Art),Modern Horizons 3 Commander Variants,1,TRUE,0.33,Rare,48,,,,
Wonderscape Sage (Extended Art),Modern Horizons 3 Commander Variants,1,FALSE,0.30,Rare,49,,,,
Wonderscape Sage (Extended Art),Modern Horizons 3 Commander Variants,1,TRUE,0.30,Rare,49,,,,
Barrowgoyf (Extended Art),Modern Horizons 3 Commander Variants,2,FALSE,12.51,Rare,50,,,,
Barrowgoyf (Extended Art),Modern Horizons 3 Commander Variants,1,TRUE,12.51,Rare,50,,,,
Bismuth Mindrender,Modern Horizons 3 Commander,1,FALSE,0.39,Rare,51,d1ee8ead-df6a-4c02-83f7-2902d97132b8,51,m3c,rare
Final Act (Extended Art),Modern Horizons 3 Commander Variants,1,FALSE,0.00,Rare,52,,,,
Final Act (Extended Art),Modern Horizons 3 Commander Variants,1,TRUE,4.40,Rare,52,,,,
Mutated Cultist,Modern Horizons 3 Commander,1,FALSE,1.81,Rare,53,cc4bb871-cde9-43a9-8089-5987fa0dd4ef,53,m3c,rare
Aether Refinery (Extended Art),Modern Horizons 3 Commander Variants,2,FALSE,0.00,Rare,54,,,,
Aether Refinery (Extended Art),Modern Horizons 3 Commander Variants,1,TRUE,0.97,Rare,54,,,,
Blaster Hulk (Extended Art),Modern Horizons 3 Commander Variants,1,FALSE,0.32,Rare,55,,,,
Blaster Hulk (Extended Art),Modern Horizons 3 Commander Variants,1,TRUE,0.32,Rare,55,,,,
Filigree Racer (Extended Art),Modern Horizons 3 Commander Variants,1,FALSE,0.25,Rare,56,,,,
Filigree Racer (Extended Art),Modern Horizons 3 Commander Variants,1,TRUE,0.25,Rare,56,,,,
Overclocked Electromancer (Extended Art),Modern Horizons 3 Commander Variants,1,FALSE,0.29,Rare,58,,,,
Overclocked Electromancer (Extended Art),Modern Horizons 3 Commander Variants,1,TRUE,0.29,Rare,58,,,,
Pyrogoyf (Extended Art),Modern Horizons 3 Commander Variants,1,FALSE,8.50,Rare,59,,,,
Pyrogoyf (Extended Art),Modern Horizons 3 Commander Variants,1,TRUE,8.50,Rare,59,,,,
Sawhorn Nemesis (Extended Art),Modern Horizons 3 Commander Variants,1,FALSE,1.59,Rare,60,,,,
Sawhorn Nemesis (Extended Art),Modern Horizons 3 Commander Variants,1,TRUE,1.59,Rare,60,,,,
Siege-Gang Lieutenant (Extended Art),Modern Horizons 3 Commander Variants,2,FALSE,0.00,Rare,61,,,,
Siege-Gang Lieutenant (Extended Art),Modern Horizons 3 Commander Variants,1,TRUE,3.87,Rare,61,,,,
Tempt with Mayhem (Extended Art),Modern Horizons 3 Commander Variants,1,FALSE,0.67,Rare,62,,,,
Tempt with Mayhem (Extended Art),Modern Horizons 3 Commander Variants,1,TRUE,0.67,Rare,62,,,,
Chittering Dispatcher,Modern Horizons 3 Commander,1,FALSE,0.77,Rare,63,ec5fe7d0-b444-4488-b058-f3916e404cac,63,m3c,rare
Desert Warfare (Extended Art),Modern Horizons 3 Commander Variants,1,FALSE,0.67,Rare,64,,,,
Desert Warfare (Extended Art),Modern Horizons 3 Commander Variants,1,TRUE,0.67,Rare,64,,,,
Polygoyf (Extended Art),Modern Horizons 3 Commander Variants,1,FALSE,0.40,Rare,65,,,,
Polygoyf (Extended Art),Modern Horizons 3 Commander Variants,1,TRUE,0.40,Rare,65,,,,
Rampant Frogantua (Extended Art),Modern Horizons 3 Commander Variants,1,FALSE,1.11,Rare,66,,,,
Rampant Frogantua (Extended Art),Modern Horizons 3 Commander Variants,1,TRUE,0.93,Rare,66,,,,
Sage of the Maze (Extended Art),Modern Horizons 3 Commander Variants,2,FALSE,0.50,Rare,67,,,,
Sage of the Maze (Extended Art),Modern Horizons 3 Commander Variants,1,TRUE,0.50,Rare,67,,,,
Tarmogoyf Nest (Extended Art),Modern Horizons 3 Commander Variants,1,TRUE,0.53,Rare,68,,,,
Aggressive Biomancy (Extended Art),Modern Horizons 3 Commander Variants,1,FALSE,0.50,Rare,69,,,,
Aggressive Biomancy (Extended Art),Modern Horizons 3 Commander Variants,1,TRUE,0.50,Rare,69,,,,
Bloodbraid Challenger (Extended Art),Modern Horizons 3 Commander Variants,2,FALSE,0.00,Rare,70,,,,
Bloodbraid Challenger (Extended Art),Modern Horizons 3 Commander Variants,1,TRUE,1.77,Rare,70,,,,
