Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Turf War,New Capenna Commander,1,FALSE,0.25,Rare,54,5e7fecbd-66f6-44b7-8fe4-b9b5bfce3e2c,54,ncc,rare
Dodgy Jalopy,New Capenna Commander,1,FALSE,0.26,Rare,58,9b5617c2-6d23-4bfb-bc1f-c27f0cfdb022,58,ncc,rare
Next of Kin,New Capenna Commander,1,FALSE,0.27,Rare,62,51a4414b-3cab-463f-a2b5-e49104f251da,62,ncc,rare
Vivien's Stampede,New Capenna Commander,1,FALSE,0.25,Rare,65,de108ae1-7201-4849-9f68-92edff66649c,65,ncc,rare
Brokers Confluence,New Capenna Commander,1,FALSE,0.65,Rare,68,657ff5fc-1a95-46f9-85f7-fc1ad757c8c4,68,ncc,rare
Aerial Extortionist (Extended Art),New Capenna Commander Variants,1,FALSE,3.08,Rare,112,,,,
Mask of the Schemer (Extended Art),New Capenna Commander Variants,1,FALSE,0.50,Rare,129,,,,
Dogged Detective (Extended Art),New Capenna Commander Variants,1,FALSE,0.50,Rare,136,,,,
Writ of Return (Extended Art),New Capenna Commander Variants,1,FALSE,0.50,Rare,143,,,,
"Jolene, the Plunder Queen (Extended Art)",New Capenna Commander Variants,17,FALSE,6.64,Rare,173,,,,
Life Insurance (Extended Art),New Capenna Commander Variants,1,FALSE,1.57,Rare,174,,,,
