Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Synthesis Pod,Phyrexia: Commander Variants,1,FALSE,0.30,Rare,23,,,,
Tangleweave Armor,Phyrexia: Commander Variants,1,FALSE,0.30,Rare,26,,,,
Lux Artillery,Phyrexia: Commander Variants,1,FALSE,0.75,Rare,27,,,,
Skyhunter Strike Force (Extended Art),Phyrexia: Commander Variants,1,FALSE,1.86,Rare,31,,,,
Mirage Mockery (Extended Art),Phyrexia: Commander Variants,1,FALSE,0.40,Rare,32,,,,
Synthesis Pod (Extended Art),Phyrexia: Commander Variants,1,TRUE,0.26,Rare,33,,,,
Monumental Corruption (Extended Art),Phyrexia: Commander Variants,1,FALSE,0.46,Rare,34,,,,
Tangleweave Armor (Extended Art),Phyrexia: Commander Variants,1,FALSE,0.35,Rare,36,,,,
"Neyali, Suns' Vanguard (Extended Art)",Phyrexia: Commander Variants,1,FALSE,2.10,Mythic Rare,38,,,,
Lux Artillery (Extended Art),Phyrexia: Commander Variants,1,FALSE,0.47,Rare,41,,,,
Glimmer Lens (Extended Art),Phyrexia: Commander Variants,1,FALSE,0.70,Rare,44,,,,
Kemba's Banner (Extended Art),Phyrexia: Commander Variants,1,FALSE,0.35,Rare,45,,,,
Geth's Summons (Extended Art),Phyrexia: Commander Variants,1,FALSE,0.40,Rare,49,,,,
Goldwardens' Gambit (Extended Art),Phyrexia: Commander Variants,1,FALSE,0.37,Rare,51,,,,
Hexplate Wallbreaker (Extended Art),Phyrexia: Commander Variants,1,FALSE,5.87,Rare,52,,,,
Roar of Resistance (Extended Art),Phyrexia: Commander Variants,1,FALSE,0.71,Rare,53,,,,
Vulshok Factory (Extended Art),Phyrexia: Commander Variants,1,FALSE,0.25,Rare,54,,,,
Wurmquake (Extended Art),Phyrexia: Commander Variants,1,FALSE,0.33,Rare,57,,,,
