Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
"Aragorn, King of Gondor (Extended Art)",Tales of Middle-earth Commander Variants,1,TRUE,2.57,Mythic Rare,85,,,,
"Éowyn, Shieldmaiden (Extended Art)",Tales of Middle-earth Commander Variants,1,TRUE,1.33,Mythic Rare,86,,,,
"Frodo, Adventurous Hobbit (Extended Art)",Tales of Middle-earth Commander Variants,1,FALSE,1.36,Mythic Rare,87,,,,
"Galadriel, Elven-Queen (Extended Art)",Tales of Middle-earth Commander Variants,1,TRUE,0.38,Mythic Rare,88,,,,
"Gandalf, Westward Voyager (Extended Art)",Tales of Middle-earth Commander Variants,1,TRUE,0.42,Mythic Rare,89,,,,
"Sam, Loyal Attendant (Extended Art)",Tales of Middle-earth Commander Variants,1,FALSE,3.00,Mythic Rare,90,,,,
"Saruman, the White Hand (Extended Art)",Tales of Middle-earth Commander Variants,1,TRUE,2.59,Mythic Rare,91,,,,
"Sauron, Lord of the Rings (Extended Art)",Tales of Middle-earth Commander Variants,1,FALSE,2.74,Mythic Rare,92,,,,
Beregond of the Guard (Extended Art),Tales of Middle-earth Commander Variants,1,FALSE,0.97,Rare,93,,,,
Field-Tested Frying Pan (Extended Art),Tales of Middle-earth Commander Variants,1,FALSE,1.00,Rare,95,,,,
The Gaffer (Extended Art),Tales of Middle-earth Commander Variants,1,FALSE,6.03,Rare,96,,,,
Grey Host Reinforcements (Extended Art),Tales of Middle-earth Commander Variants,1,FALSE,0.50,Rare,98,,,,
Archivist of Gondor (Extended Art),Tales of Middle-earth Commander Variants,1,FALSE,0.50,Rare,101,,,,
"Denethor, Stone Seer (Extended Art)",Tales of Middle-earth Commander Variants,1,FALSE,0.41,Rare,103,,,,
Monstrosity of the Lake (Extended Art),Tales of Middle-earth Commander Variants,1,FALSE,1.84,Rare,105,,,,
Raise the Palisade (Extended Art),Tales of Middle-earth Commander Variants,1,FALSE,15.94,Rare,106,,,,
Subjugate the Hobbits (Extended Art),Tales of Middle-earth Commander Variants,1,FALSE,0.50,Rare,107,,,,
