Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
"Eris, Roar of the Storm (Extended Art)",Thunder Junction Commander Variants,1,FALSE,1.75,Mythic Rare,41,,,,
Felix Five-Boots (Extended Art),Thunder Junction Commander Variants,1,TRUE,1.83,Mythic Rare,42,,,,
"Kirri, Talented Sprout (Extended Art)",Thunder Junction Commander Variants,1,TRUE,0.37,Mythic Rare,43,,,,
"Vihaan, Goldwaker (Extended Art)",Thunder Junction Commander Variants,1,TRUE,2.42,Mythic Rare,44,,,,
Angel of Indemnity (Extended Art),Thunder Junction Commander Variants,1,FALSE,2.74,Rare,45,,,,
Angelic Sell-Sword (Extended Art),Thunder Junction Commander Variants,1,FALSE,0.33,Rare,46,,,,
Sand Scout (Extended Art),Thunder Junction Commander Variants,1,FALSE,0.40,Rare,47,,,,
We Ride at Dawn (Extended Art),Thunder Junction Commander Variants,1,FALSE,0.40,Rare,48,,,,
Arcane Heist (Extended Art),Thunder Junction Commander Variants,1,FALSE,0.55,Rare,49,,,,
Forger's Foundry (Extended Art),Thunder Junction Commander Variants,1,FALSE,0.31,Rare,50,,,,
Lock and Load (Extended Art),Thunder Junction Commander Variants,1,FALSE,0.48,Rare,51,,,,
Smirking Spelljacker (Extended Art),Thunder Junction Commander Variants,1,FALSE,0.50,Rare,52,,,,
Thunderclap Drake (Extended Art),Thunder Junction Commander Variants,1,FALSE,4.14,Rare,53,,,,
Back in Town (Extended Art),Thunder Junction Commander Variants,1,FALSE,0.83,Rare,54,,,,
Discreet Retreat (Extended Art),Thunder Junction Commander Variants,1,FALSE,0.27,Rare,56,,,,
Heartless Conscription (Extended Art),Thunder Junction Commander Variants,1,FALSE,0.50,Rare,57,,,,
Orochi Soul-Reaver (Extended Art),Thunder Junction Commander Variants,1,FALSE,2.94,Rare,58,,,,
Thieving Varmint (Extended Art),Thunder Junction Commander Variants,1,FALSE,0.30,Rare,59,,,,
Cataclysmic Prospecting (Extended Art),Thunder Junction Commander Variants,1,FALSE,0.25,Rare,60,,,,
Crackling Spellslinger (Extended Art),Thunder Junction Commander Variants,1,FALSE,0.52,Rare,61,,,,
Dead Before Sunrise (Extended Art),Thunder Junction Commander Variants,1,FALSE,0.25,Rare,62,,,,
Elemental Eruption (Extended Art),Thunder Junction Commander Variants,1,FALSE,0.56,Rare,63,,,,
Embrace the Unknown (Extended Art),Thunder Junction Commander Variants,1,FALSE,0.42,Rare,64,,,,
Pyretic Charge (Extended Art),Thunder Junction Commander Variants,1,FALSE,0.25,Rare,65,,,,
Smoldering Stagecoach (Extended Art),Thunder Junction Commander Variants,1,FALSE,0.25,Rare,66,,,,
Dune Chanter (Extended Art),Thunder Junction Commander Variants,1,FALSE,0.53,Rare,67,,,,
Rumbleweed (Extended Art),Thunder Junction Commander Variants,1,FALSE,0.48,Rare,68,,,,
Savvy Trader (Extended Art),Thunder Junction Commander Variants,1,FALSE,1.11,Rare,69,,,,
Tower Winder (Extended Art),Thunder Junction Commander Variants,1,FALSE,2.45,Rare,70,,,,
Vengeful Regrowth (Extended Art),Thunder Junction Commander Variants,1,FALSE,0.25,Rare,71,,,,
Graywater's Fixer (Extended Art),Thunder Junction Commander Variants,1,FALSE,0.25,Rare,72,,,,
Bounty Board (Extended Art),Thunder Junction Commander Variants,1,FALSE,0.40,Rare,73,,,,
Dream-Thief's Bandana (Extended Art),Thunder Junction Commander Variants,1,FALSE,0.43,Rare,74,,,,
Leyline Dowser (Extended Art),Thunder Junction Commander Variants,1,FALSE,0.49,Rare,75,,,,
Cactus Preserve (Extended Art),Thunder Junction Commander Variants,1,FALSE,0.72,Rare,76,,,,
