Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Court of Ardenvale (Extended Art),Wilds of Eldraine Commander Variants,1,TRUE,2.43,Rare,29,,,,
Court of Vantress (Extended Art),Wilds of Eldraine Commander Variants,1,TRUE,5.13,Rare,30,,,,
Court of Locthwain (Extended Art),Wilds of Eldraine Commander Variants,1,FALSE,4.42,Rare,31,,,,
Court of Embereth (Extended Art),Wilds of Eldraine Commander Variants,1,FALSE,4.48,Rare,32,,,,
Court of Embereth (Extended Art),Wilds of Eldraine Commander Variants,1,TRUE,4.14,Rare,32,,,,
Court of Garenbrig (Extended Art),Wilds of Eldraine Commander Variants,1,FALSE,10.46,Rare,33,,,,
Court of Garenbrig (Extended Art),Wilds of Eldraine Commander Variants,1,TRUE,8.97,Rare,33,,,,
"Brenard, Ginger Sculptor (Extended Art)",Wilds of Eldraine Commander Variants,1,FALSE,3.32,Mythic Rare,35,,,,
Ellivere of the Wild Court (Extended Art),Wilds of Eldraine Commander Variants,1,TRUE,2.41,Mythic Rare,36,,,,
"Tegwyll, Duke of Splendor (Extended Art)",Wilds of Eldraine Commander Variants,1,TRUE,2.51,Mythic Rare,39,,,,
Throne of Eldraine (Extended Art),Wilds of Eldraine Commander Variants,1,TRUE,17.88,Rare,40,,,,
Liberated Livestock (Extended Art),Wilds of Eldraine Commander Variants,1,FALSE,0.35,Rare,41,,,,
Ox Drover (Extended Art),Wilds of Eldraine Commander Variants,1,FALSE,0.40,Rare,42,,,,
Malleable Impostor (Extended Art),Wilds of Eldraine Commander Variants,1,FALSE,1.67,Rare,46,,,,
Misleading Signpost (Extended Art),Wilds of Eldraine Commander Variants,1,FALSE,4.00,Rare,47,,,,
Blightwing Bandit (Extended Art),Wilds of Eldraine Commander Variants,1,FALSE,1.28,Rare,49,,,,
Faerie Bladecrafter (Extended Art),Wilds of Eldraine Commander Variants,1,FALSE,0.84,Rare,50,,,,
Nettling Nuisance (Extended Art),Wilds of Eldraine Commander Variants,1,FALSE,0.50,Rare,51,,,,
Giant Inheritance (Extended Art),Wilds of Eldraine Commander Variants,1,FALSE,0.43,Rare,53,,,,
Timber Paladin (Extended Art),Wilds of Eldraine Commander Variants,1,FALSE,0.50,Rare,56,,,,
