Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
"Ugin, the Spirit Dragon",Core Set 2021,1,FALSE,18.28,Mythic Rare,1,9c017fa9-7021-417a-9c2e-3df409644fcf,1,m21,mythic
Glorious Anthem,Core Set 2021,1,FALSE,0.44,Rare,21,17d154d3-7ae5-43ff-9978-d974285e2c89,21,m21,rare
Liliana's Standard Bearer,Core Set 2021,1,FALSE,0.29,Rare,110,3dc48b87-62cb-48f6-8979-e6fb98717b52,110,m21,rare
"Chandra, Heart of Fire",Core Set 2021,1,FALSE,0.50,Mythic Rare,135,a4c3ca8c-c77c-43b8-84ad-796313ecc813,135,m21,mythic
Volcanic Salvo,Core Set 2021,1,FALSE,0.25,Rare,172,a31b6817-9b63-4d6f-a945-459b44ad184c,172,m21,rare
Sanctum of Fruitful Harvest,Core Set 2021,1,FALSE,0.47,Uncommon,203,5ca28cfd-1a1b-4176-8b07-993d3d7b7ae4,203,m21,uncommon
"Niambi, Esteemed Speaker",Core Set 2021,1,FALSE,0.30,Rare,222,e21827eb-fa49-4784-a86b-aef164a5018e,222,m21,rare
Animal Sanctuary,Core Set 2021,1,FALSE,2.00,Rare,242,f8d7a2c7-666d-4fc6-bac8-ef8eb66e355d,242,m21,rare
Animal Sanctuary,Core Set 2021,1,TRUE,1.20,Rare,242,f8d7a2c7-666d-4fc6-bac8-ef8eb66e355d,242,m21,rare
"Teferi, Master of Time (Borderless)",Core Set 2021 Variants,1,TRUE,10.62,Mythic Rare,281,,,,
Island (310) (Showcase),Core Set 2021 Variants,1,FALSE,0.49,Basic Land,310,,,,
