Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Air Elemental,Eighth Edition,1,FALSE,0.25,Uncommon,59,3b15648c-1d88-42ec-b2f7-aab9a8c256a2,59,8ed,uncommon
Bog Wraith,Eighth Edition,1,FALSE,0.25,Uncommon,120,013d65c4-f471-4e05-84fd-cb83393bee49,120,8ed,uncommon
Choke,Eighth Edition,1,FALSE,1.00,Uncommon,237,e1ce4bab-6eb1-421f-b425-7bb0076defc7,237,8ed,uncommon
Demolish,Eighth Edition,1,FALSE,0.25,Uncommon,183,d09770e0-24c0-4842-b31b-61e746ed89d7,183,8ed,uncommon
Elvish Scrapper,Eighth Edition,1,FALSE,0.29,Uncommon,245,47ebab87-fd0c-43d0-bde1-e36065d764dd,245,8ed,uncommon
Enrage,Eighth Edition,1,FALSE,0.24,Uncommon,185,2b1e6973-003a-4f3e-b793-2e59519b1b8c,185,8ed,uncommon
Fighting Drake,Eighth Edition,1,FALSE,0.25,Uncommon,77,99c0a102-b31c-4cbd-894b-44b1c1e677d2,77,8ed,uncommon
Foratog,Eighth Edition,1,FALSE,0.25,Uncommon,249,5d621fad-3a50-4910-a302-23ae9e77ebde,249,8ed,uncommon
Hulking Cyclops,Eighth Edition,1,FALSE,0.25,Uncommon,195,dc1a5428-9bb4-4e2b-ba94-fccd321ce537,195,8ed,uncommon
Hunted Wumpus,Eighth Edition,1,FALSE,0.29,Uncommon,258,edda2de4-22f6-4d33-b182-3ae5d105f1f6,258,8ed,uncommon
Llanowar Behemoth,Eighth Edition,1,FALSE,0.29,Uncommon,261,05ce566a-9385-47a5-8420-f3ffcd88eae9,261,8ed,uncommon
Lure,Eighth Edition,1,FALSE,0.28,Uncommon,263,a5362cf9-a55b-4df5-941e-d738a68281cf,263,8ed,uncommon
Orcish Artillery,Eighth Edition,1,FALSE,0.24,Uncommon,207,d5d114ae-f574-45dd-903b-7d46d1121294,207,8ed,uncommon
Ravenous Rats,Eighth Edition,1,FALSE,0.25,Common,158,0ee0ece8-2598-40d4-a222-27e3b34c01a1,158,8ed,common
Revive,Eighth Edition,1,FALSE,0.25,Uncommon,276,0dbd99aa-af0a-489d-9be1-d3aaa0a1f5a4,276,8ed,uncommon
Spreading Algae,Eighth Edition,1,FALSE,0.30,Uncommon,281,3abaf631-ce63-47c8-8883-04f942f2e7ba,281,8ed,uncommon
Throne of Bone,Eighth Edition,1,FALSE,0.25,Uncommon,317,66ef3879-f708-4e2d-a1bc-6a75584fd8b1,317,8ed,uncommon
Treasure Trove,Eighth Edition,1,FALSE,0.24,Uncommon,110,b4f65e7a-be66-4a57-9e33-c1b02285f65e,110,8ed,uncommon
Volcanic Hammer,Eighth Edition,1,FALSE,0.20,Common,231,59c47e6a-71d8-4eba-ad05-0e6745f81600,231,8ed,common
Wing Snare,Eighth Edition,1,FALSE,0.21,Uncommon,288,eb5beaf0-21ca-4539-8773-8a9430af74b0,288,8ed,uncommon
