Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Bottle of Suleiman,Fifth Edition,1,FALSE,0.45,Rare,,f1de13cc-65b4-4a72-8a53-a05a46a40f61,354,5ed,rare
Circle of Protection: White,Fifth Edition,1,FALSE,0.24,Common,,1477ea65-76b8-40b7-985d-02bc4aec9210,21,5ed,common
Clockwork Beast,Fifth Edition,1,FALSE,0.43,Rare,,ed5507d5-7f1b-4cbf-8341-495c33e5ab6c,356,5ed,rare
Clockwork Steed,Fifth Edition,1,FALSE,0.25,Uncommon,,d27d83b9-4454-40c0-bac0-de736c634a53,357,5ed,uncommon
Crystal Rod,Fifth Edition,1,FALSE,0.25,Uncommon,,4bf1c7de-73b5-415b-897b-085ab5776932,361,5ed,uncommon
Diabolic Machine,Fifth Edition,1,FALSE,0.24,Uncommon,,8c76a433-4760-4ebb-ab0c-d69bba7d7ca1,363,5ed,uncommon
Game of Chaos,Fifth Edition,1,FALSE,9.41,Rare,,95b44933-6b0b-426a-97d4-7a7cf6ad1d65,232,5ed,rare
Ivory Cup,Fifth Edition,1,FALSE,0.24,Uncommon,,14f8085b-4bed-4b0b-b05e-5237bb896d00,380,5ed,uncommon
Magical Hack,Fifth Edition,1,FALSE,5.63,Rare,,c2349d53-d9f0-450f-be96-463791ee7aab,101,5ed,rare
Samite Healer,Fifth Edition,1,FALSE,0.19,Common,,ee3b2aaa-f04e-4a2a-8d5f-b3cc54605b28,58,5ed,common
Wooden Sphere,Fifth Edition,1,FALSE,0.24,Uncommon,,f3d05202-da8d-44b8-8a01-d8a16a2b1898,409,5ed,uncommon
