Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Air Elemental,Revised Edition,1,FALSE,0.33,Uncommon,,22905294-4ba6-4567-a21f-f53b8317acda,47,3ed,uncommon
Ankh of Mishra,Revised Edition,1,FALSE,8.76,Rare,,617599f1-69d9-4767-9656-982739728df0,233,3ed,rare
Bayou,Revised Edition,1,FALSE,425.96,Rare,,56355ff3-2232-4a11-b868-aec9a50b9ee5,283,3ed,rare
Black Knight,Revised Edition,1,FALSE,1.50,Uncommon,,eaa55b3c-acf4-4d2a-9f32-c7fce6672f3d,95,3ed,uncommon
Black Ward,Revised Edition,1,FALSE,0.27,Uncommon,,c5b6b0a4-bda8-422c-bddb-b2a0ba545596,5,3ed,uncommon
Castle,Revised Edition,1,FALSE,0.36,Uncommon,,434f2329-ea4c-41ba-ab62-857076d76442,8,3ed,uncommon
Conversion,Revised Edition,1,FALSE,0.25,Uncommon,,70182de2-253f-47d4-ac46-bec4a88b578e,14,3ed,uncommon
Crystal Rod,Revised Edition,1,FALSE,0.25,Uncommon,,f973046b-ce81-4e35-89f3-a6e857d751b8,242,3ed,uncommon
Dancing Scimitar,Revised Edition,1,FALSE,0.87,Rare,,e3d92537-7934-4191-8836-2f61ff6ab2fa,243,3ed,rare
Demonic Hordes,Revised Edition,1,FALSE,6.21,Rare,,b4cfeebf-d893-4fdf-b3fc-f1f9528f4d04,104,3ed,rare
Flying Carpet,Revised Edition,1,FALSE,0.67,Rare,,7e46b461-a38e-44f8-8e15-7cefe8aea46a,248,3ed,rare
Guardian Angel,Revised Edition,1,FALSE,0.23,Common,,74da83ea-8302-4927-a355-331636950572,21,3ed,common
Healing Salve,Revised Edition,1,FALSE,0.24,Common,,3300b080-a6f5-4a4a-8faf-0206fbfe8988,22,3ed,common
Hurloon Minotaur,Revised Edition,1,FALSE,0.22,Common,,f6de6b0d-dd8c-4ab9-8de3-b083a36b24b7,159,3ed,common
Karma,Revised Edition,1,FALSE,0.32,Uncommon,,b316838d-2414-4d0c-a25f-132b7462064a,26,3ed,uncommon
Ley Druid,Revised Edition,1,FALSE,0.25,Uncommon,,ea2c2bf3-357d-4595-9b24-3451bd2d0179,206,3ed,uncommon
Lifeforce,Revised Edition,1,FALSE,0.32,Uncommon,,ca28f9ec-897a-46fd-8e3d-16330ad43d24,207,3ed,uncommon
Merfolk of the Pearl Trident,Revised Edition,1,FALSE,0.23,Common,,2fad0078-f3cb-48a4-9ed4-b658e983314f,68,3ed,common
Mesa Pegasus,Revised Edition,1,FALSE,0.23,Common,,ce7e6bfb-9038-48b5-bfaf-9450c503c69e,28,3ed,common
Nettling Imp,Revised Edition,1,FALSE,0.35,Uncommon,,94c40a45-6439-4405-8562-11a9000a1061,119,3ed,uncommon
Nevinyrral's Disk,Revised Edition,1,FALSE,5.60,Rare,,ba5fcfc5-0715-4c6c-8325-3b54a138634e,267,3ed,rare
Obsianus Golem,Revised Edition,2,FALSE,0.27,Uncommon,,ef24fb75-49c7-48eb-a0b3-dc08d7f691ec,268,3ed,uncommon
Ornithopter,Revised Edition,1,FALSE,0.95,Uncommon,,b3654fd6-f8ac-471a-8559-ba4ed0fe75c3,270,3ed,uncommon
Pearled Unicorn,Revised Edition,1,FALSE,0.23,Common,,a450ce98-4854-4378-8809-27019b3800c2,30,3ed,common
Pestilence,Revised Edition,1,FALSE,0.38,Common,,b6647e7d-b0ad-4170-8dce-ea4c89897c6a,122,3ed,common
Power Sink,Revised Edition,1,FALSE,0.24,Common,,1134aa48-b288-44ab-9d3a-efee12cb98a4,74,3ed,common
Red Ward,Revised Edition,1,FALSE,0.28,Uncommon,,e6a8157a-4c5e-4a08-83e3-c8fafa7a828b,33,3ed,uncommon
Reverse Polarity,Revised Edition,1,FALSE,0.29,Uncommon,,e77b2e9b-4db2-4dd2-ae55-bddb22ff87e5,36,3ed,uncommon
Rock Hydra,Revised Edition,1,FALSE,3.30,Rare,,c2a08993-d6c5-45ad-82dc-093c8b912a56,173,3ed,rare
Samite Healer,Revised Edition,1,FALSE,0.24,Common,,7545fe51-dbe5-4d4c-87a8-86d54734bf33,38,3ed,common
Scrubland,Revised Edition,1,FALSE,312.35,Rare,,472034a2-0ba9-4876-ab7a-aa7013d603bb,286,3ed,rare
Sunglasses of Urza,Revised Edition,1,FALSE,1.25,Rare,,4babb2a9-b6b3-4a85-8add-90828726adb4,276,3ed,rare
Taiga,Revised Edition,1,FALSE,349.99,Rare,,54c5c65a-a444-4e0f-ae44-a3722cdd32a1,287,3ed,rare
Throne of Bone,Revised Edition,1,FALSE,0.25,Uncommon,,8b08a20c-59ee-4323-8a00-af88b82d6b76,279,3ed,uncommon
Tropical Island,Revised Edition,1,FALSE,498.15,Rare,,a0f5c6bc-65dc-42a1-a62d-a0b101310a1f,288,3ed,rare
Tundra,Revised Edition,1,FALSE,460.07,Rare,,9c9d5f72-e199-4d5b-ae7e-cc5b9bdfae99,289,3ed,rare
Underground Sea,Revised Edition,1,FALSE,761.58,Rare,,1f35877c-e66c-4ef0-842a-f68cd233ae4b,290,3ed,rare
Unstable Mutation,Revised Edition,2,FALSE,0.24,Common,,fc24e53b-5074-4791-9277-46e14a70db3a,86,3ed,common
Volcanic Island,Revised Edition,1,FALSE,666.70,Rare,,b12e5430-0e80-47dd-80ac-85728b656a24,291,3ed,rare
Wall of Swords,Revised Edition,1,FALSE,0.30,Uncommon,,4390978b-f647-4720-8caa-00eeecff8471,43,3ed,uncommon
Wall of Water,Revised Edition,1,FALSE,0.29,Uncommon,,14363981-7c27-49d4-91d6-e2a51b679784,91,3ed,uncommon
Wall of Wood,Revised Edition,1,FALSE,0.23,Common,,9d4f8eb6-2c3c-49e7-a41d-33c138d853c9,226,3ed,common
Wooden Sphere,Revised Edition,1,FALSE,0.29,Uncommon,,157a28e2-61f6-4c95-b377-e945fc8dade2,281,3ed,uncommon
Zombie Master,Revised Edition,1,FALSE,7.97,Rare,,e868767f-b62e-4bb4-95e5-62feac05ff9d,138,3ed,rare
