Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
"Emrakul, the Aeons Torn",Double Masters 2022,1,FALSE,22.94,Mythic Rare,1,249db4d4-2542-47ee-a216-e13ffbc2319c,1,2x2,mythic
"Kozilek, Butcher of Truth",Double Masters 2022,1,FALSE,45.30,Mythic Rare,2,d27cf7b7-7982-46bd-a559-7789c0e74bae,2,2x2,mythic
"Ulamog, the Infinite Gyre",Double Masters 2022,1,FALSE,41.43,Mythic Rare,3,9464a820-65de-44f2-9895-46a35e8621a0,3,2x2,mythic
Abzan Falconer,Double Masters 2022,1,FALSE,0.25,Uncommon,4,db62ac2c-0d24-4d6f-a6ca-cca4371a3bd7,4,2x2,uncommon
Ainok Bond-Kin,Double Masters 2022,1,FALSE,0.19,Common,5,1778cf9a-2703-41e9-86d7-ec21af8cf61d,5,2x2,common
Ainok Bond-Kin,Double Masters 2022,1,TRUE,0.06,Common,5,1778cf9a-2703-41e9-86d7-ec21af8cf61d,5,2x2,common
Anointer of Valor,Double Masters 2022,1,FALSE,0.15,Common,6,393fb9f7-ec03-4831-96d4-a26c89b91830,6,2x2,common
Anointer of Valor,Double Masters 2022,1,TRUE,0.07,Common,6,393fb9f7-ec03-4831-96d4-a26c89b91830,6,2x2,common
Battlefield Promotion,Double Masters 2022,1,FALSE,0.15,Common,7,4e4e3a08-05a6-4730-8b4a-a8cb440dc299,7,2x2,common
Battlefield Promotion,Double Masters 2022,1,TRUE,0.04,Common,7,4e4e3a08-05a6-4730-8b4a-a8cb440dc299,7,2x2,common
Divine Visitation,Double Masters 2022,1,FALSE,5.63,Mythic Rare,8,3a73bd5a-eb22-41dc-84ff-93d23d84afae,8,2x2,mythic
Doomed Traveler,Double Masters 2022,1,FALSE,0.15,Common,9,5642cdda-789f-4125-a9ff-7c445bb51950,9,2x2,common
Emiel the Blessed,Double Masters 2022,1,FALSE,4.01,Mythic Rare,10,0f594562-7e9f-47e6-a033-fb70e3cf1e10,10,2x2,mythic
Flickerwisp,Double Masters 2022,1,FALSE,0.25,Uncommon,11,f6cccf30-2025-49bb-9b1e-240bbef03f27,11,2x2,uncommon
Gods Willing,Double Masters 2022,1,FALSE,0.20,Common,12,e8181eee-c03b-40db-aea1-24a4b34a4785,12,2x2,common
Hyena Umbra,Double Masters 2022,1,FALSE,0.26,Common,13,f6cc0f1f-191a-4141-965f-8d159bf54732,13,2x2,common
Knightly Valor,Double Masters 2022,1,FALSE,0.15,Common,14,c0f20ca6-1a92-4be5-a84a-e7f8f0b7f648,14,2x2,common
Last Breath,Double Masters 2022,1,FALSE,0.15,Common,15,12cca37a-7efd-4b01-bf96-15d0a032524d,15,2x2,common
Leonin Arbiter,Double Masters 2022,1,FALSE,0.94,Rare,16,0d0f827b-ebc3-45a4-8d12-c71a14478038,16,2x2,rare
Mentor of the Meek,Double Masters 2022,1,FALSE,0.26,Uncommon,17,10c78b83-49d4-48c6-8aef-497541431c77,17,2x2,uncommon
"Mikaeus, the Lunarch",Double Masters 2022,1,FALSE,0.50,Rare,18,ccc3535f-bf13-442a-b632-590a69cf0ca4,18,2x2,rare
Militia Bugler,Double Masters 2022,1,FALSE,0.20,Common,19,5fe9413b-5702-4998-aed7-d3a1102a8d7e,19,2x2,common
Momentary Blink,Double Masters 2022,1,FALSE,0.20,Common,20,1fa0d1c6-9110-4956-97eb-e18c457bb130,20,2x2,common
Monastery Mentor,Double Masters 2022,1,FALSE,4.19,Mythic Rare,21,64c8e27f-a7eb-4247-bd3d-2d0b02ead334,21,2x2,mythic
Myth Realized,Double Masters 2022,1,FALSE,0.19,Uncommon,22,15afcabf-58a8-4650-a6cf-b7f2f01d0671,22,2x2,uncommon
Path to Exile,Double Masters 2022,1,FALSE,0.97,Uncommon,23,90460227-6f34-4403-b2ef-d79f95f44790,23,2x2,uncommon
Relief Captain,Double Masters 2022,1,FALSE,0.14,Common,24,300f4c1d-dbe7-4d9f-9974-b2d1a2989ddf,24,2x2,common
Restoration Angel,Double Masters 2022,1,FALSE,0.39,Rare,25,35f7f491-0733-42fa-ad8b-594252e74703,25,2x2,rare
