Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Esper Sentinel,Modern Horizons 1-2 Timeshifts,1,TRUE,25.21,Rare,2,,,,
Solitude,Modern Horizons 1-2 Timeshifts,1,FALSE,13.51,Mythic Rare,3,,,,
Dress Down,Modern Horizons 1-2 Timeshifts,1,TRUE,4.36,Rare,4,,,,
Hard Evidence,Modern Horizons 1-2 Timeshifts,1,TRUE,0.07,Common,5,,,,
Subtlety,Modern Horizons 1-2 Timeshifts,1,TRUE,14.93,Mythic Rare,6,,,,
Grief,Modern Horizons 1-2 Timeshifts,1,FALSE,3.98,Mythic Rare,7,,,,
Sling-Gang Lieutenant,Modern Horizons 1-2 Timeshifts,1,TRUE,0.16,Uncommon,8,,,,
Fury,Modern Horizons 1-2 Timeshifts,1,TRUE,4.92,Mythic Rare,10,,,,
"Ragavan, Nimble Pilferer",Modern Horizons 1-2 Timeshifts,1,FALSE,25.65,Mythic Rare,11,,,,
Unholy Heat,Modern Horizons 1-2 Timeshifts,1,TRUE,0.18,Common,13,,,,
Endurance,Modern Horizons 1-2 Timeshifts,1,FALSE,9.62,Mythic Rare,14,,,,
Tireless Provisioner,Modern Horizons 1-2 Timeshifts,1,TRUE,1.79,Uncommon,15,,,,
Munitions Expert,Modern Horizons 1-2 Timeshifts,1,TRUE,0.09,Uncommon,16,,,,
