Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Breaker of Creation,Modern Horizons 3,1,TRUE,1.02,Uncommon,1,72449552-aa2c-4ae3-846f-df523c5e6078,1,mh3,uncommon
Devourer of Destiny,Modern Horizons 3,1,TRUE,2.07,Rare,2,560debcd-feb4-4534-991e-a7aa1cca2409,2,mh3,rare
Drownyard Lurker,Modern Horizons 3,2,TRUE,0.09,Common,3,7faf5812-2067-4386-bb83-150723d67d02,3,mh3,common
Echoes of Eternity,Modern Horizons 3,1,TRUE,1.75,Rare,4,b28b9bee-d726-407b-9e5b-2231384df81e,4,mh3,rare
Eldrazi Ravager,Modern Horizons 3,1,TRUE,0.12,Uncommon,5,0ce97bb8-b0ee-4473-8c26-a3ec91abec97,5,mh3,uncommon
"Emrakul, the World Anew",Modern Horizons 3,1,FALSE,10.04,Mythic Rare,6,b914bfd9-5be3-4459-a68a-9b3ea2747bbc,6,mh3,mythic
Glaring Fleshraker,Modern Horizons 3,1,TRUE,5.08,Uncommon,7,80c2a3c7-1486-4ff9-88ec-79ec67a437f8,7,mh3,uncommon
"Herigast, Erupting Nullkite",Modern Horizons 3,1,TRUE,1.26,Mythic Rare,8,7baf9549-1869-4bd3-a52a-2f0b30ba0b16,8,mh3,mythic
It That Heralds the End,Modern Horizons 3,1,TRUE,1.96,Uncommon,9,c8c47679-0fac-466f-be3c-794f23576e55,9,mh3,uncommon
"Kozilek, the Broken Reality",Modern Horizons 3,1,FALSE,6.75,Mythic Rare,10,04066abb-44d2-4730-9cc3-2584bc4c7d8c,10,mh3,mythic
"Kozilek, the Broken Reality",Modern Horizons 3,2,TRUE,7.19,Mythic Rare,10,04066abb-44d2-4730-9cc3-2584bc4c7d8c,10,mh3,mythic
Kozilek's Command,Modern Horizons 3,1,TRUE,10.04,Rare,11,92585587-cfdc-406a-9114-4f6dd8802c37,11,mh3,rare
Null Elemental Blast,Modern Horizons 3,1,FALSE,0.40,Uncommon,12,8e259868-d29a-4c03-8ec3-49e914f849fb,12,mh3,uncommon
Null Elemental Blast,Modern Horizons 3,2,TRUE,0.39,Uncommon,12,8e259868-d29a-4c03-8ec3-49e914f849fb,12,mh3,uncommon
Nulldrifter,Modern Horizons 3,1,TRUE,1.92,Rare,13,4d9f1bb8-c91b-40cd-a416-abbff0d65306,13,mh3,rare
Twisted Riddlekeeper,Modern Horizons 3,1,TRUE,0.06,Uncommon,14,534d7ae4-9c4b-4a5a-a109-7630a07aeb45,14,mh3,uncommon
Warped Tusker,Modern Horizons 3,2,TRUE,0.04,Common,16,2b5f3a1a-8514-4598-be3d-c3be719f6951,16,mh3,common
Wastescape Battlemage,Modern Horizons 3,1,TRUE,0.23,Uncommon,17,6bc119b8-429c-4ab6-adba-b65b03810e98,17,mh3,uncommon
Aerie Auxiliary,Modern Horizons 3,2,TRUE,0.03,Common,18,5e4c134b-a416-467e-a158-def84c92c6af,18,mh3,common
Ajani Fells the Godsire,Modern Horizons 3,1,TRUE,0.11,Uncommon,19,1d918133-d4e2-4674-a3cb-58edef1c6758,19,mh3,uncommon
Argent Dais,Modern Horizons 3,1,TRUE,0.14,Rare,20,b56ad225-1249-4e94-898c-ca21b132e62d,20,mh3,rare
