Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Serra Angel,30th Anniversary Promos,1,TRUE,0.30,Uncommon,1,978c9a84-c316-4d12-912d-d75ea43f06c3,1,p30a,rare
Ball Lightning,30th Anniversary Promos,1,TRUE,0.79,Rare,2,84423ed1-ebf0-424f-9801-57b79d5ef721,2,p30a,rare
Fyndhorn Elves,30th Anniversary Promos,2,TRUE,1.76,Rare,3,ef7a1bd1-abcd-4e06-9b38-f9e79bad71fa,3,p30a,rare
Wall of Roots,30th Anniversary Promos,1,TRUE,0.53,Rare,4,148bbff4-ac34-45d1-9091-323947a6ff67,4,p30a,rare
Wood Elves,30th Anniversary Promos,2,TRUE,1.63,Rare,5,02de2d9d-2a7d-4059-9258-ef5b50f1f801,5,p30a,rare
Windfall,30th Anniversary Promos,1,TRUE,5.63,Rare,6,384f886f-691c-484d-90e2-02201ea488ee,6,p30a,rare
Loyal Retainers,30th Anniversary Promos,1,TRUE,9.14,Rare,7,2150950b-61e1-4146-b9ed-9794ef153ac7,7,p30a,rare
Kor Haven,30th Anniversary Promos,1,TRUE,15.15,Rare,8,18275369-858f-4a1f-9fbe-1aa7653c536d,8,p30a,rare
Vindicate,30th Anniversary Promos,1,TRUE,6.19,Rare,9,ae6153ac-f66e-4a05-9108-3c0be53bfea7,9,p30a,rare
Exalted Angel,30th Anniversary Promos,1,TRUE,0.33,Rare,10,788d404d-b866-4f29-a716-d2f1eb925111,10,p30a,rare
Temple of the False God,30th Anniversary Promos,1,TRUE,0.68,Rare,11,2bdaa00e-4c28-4250-9841-c7d7a5cc7998,11,p30a,rare
Eternal Witness,30th Anniversary Promos,1,TRUE,1.49,Rare,12,0574d09f-5667-4ecf-bbbb-a1a0ed24068d,12,p30a,rare
Acidic Slime,30th Anniversary Promos,1,TRUE,0.27,Rare,17,058da946-cf26-4190-98bc-c155244339fb,17,p30a,rare
Terastodon,30th Anniversary Promos,1,TRUE,0.32,Rare,18,9b5336e8-acbd-4326-ad6d-17a70070ff98,18,p30a,rare
Harvester of Souls,30th Anniversary Promos,1,TRUE,0.90,Rare,20,c7b81deb-992c-4388-84c4-a18c78f58b24,20,p30a,rare
Dramatic Reversal,30th Anniversary Promos,1,TRUE,1.74,Rare,24,5a5e1516-c2cf-4535-a6dc-42a5f3544d88,24,p30a,rare
Path of Ancestry,30th Anniversary Promos,1,TRUE,0.49,Rare,25,a6a2c184-b59f-4522-926c-fd232eddc85e,25,p30a,rare
Beast Whisperer,30th Anniversary Promos,2,TRUE,2.90,Rare,26,91b11e18-e29b-4b3b-a37b-91ef52c1c7b3,26,p30a,rare
Lotus Petal,30th Anniversary Promos,1,TRUE,16.48,Mythic Rare,32,,,,
