Set Type,Set Name,Number of Cards
commander,Battle for Baldur's Gate Commander Decks,289
commander,Bloomburrow Commander,54
commander,Commander 2013 Edition,3
commander,Commander 2019,5
commander,Commander 2020,1
commander,Commander 2021,3
commander,Commander Legends,353
commander,Commander Masters,564
commander,Commander Masters Decks,7
commander,Commander: Battle for Baldur's Gate,516
commander,Crimson Vow Commander,4
commander,Dominaria United Commander,85
commander,Forgotten Realms Commander,12
commander,Kaldheim Commander,16
commander,Karlov Manor Commander,39
commander,Lost Caverns Commander,65
commander,Lost Caverns of Ixalan Commander,1
commander,MH3 Commander Collector's Edition,329
commander,Midnight Hunt Commander,2
commander,Modern Horizons 3 Commander,151
commander,MotM Commander,4
commander,Neon Dynasty Commander,1
commander,New Capenna Commander,11
commander,Outlaws of Thunder Junction Commander,3
commander,Phyrexia: All Will Be One Commander,2
commander,Phyrexia: Commander,18
commander,Tales of Middle-earth Commander,232
commander,The Brothers' War Commander,1
commander,Thunder Junction Commander,35
commander,Wilds of Eldraine Commander,20
core,Classic Sixth Edition,4
core,Core Set 2019,2
core,Core Set 2020,16
core,Core Set 2020 Extras,3
core,Core Set 2021,11
core,Eighth Edition,20
core,Fifth Edition,11
core,Fourth Edition,6
core,Magic 2010,1
core,Magic 2012,3
core,Magic 2013,5
core,Magic 2014 Core Set,1
core,Ninth Edition,4
core,Ravnica: Clue Edition,203
core,Ravnica: Clue Edition Box Toppers,2
core,Revised Edition,44
core,Seventh Edition,4
core,Tenth Edition,1
masters,Double Masters,4
masters,Double Masters 2022,390
masters,Eternal Masters,1
masters,Iconic Masters,7
masters,Masters 25,2
masters,Modern Horizons,4
masters,Modern Horizons 1-2 Timeshifts,13
masters,Modern Horizons 2,12
masters,Modern Horizons 3,566
masters,Modern Masters,2
masters,Modern Masters 2015 Edition,4
masters,Modern Masters 2017 Edition,2
promo,30th Anniversary Promos,19
promo,Bundle Promos,8
promo,Buy-a-Box Promos,9
promo,Companion Play Promos,1
promo,FNM Promos,1
promo,Game Day Promos,4
promo,Intro Pack Promos,1
promo,Open House Promos,1
promo,Pro Tour Promos,1
promo,Promo Pack: Core Set 2020,4
promo,Promo Pack: Core Set 2021,1
promo,Promo Pack: Dominaria United,4
promo,Promo Pack: Forgotten Realms,3
promo,Promo Pack: Ikoria,3
