Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
The Capitoline Triad,Assassin's Creed,1,TRUE,3.31,Mythic Rare,1,fa1b63ce-47d3-4633-9062-3fecd810e85f,1,acr,mythic
"Caduceus, Staff of Hermes",Assassin's Creed,1,TRUE,6.95,Rare,2,2b60f18e-4709-4b91-a342-74eb3fca71e1,2,acr,rare
Distract the Guards,Assassin's Creed,1,TRUE,0.09,Uncommon,3,5554433e-0dee-4960-a58c-c4a24e01a989,3,acr,uncommon
Fall of the First Civilization,Assassin's Creed,1,TRUE,0.13,Uncommon,4,85a8c84b-7d6c-4068-97b1-bc5dec46732c,4,acr,uncommon
Haystack,Assassin's Creed,1,TRUE,0.27,Uncommon,5,46e791f0-297b-46bf-acd5-f62458009d76,5,acr,uncommon
Hookblade,Assassin's Creed,1,TRUE,0.06,Uncommon,6,e17eca56-f658-410f-b505-8cbc87d4f253,6,acr,uncommon
"Senu, Keen-Eyed Protector",Assassin's Creed,1,TRUE,2.99,Rare,8,5671a03d-0858-41e7-976c-60825c29af04,8,acr,rare
Tax Collector,Assassin's Creed,1,TRUE,0.19,Uncommon,9,a300b5af-9223-4e97-9d33-a9226bd900f3,9,acr,uncommon
Templar Knight,Assassin's Creed,1,TRUE,2.96,Uncommon,10,3d5a1bec-9128-4c5e-98c3-317424f892d1,10,acr,uncommon
What Must Be Done,Assassin's Creed,1,TRUE,0.26,Rare,11,fe034544-e13f-45fc-ae43-83d0f399ed33,11,acr,rare
Assassin Gauntlet,Assassin's Creed,1,TRUE,0.19,Uncommon,12,a9ebdd18-7f07-417c-8f30-470c1f14dfae,12,acr,uncommon
Ballad of the Black Flag,Assassin's Creed,1,TRUE,0.22,Uncommon,13,2d6b1b2f-903c-438c-baba-a3b3e60b1d4f,13,acr,uncommon
Become Anonymous,Assassin's Creed,1,TRUE,0.18,Uncommon,14,f321777f-399b-4f80-9baf-da6a0aaa325a,14,acr,uncommon
"Crystal Skull, Isu Spyglass",Assassin's Creed,1,TRUE,3.63,Rare,15,b10fa72b-6742-4b65-8654-ac70b6240e38,15,acr,rare
Desynchronization,Assassin's Creed,1,TRUE,4.29,Rare,16,3ddd3561-0143-40b7-81bc-640a978b8b15,16,acr,rare
Eagle Vision,Assassin's Creed,1,TRUE,0.20,Uncommon,17,5197e8d6-cbfe-4469-95e1-f17eeb4715f1,17,acr,uncommon
Escape Detection,Assassin's Creed,1,TRUE,0.08,Uncommon,18,ec676a8f-612d-4ef4-a370-6208407a86af,18,acr,uncommon
Evie Frye,Assassin's Creed,1,TRUE,0.22,Rare,19,62f1ff84-d363-4aa2-b884-e9640cf62537,19,acr,rare
Loyal Inventor,Assassin's Creed,1,TRUE,0.22,Uncommon,21,be1e598a-840c-4166-88a6-92a8b9958536,21,acr,uncommon
Assassin Initiate,Assassin's Creed,1,TRUE,0.15,Uncommon,22,3ce4e330-d878-48f3-b9fe-3158d69f2da2,22,acr,uncommon
Chain Assassination,Assassin's Creed,1,TRUE,0.09,Uncommon,23,d4bcd9c9-5957-48ee-9c12-f659c5fd07d0,23,acr,uncommon
Desmond Miles,Assassin's Creed,1,TRUE,0.93,Rare,24,c9523cd1-c3cf-4745-af09-77c1a83ac86f,24,acr,rare
Hemlock Vial,Assassin's Creed,1,TRUE,0.08,Uncommon,26,7ea6cde3-a4e6-4052-aca3-4d209be15db3,26,acr,uncommon
Jacob Frye,Assassin's Creed,1,TRUE,0.29,Rare,27,23422e75-e1c7-484b-aa1f-155ef9a998ec,27,acr,rare
Petty Larceny,Assassin's Creed,1,TRUE,0.10,Uncommon,28,45abc0a4-ae33-470f-9a39-2dd776dd6adb,28,acr,uncommon
Phantom Blade,Assassin's Creed,1,TRUE,0.11,Uncommon,29,ec5ec61b-5393-422b-b021-46b80bb42ac4,29,acr,uncommon
Restart Sequence,Assassin's Creed,1,TRUE,0.17,Uncommon,30,9a2b1b20-e5fd-4ccb-8529-12dbde0e0811,30,acr,uncommon
The Revelations of Ezio,Assassin's Creed,1,TRUE,0.12,Uncommon,31,ed77def5-ac92-4907-805d-261cae0db357,31,acr,uncommon
