Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
"Davros, Dalek Creator",Doctor Who,1,TRUE,0.22,Mythic Rare,1,59c5bd2b-cf68-4e5e-819d-53917a6c5275,1,who,mythic
The Fourth Doctor,Doctor Who,1,TRUE,0.23,Mythic Rare,2,c84ea0fd-efc7-4614-9f8f-41a3c71fceaa,2,who,mythic
The Tenth Doctor,Doctor Who,1,TRUE,0.29,Mythic Rare,3,f1499f49-793b-4265-9ad0-883a431941ab,3,who,mythic
The Thirteenth Doctor,Doctor Who,1,TRUE,0.26,Mythic Rare,4,0dc4ec90-1650-4b98-9350-66341394cf0b,4,who,mythic
Rose Tyler,Doctor Who,1,TRUE,0.13,Rare,5,3aa8d034-f98c-4e27-b6af-850eadf59941,5,who,rare
Sarah Jane Smith,Doctor Who,1,TRUE,0.13,Rare,6,1ba76f68-e647-4786-903c-92dbd3cef05d,6,who,rare
Yasmin Khan,Doctor Who,1,TRUE,0.07,Rare,7,12b09a4f-bb62-4766-8115-cae4d5cc4c12,7,who,rare
Banish to Another Universe,Doctor Who,1,TRUE,0.15,Uncommon,13,61f39d4c-af2d-486d-9408-b987474f8352,13,who,uncommon
Crisis of Conscience,Doctor Who,1,TRUE,0.36,Rare,17,308d9672-58a7-4ec8-a20d-7054d76fde37,17,who,rare
Four Knocks,Doctor Who,1,TRUE,1.03,Rare,20,02fe50fc-6c6c-43e7-ad0e-8f13a254da2a,20,who,rare
Jo Grant,Doctor Who,1,TRUE,0.00,Rare,23,a4c73220-363e-44d7-b406-436246c02a75,23,who,rare
Trial of a Time Lord,Doctor Who,1,TRUE,1.18,Rare,29,52b68ed3-0d26-4334-8d0c-2d28ced8ee4c,29,who,rare
Wilfred Mott,Doctor Who,1,TRUE,0.30,Rare,32,10918b68-b442-4895-b8a6-57f65274a39e,32,who,rare
Auton Soldier,Doctor Who,1,TRUE,12.34,Rare,36,4cc35b82-a233-4460-968e-d90980fb2074,36,who,rare
Don't Blink,Doctor Who,1,TRUE,0.19,Uncommon,40,ef31cf95-6e1d-4786-ae92-e1eebdb1da13,40,who,uncommon
The Eleventh Hour,Doctor Who,1,TRUE,0.82,Rare,41,ac5c90a9-697a-4bff-a738-0cebfb238bff,41,who,rare
Flatline,Doctor Who,1,TRUE,0.53,Rare,43,baea4cd3-cc62-4138-ac2e-5c96c70bbcce,43,who,rare
The Flood of Mars,Doctor Who,1,TRUE,1.66,Rare,45,8c3474c4-9466-46fc-8327-50950d75e79f,45,who,rare
Martha Jones,Doctor Who,1,TRUE,2.38,Rare,48,2a9f97c9-825b-43dc-96a5-807d1a15fdce,48,who,rare
Nyssa of Traken,Doctor Who,1,TRUE,0.34,Rare,51,bed41499-759d-4a3b-aabb-c462d5831956,51,who,rare
Reverse the Polarity,Doctor Who,1,TRUE,2.03,Rare,54,76f3ea66-555c-490d-b34f-12c267bc4e9b,54,who,rare
Star Whale,Doctor Who,1,TRUE,7.69,Uncommon,55,82dca4c3-efd6-4b6b-ac49-5a916135a592,55,who,uncommon
Start the TARDIS,Doctor Who,1,TRUE,0.69,Uncommon,56,f3574926-dd5a-4997-b9e2-7b051bc59c57,56,who,uncommon
Surge of Brilliance,Doctor Who,1,TRUE,3.43,Uncommon,57,0001c639-8bd0-426f-89cb-4ca61f3cc054,57,who,uncommon
Traverse Eternity,Doctor Who,1,TRUE,1.20,Rare,60,f6570c23-f135-4e81-9a4c-934c298a51ad,60,who,rare
Zygon Infiltrator,Doctor Who,1,TRUE,0.22,Uncommon,63,71b5538b-4561-4929-8e1c-9763e75cad0e,63,who,uncommon
Dalek Squadron,Doctor Who,1,TRUE,1.36,Uncommon,65,76573f9d-f0f2-47b8-88e7-17d58d0d20d3,65,who,uncommon
Doomsday Confluence,Doctor Who,1,TRUE,0.65,Rare,67,a4e86622-6f30-41b2-87d0-d345110e2387,67,who,rare
This Is How It Ends,Doctor Who,1,TRUE,0.17,Rare,70,250f6265-c0c8-4f51-bea8-408caf0a58d8,70,who,rare
The Toymaker's Trap,Doctor Who,1,TRUE,0.13,Rare,72,381de078-6eac-462c-b6d9-095779279d42,72,who,rare
Vislor Turlough,Doctor Who,1,TRUE,0.86,Rare,74,f25ec946-036b-480a-bab6-c4102e5c31db,74,who,rare
Bill Potts,Doctor Who,1,TRUE,0.14,Rare,76,74185710-3877-4080-b1d2-014fabbc7186,76,who,rare
Coward // Killer,Doctor Who,1,TRUE,0.18,Rare,77,9e389269-deef-4c48-b6d1-c505bf7cc6b3,77,who,rare
Decaying Time Loop,Doctor Who,1,TRUE,2.07,Uncommon,80,a0cedaa9-f08a-4d7b-8314-1d0a09a657bd,80,who,uncommon
Donna Noble,Doctor Who,1,TRUE,0.92,Rare,82,b6ffec6a-fbba-46cc-becb-4ee5ef8c4971,82,who,rare
Ensnared by the Mara,Doctor Who,1,TRUE,2.49,Rare,84,11454c82-3f1d-4456-8857-0dcb01d34298,84,who,rare
Flaming Tyrannosaurus,Doctor Who,1,TRUE,5.95,Rare,85,0bc8ecfd-7388-4725-8c58-bed2cc61400f,85,who,rare
Impending Flux,Doctor Who,1,TRUE,0.22,Rare,87,98cc159d-74f7-41fe-a866-c18d96219794,87,who,rare
Into the Time Vortex,Doctor Who,1,TRUE,1.96,Rare,88,a4a3cb61-b760-4cd4-838c-b26310103719,88,who,rare
Return the Past,Doctor Who,1,TRUE,2.04,Rare,92,74de4341-d10a-47c6-8a60-9dfa491f1d02,92,who,rare
Ryan Sinclair,Doctor Who,1,TRUE,0.40,Rare,94,42684d97-fce6-4a96-9c64-20e2cb382dca,94,who,rare
"Ace, Fearless Rebel",Doctor Who,1,TRUE,0.12,Rare,98,75f001a0-8393-4977-84bb-cde39740606c,98,who,rare
City of Death,Doctor Who,1,TRUE,5.19,Rare,99,bd4d9b25-02ea-4ce3-a35f-7f427a74f591,99,who,rare
Fugitive of the Judoon,Doctor Who,1,TRUE,0.27,Rare,103,e15f1891-4f80-4c68-8421-8e16ff8d6a6d,103,who,rare
Graham O'Brien,Doctor Who,1,TRUE,0.27,Rare,104,3467d66e-1a81-40d6-945a-f2c679d214d1,104,who,rare
"Leela, Sevateem Warrior",Doctor Who,1,TRUE,0.13,Rare,107,f5a4e5b5-70c8-4488-9e7d-7d68fe8219d7,107,who,rare
"Alistair, the Brigadier",Doctor Who,1,TRUE,0.50,Rare,112,bf952d23-291d-42fa-8f2a-e4002a04b95f,112,who,rare
"Duggan, Private Detective",Doctor Who,1,TRUE,0.82,Rare,123,ad21aafe-c093-40db-830e-da4c87055254,123,who,rare
The Eighth Doctor,Doctor Who,1,TRUE,0.16,Rare,124,a26bf6fd-ced3-4c37-8adb-9a75c6d6d5cc,124,who,rare
The Eleventh Doctor,Doctor Who,1,TRUE,0.19,Rare,125,590849a7-9abc-4757-8e13-f680d3b1dceb,125,who,rare
The Fifth Doctor,Doctor Who,1,TRUE,0.18,Rare,127,2f548f4b-77b9-47bb-b262-a851fdf0124f,127,who,rare
The First Doctor,Doctor Who,1,TRUE,0.13,Rare,128,b0b4d7db-56b1-4110-b4e4-11748201caf9,128,who,rare
The Fugitive Doctor,Doctor Who,1,TRUE,0.29,Rare,130,fea8bd29-80a4-463f-b3bd-e15f4bd5f5ce,130,who,rare
Great Intelligence's Plan,Doctor Who,1,TRUE,1.32,Uncommon,133,a798feb4-561b-4bb9-bdc9-771325faec57,133,who,uncommon
Madame Vastra,Doctor Who,1,TRUE,0.21,Rare,142,94849571-928a-4c6d-9868-58f606941679,142,who,rare
The Ninth Doctor,Doctor Who,1,TRUE,0.21,Rare,148,74785b3b-44df-4555-a036-082572b7f4e7,148,who,rare
Regenerations Restored,Doctor Who,1,TRUE,0.31,Rare,151,3f7c35e0-b304-4b24-a8a1-5ccc4bb2aad0,151,who,rare
Run for Your Life,Doctor Who,1,TRUE,0.20,Rare,154,95452998-7196-4a9b-b8a3-93cb3ec24f93,154,who,rare
The Second Doctor,Doctor Who,1,TRUE,0.55,Rare,156,568c2687-4381-4954-9cab-f669d1fe6306,156,who,rare
The Seventh Doctor,Doctor Who,1,TRUE,0.16,Rare,158,8dd6bfb3-1338-4ee6-9281-30a7428200d2,158,who,rare
The Sixth Doctor,Doctor Who,1,TRUE,0.25,Rare,159,c045ccb2-28d1-4bbe-9feb-3e86988fd24d,159,who,rare
"Strax, Sontaran Nurse",Doctor Who,1,TRUE,0.17,Rare,160,b4801775-70e2-4cda-959c-27f9aa623767,160,who,rare
Sycorax Commander,Doctor Who,1,TRUE,0.25,Rare,161,3d27ceaf-f4cf-489b-b305-552a9d065584,161,who,rare
The Third Doctor,Doctor Who,1,TRUE,0.17,Rare,162,2934f5e5-2274-4de7-a8c7-ca034f1fec29,162,who,rare
Truth or Consequences,Doctor Who,1,TRUE,0.27,Uncommon,163,ce8771cc-1042-47b1-b4fa-459c3eeece04,163,who,uncommon
The Twelfth Doctor,Doctor Who,1,TRUE,0.24,Rare,164,2400d681-05ef-43b1-b720-c15ca4226c27,164,who,rare
The Valeyard,Doctor Who,1,TRUE,0.11,Rare,165,d63218a4-afaf-4ad8-9ca4-4f9af87877b9,165,who,rare
Wreck and Rebuild,Doctor Who,1,TRUE,0.35,Uncommon,169,44e7d2ca-3fa9-4cb2-adc2-dae4e161f186,169,who,uncommon
"Bessie, the Doctor's Roadster",Doctor Who,1,TRUE,0.50,Rare,171,e5bb585d-2b49-44a0-93d0-98dc8e0727c2,171,who,rare
Clockwork Droid,Doctor Who,1,TRUE,0.22,Uncommon,172,9b4fa6d0-dc2d-4903-bbba-6cf83be2b187,172,who,uncommon
Cyberman Patrol,Doctor Who,1,TRUE,5.53,Uncommon,174,566ae475-48cd-42d0-8d96-168529b2180d,174,who,uncommon
Cybermat,Doctor Who,1,TRUE,0.30,Uncommon,175,db625a36-5b87-4ddd-8c9e-0969ff8e6488,175,who,uncommon
The Moment,Doctor Who,1,TRUE,0.17,Rare,180,f233e7db-321f-4ab1-ae49-e45eae188f3f,180,who,rare
Psychic Paper,Doctor Who,1,TRUE,0.58,Uncommon,181,eae12c61-0125-4810-b0e4-139c27b1b08b,181,who,uncommon
