Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
"Karn, Living Legacy",Dominaria United,1,FALSE,1.20,Mythic Rare,1,e83b1b87-01d5-4624-8a2b-4b771e13e59c,1,dmu,mythic
"Karn, Living Legacy",Dominaria United,1,TRUE,1.41,Mythic Rare,1,e83b1b87-01d5-4624-8a2b-4b771e13e59c,1,dmu,mythic
Anointed Peacekeeper,Dominaria United,1,FALSE,0.40,Rare,2,5b8127b5-3a65-411a-84bc-54e5c1be1477,2,dmu,rare
Anointed Peacekeeper,Dominaria United,1,TRUE,0.54,Rare,2,5b8127b5-3a65-411a-84bc-54e5c1be1477,2,dmu,rare
Archangel of Wrath,Dominaria United,1,FALSE,0.49,Rare,3,2d00bab2-e95d-4296-a805-2a05e7640efb,3,dmu,rare
Archangel of Wrath,Dominaria United,1,TRUE,0.35,Rare,3,2d00bab2-e95d-4296-a805-2a05e7640efb,3,dmu,rare
Argivian Cavalier,Dominaria United,1,FALSE,0.15,Common,4,57746e72-ba9f-4717-a4a2-6c6a039080c3,4,dmu,common
Argivian Phalanx,Dominaria United,1,FALSE,0.14,Common,5,afbadc37-1b4f-4237-a3c0-772bafb18aa0,5,dmu,common
Argivian Phalanx,Dominaria United,1,TRUE,0.05,Common,5,afbadc37-1b4f-4237-a3c0-772bafb18aa0,5,dmu,common
Artillery Blast,Dominaria United,1,FALSE,0.14,Common,6,0d4d7293-657f-48ac-931b-fb6a44128e6d,6,dmu,common
Artillery Blast,Dominaria United,1,TRUE,0.02,Common,6,0d4d7293-657f-48ac-931b-fb6a44128e6d,6,dmu,common
Benalish Faithbonder,Dominaria United,1,FALSE,0.11,Common,7,084d77df-a899-406f-9d79-e3fa3abeaebc,7,dmu,common
Benalish Sleeper,Dominaria United,1,FALSE,0.15,Common,8,f96089ea-20cf-496d-84a6-9b660c2ef672,8,dmu,common
