Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
"Caesar, Legion's Emperor",Fallout,1,True,0.78,Mythic Rare,1,246a7176-98bc-4f54-aa61-38747420f178,1,pip,mythic
Dr. Madison Li,Fallout,1,True,0.17,Mythic Rare,3,95af426d-a8af-4314-9ad0-ac61935e8e8e,3,pip,mythic
The Wise Mothman,Fallout,1,True,0.57,Mythic Rare,4,3d6d6944-a364-41c2-b824-7a1bf6ad0d1e,4,pip,mythic
"Liberty Prime, Recharged",Fallout,1,True,0.16,Mythic Rare,5,2da11337-ceb2-4744-9696-c06fec2f2daa,5,pip,mythic
"The Master, Transcendent",Fallout,1,True,0.21,Mythic Rare,6,5b0497da-670a-405c-a39c-97cae7942836,6,pip,mythic
"Mr. House, President and CEO",Fallout,1,True,0.88,Mythic Rare,7,23eb3cf7-c90d-4bfa-b125-4fbcb5614468,7,pip,mythic
"Aradesh, the Founder",Fallout,1,True,0.22,Rare,9,6701dae4-348e-40f6-9db4-d6f0039be831,9,pip,rare
Battle of Hoover Dam,Fallout,1,True,0.32,Rare,11,59c0f13a-4e83-4e0b-a790-1f78b5ee6a64,11,pip,rare
Brotherhood Scribe,Fallout,2,True,1.77,Rare,13,b751250e-ebf2-42b1-9a45-779b39974ba7,13,pip,rare
Gary Clone,Fallout,1,True,0.74,Uncommon,16,a45346ac-54a9-4fda-bde7-92ff75ac34f7,16,pip,uncommon
Idolized,Fallout,1,True,6.95,Rare,17,687133cb-3754-475c-9e21-b6a33aa58bb0,17,pip,rare
Overencumbered,Fallout,1,True,0.34,Rare,18,47058eaa-348d-4bbb-8df5-b931eba067f3,18,pip,rare
Overseer of Vault 76,Fallout,1,True,0.35,Rare,19,35848917-d658-4c3b-b675-4f0185f76dc4,19,pip,rare
"Paladin Danse, Steel Maverick",Fallout,1,True,3.41,Uncommon,20,f0e7ee3a-18f1-4771-86d6-db1e0b2aa542,20,pip,uncommon
Pre-War Formalwear,Fallout,1,True,5.38,Rare,21,19018f23-b63b-45af-8419-8959f41472d4,21,pip,rare
"The Prydwen, Steel Flagship",Fallout,1,True,0.5,Rare,22,9c0a8eda-bfeb-4fd9-9e41-12fce02883d8,22,pip,rare
Securitron Squadron,Fallout,1,True,4.24,Rare,23,b689a206-aec3-4a31-95cf-3d4b840db04c,23,pip,rare
Sentry Bot,Fallout,1,True,0.61,Rare,24,b16b0143-3511-4f79-bdb1-1ff7af55f051,24,pip,rare
Vault 75: Middle School,Fallout,1,True,0.68,Rare,27,3992e262-0491-4379-b74b-13cc8b63065e,27,pip,rare
Vault 101: Birthday Party,Fallout,1,True,0.42,Rare,28,fc513659-ea88-4d04-82bd-5bb2e740d957,28,pip,rare
"Yes Man, Personal Securitron",Fallout,1,True,4.46,Rare,29,8e2fac8c-a574-4414-ac68-632fc822ddbb,29,pip,rare
"Curie, Emergent Intelligence",Fallout,1,True,0.62,Rare,30,54870f19-96f3-4cde-ae44-a9c5bbb0dbc1,30,pip,rare
"James, Wandering Dad // Follow Him",Fallout,1,True,0.55,Rare,31,31fed516-04e1-4453-b955-dfbd32bab2f3,31,pip,rare
"Jason Bright, Glowing Prophet",Fallout,1,True,0.6,Rare,32,48313997-fd94-486a-bf30-e9143a155814,32,pip,rare
Nerd Rage,Fallout,1,True,5.81,Uncommon,34,e9857669-5fad-458a-8eda-c1790298add7,34,pip,uncommon
"Nick Valentine, Private Eye",Fallout,1,True,0.32,Rare,35,0a7c9553-d4a8-4d51-8e8a-8a0ffbdf1715,35,pip,rare
"Piper Wright, Publick Reporter",Fallout,1,True,0.5,Rare,36,916bf331-455a-4694-93d3-15dcf6971072,36,pip,rare
Radstorm,Fallout,1,True,4.47,Rare,37,d778cdec-8fc7-4174-bae1-4c8e8ccdfab3,37,pip,rare
Robobrain War Mind,Fallout,1,True,0.49,Uncommon,38,19c0791d-f0c5-4673-a0c5-40540c1e6d8c,38,pip,uncommon
Struggle for Project Purity,Fallout,1,True,3.5,Rare,39,04c60155-9337-4ea2-b9a2-5b72d96743ff,39,pip,rare
Synth Infiltrator,Fallout,1,True,0.43,Rare,40,3fe16bc4-8457-4c5f-902a-0746112e80a4,40,pip,rare
Vexing Radgull,Fallout,1,True,2.01,Uncommon,41,91580910-fe0e-4cd9-9e73-821af23abfe7,41,pip,uncommon
Bloatfly Swarm,Fallout,1,True,1.32,Uncommon,42,2d90b839-0808-435d-bcf3-aa7af414c44b,42,pip,uncommon
"Butch DeLoria, Tunnel Snake",Fallout,1,True,1.81,Uncommon,43,d6ed508c-ff2c-444c-8149-34b29e2fbebe,43,pip,uncommon
Feral Ghoul,Fallout,1,True,1.77,Rare,44,fbdef99d-6ce9-495d-a55b-e6ba799d3da7,44,pip,rare
"Hancock, Ghoulish Mayor",Fallout,1,True,0.3,Rare,45,39bda1b4-3f02-4cbc-9573-f5b6e6c991d5,45,pip,rare
Nuclear Fallout,Fallout,1,True,2.89,Rare,47,e717e4b0-a8c1-4411-b18a-1d17e7225503,47,pip,rare
Screeching Scorchbeast,Fallout,1,True,1.93,Rare,49,967dbb24-3073-4c33-bfdf-b3eb9e8fe443,49,pip,rare
V.A.T.S.,Fallout,1,True,2.61,Rare,50,512df222-0db0-4b24-9372-d0c01b181b91,50,pip,rare
Vault 12: The Necropolis,Fallout,1,True,0.38,Rare,51,144cd9eb-9b15-40ce-8a48-919e72dbaa67,51,pip,rare
Wasteland Raider,Fallout,1,True,0.52,Rare,52,9eae2596-013a-4e9b-982b-e0fc8d1e78bf,52,pip,rare
Acquired Mutation,Fallout,1,True,2.25,Uncommon,53,19586946-a6a6-4154-a544-15a052483f96,53,pip,uncommon
Bottle-Cap Blast,Fallout,1,True,12.21,Uncommon,55,8bdceec0-0950-4d52-86fc-d0f04e8487ce,55,pip,uncommon
"Duchess, Wayward Tavernkeep",Fallout,1,True,0.12,Rare,57,38c0a17f-787b-41ac-8375-d9532dce1f4f,57,pip,rare
Grim Reaper's Sprint,Fallout,1,True,2.26,Rare,58,18e76286-9e06-42de-b322-eb8aa2cdca3a,58,pip,rare
Junk Jet,Fallout,1,True,0.32,Rare,60,2397c9b8-3974-48b8-94bd-f05f2e20750c,60,pip,rare
Megaton's Fate,Fallout,1,True,0.26,Rare,61,e8492127-888d-4da0-b49f-fba6a356b0a9,61,pip,rare
"The Motherlode, Excavator",Fallout,1,True,0.24,Rare,62,3b9df394-522c-4458-bc36-cf24ad763718,62,pip,rare
Mysterious Stranger,Fallout,1,True,0.29,Rare,63,063ca0fa-1947-48da-86f9-76dd00dfb550,63,pip,rare
Plasma Caster,Fallout,1,True,0.33,Rare,64,c1654256-25ea-4467-812d-25f32fe65cdd,64,pip,rare
Powder Ganger,Fallout,2,True,0.18,Rare,65,7bb57c73-a454-450d-9db9-67501bf4559d,65,pip,rare
Synth Eradicator,Fallout,1,True,0.34,Rare,67,87fc7b54-26e5-4b0d-b2bb-be8f977f752b,67,pip,rare
Vault 21: House Gambit,Fallout,1,True,0.3,Rare,69,40972644-a284-4c7c-a451-d70eff7488ab,69,pip,rare
"Veronica, Dissident Scribe",Fallout,1,True,0.39,Rare,70,2325aa29-7050-42a5-a0b4-c162db2192c9,70,pip,rare
Animal Friend,Fallout,1,True,0.47,Rare,72,af31a045-0387-44ff-b735-54e19b04d925,72,pip,rare
