Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Don't Move,Jurassic World Collection,1,FALSE,5.60,Rare,1,1d06f729-990b-4c2c-ad2a-c17449117f75,1,rex,rare
Cresting Mosasaurus,Jurassic World Collection,1,FALSE,2.14,Rare,2,b6011e4b-a8a7-4cad-a276-c1022b45edc3,2,rex,rare
Spitting Dilophosaurus,Jurassic World Collection,1,FALSE,7.28,Rare,3,f4f0c479-5fd1-45c2-af3f-15b6e5811b0f,3,rex,rare
Spitting Dilophosaurus,Jurassic World Collection,1,TRUE,8.01,Rare,3,f4f0c479-5fd1-45c2-af3f-15b6e5811b0f,3,rex,rare
Hunting Velociraptor,Jurassic World Collection,1,FALSE,23.90,Rare,4,e2c5c161-49c5-404d-bd8e-86e634222232,4,rex,rare
Life Finds a Way,Jurassic World Collection,1,TRUE,5.01,Rare,5,72137cda-ab1b-4bb7-9190-66a954c36e1e,5,rex,rare
Savage Order,Jurassic World Collection,1,FALSE,8.80,Rare,6,f571ef55-50dd-4624-aa42-fea5a0303033,6,rex,rare
Welcome to . . . // Jurassic Park,Jurassic World Collection,1,FALSE,13.52,Rare,7,6d84e2d4-38bf-4d46-99a6-37c2dda66b16,7,rex,rare
"Blue, Loyal Raptor",Jurassic World Collection,1,FALSE,2.49,Rare,8,0a764ec9-6a30-4df3-91b4-c64fd8e32fa0,8,rex,rare
Compy Swarm,Jurassic World Collection,1,FALSE,5.10,Rare,9,800871ee-7394-4a31-98a7-4b92860208a1,9,rex,rare
"Ellie and Alan, Paleontologists",Jurassic World Collection,1,FALSE,1.73,Rare,10,c40b25d7-73c9-4f30-a707-5afb08185a8d,10,rex,rare
Grim Giganotosaurus,Jurassic World Collection,1,TRUE,2.73,Rare,11,ae30b824-9586-413b-b925-ce6f915bf7e5,11,rex,rare
"Henry Wu, InGen Geneticist",Jurassic World Collection,1,FALSE,0.55,Rare,12,5b67d302-ddaa-4627-adc8-86bb665f69ad,12,rex,rare
"Ian Malcolm, Chaotician",Jurassic World Collection,1,FALSE,2.78,Rare,13,b4a0402e-e39b-4008-b654-189b4a5e03a3,13,rex,rare
"Indominus Rex, Alpha",Jurassic World Collection,1,FALSE,6.41,Rare,14,25e6ebfb-8f0b-44f0-a911-103ade41c6bc,14,rex,rare
"Indoraptor, the Perfect Hybrid",Jurassic World Collection,1,FALSE,4.90,Rare,15,3826e2af-c134-4dc1-98b5-574b1bda9a98,15,rex,rare
"Owen Grady, Raptor Trainer",Jurassic World Collection,1,FALSE,2.48,Rare,16,a85a1e4c-af02-4072-872f-956fa74f8aa6,16,rex,rare
Permission Denied,Jurassic World Collection,1,FALSE,5.39,Rare,17,c3e8dd5a-d52d-481d-b48c-1392462beb33,17,rex,rare
Permission Denied,Jurassic World Collection,1,TRUE,7.57,Rare,17,c3e8dd5a-d52d-481d-b48c-1392462beb33,17,rex,rare
Ravenous Tyrannosaurus,Jurassic World Collection,1,FALSE,21.00,Rare,18,2be38927-637b-4dce-b228-83ce4f50c4a4,18,rex,rare
Swooping Pteranodon,Jurassic World Collection,1,FALSE,4.41,Rare,19,43aa5d97-7483-4f90-998d-70732a7ae1dc,19,rex,rare
Dino DNA,Jurassic World Collection,1,FALSE,6.31,Rare,20,ceb287d3-cb8e-4ff2-8082-c0bd59c59b45,20,rex,rare
Plains // Plains,Jurassic World Collection,1,FALSE,2.45,Common,21,6620b5f4-b1e5-4d1b-bbf2-c6ad9c8284c5,21,rex,common
Island // Island,Jurassic World Collection,1,FALSE,2.27,Common,22,76c343f5-6955-4ba2-a435-36d55182d1dd,22,rex,common
Swamp // Swamp,Jurassic World Collection,1,TRUE,3.16,Common,23,843b35ec-7b59-4a22-8fee-2e876a02306b,23,rex,common
Mountain // Mountain,Jurassic World Collection,1,FALSE,2.99,Common,24,aae84079-b65b-4132-86fb-e82503bb6c7b,24,rex,common
Forest // Forest,Jurassic World Collection,1,TRUE,9.56,Common,25,7e703632-5ed0-4509-a12b-594269f865f1,25,rex,common
Command Tower // Command Tower,Jurassic World Collection,1,FALSE,1.52,Common,26,bffbe9ec-edbc-43ed-a3bf-60635e7e625c,26,rex,common
Don't Move (Embossed),Jurassic World Collection Variants,1,TRUE,102.08,Rare,27,,,,
"Indoraptor, the Perfect Hybrid (Embossed)",Jurassic World Collection Variants,1,TRUE,200.39,Rare,40,,,,
