Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
By Gnome Means,The List (Unfinity Foil Edition),1,TRUE,0.16,Rare,1,,,,
Do-It-Yourself Seraph,The List (Unfinity Foil Edition),1,TRUE,0.25,Mythic Rare,2,,,,
Frankie Peanuts,The List (Unfinity Foil Edition),1,TRUE,0.18,Rare,4,,,,
Jackknight,The List (Unfinity Foil Edition),1,TRUE,0.18,Rare,5,,,,
Oddly Uneven,The List (Unfinity Foil Edition),1,TRUE,0.14,Rare,6,,,,
Rules Lawyer,The List (Unfinity Foil Edition),1,TRUE,0.28,Rare,7,,,,
"Syr Cadian, Knight Owl",The List (Unfinity Foil Edition),1,TRUE,0.25,Rare,9,,,,
Alexander Clamilton,The List (Unfinity Foil Edition),1,TRUE,0.52,Rare,10,,,,
Animate Library,The List (Unfinity Foil Edition),1,TRUE,0.25,Rare,11,,,,
Avatar of Me,The List (Unfinity Foil Edition),1,TRUE,0.16,Rare,12,,,,
Clocknapper,The List (Unfinity Foil Edition),1,TRUE,0.19,Rare,14,,,,
Graveyard Busybody,The List (Unfinity Foil Edition),1,TRUE,0.17,Rare,15,,,,
Incite Insight,The List (Unfinity Foil Edition),1,TRUE,0.11,Rare,16,,,,
"Richard Garfield, Ph.D.",The List (Unfinity Foil Edition),1,TRUE,0.42,Rare,17,,,,
"Acornelia, Fashionable Filcher",The List (Unfinity Foil Edition),1,TRUE,1.95,Rare,18,,,,
Enter the Dungeon,The List (Unfinity Foil Edition),1,TRUE,0.18,Rare,19,,,,
Infernal Spawn of Infernal Spawn of Evil,The List (Unfinity Foil Edition),1,TRUE,0.23,Rare,20,,,,
"Infernius Spawnington III, Esq.",The List (Unfinity Foil Edition),1,TRUE,0.25,Rare,21,,,,
Masterful Ninja,The List (Unfinity Foil Edition),1,TRUE,0.25,Rare,22,,,,
Over My Dead Bodies,The List (Unfinity Foil Edition),1,TRUE,0.29,Rare,23,,,,
"Spike, Tournament Grinder",The List (Unfinity Foil Edition),1,TRUE,0.20,Rare,24,,,,
Summon the Pack,The List (Unfinity Foil Edition),1,TRUE,0.33,Mythic Rare,25,,,,
The Big Idea,The List (Unfinity Foil Edition),1,TRUE,0.13,Rare,26,,,,
The Countdown Is at One,The List (Unfinity Foil Edition),1,TRUE,0.15,Rare,28,,,,
Infinity Elemental,The List (Unfinity Foil Edition),1,TRUE,0.26,Mythic Rare,29,,,,
Steamflogger of the Month,The List (Unfinity Foil Edition),1,TRUE,0.15,Rare,30,,,,
Three-Headed Goblin,The List (Unfinity Foil Edition),1,TRUE,0.29,Rare,31,,,,
Yet Another Aether Vortex,The List (Unfinity Foil Edition),1,TRUE,0.19,Rare,32,,,,
As Luck Would Have It,The List (Unfinity Foil Edition),1,TRUE,0.32,Rare,33,,,,
B-I-N-G-O,The List (Unfinity Foil Edition),1,TRUE,0.15,Rare,34,,,,
Earl of Squirrel,The List (Unfinity Foil Edition),1,TRUE,5.49,Rare,35,,,,
Hydradoodle,The List (Unfinity Foil Edition),1,TRUE,0.43,Rare,36,,,,
Ineffable Blessing (Borders),The List (Unfinity Foil Edition),1,TRUE,0.23,Rare,37,,,,
Old Fogey,The List (Unfinity Foil Edition),1,TRUE,0.35,Rare,39,,,,
"Pippa, Duchess of Dice",The List (Unfinity Foil Edition),1,TRUE,0.19,Rare,40,,,,
Serpentine,The List (Unfinity Foil Edition),1,TRUE,0.17,Rare,41,,,,
Surgeon General Commander,The List (Unfinity Foil Edition),1,TRUE,0.51,Mythic Rare,42,,,,
Baron Von Count,The List (Unfinity Foil Edition),1,TRUE,0.27,Mythic Rare,43,,,,
Better Than One,The List (Unfinity Foil Edition),1,TRUE,0.13,Rare,44,,,,
Cramped Bunker,The List (Unfinity Foil Edition),1,TRUE,0.12,Rare,45,,,,
Dr. Julius Jumblemorph,The List (Unfinity Foil Edition),1,TRUE,0.25,Mythic Rare,46,,,,
The Grand Calcutron,The List (Unfinity Foil Edition),1,TRUE,0.28,Mythic Rare,47,,,,
Hot Fix,The List (Unfinity Foil Edition),1,TRUE,0.13,Rare,49,,,,
Mary O'Kill,The List (Unfinity Foil Edition),1,TRUE,0.11,Rare,50,,,,
Ol' Buzzbark,The List (Unfinity Foil Edition),1,TRUE,0.26,Mythic Rare,51,,,,
"Phoebe, Head of S.N.E.A.K.",The List (Unfinity Foil Edition),1,TRUE,0.30,Mythic Rare,52,,,,
X,The List (Unfinity Foil Edition),1,TRUE,0.20,Rare,53,,,,
Angelic Rocket,The List (Unfinity Foil Edition),1,TRUE,0.21,Rare,54,,,,
Everythingamajig (Counters),The List (Unfinity Foil Edition),1,TRUE,0.72,Rare,55,,,,
Handy Dandy Clone Machine,The List (Unfinity Foil Edition),1,TRUE,0.14,Rare,57,,,,
Kindslaver,The List (Unfinity Foil Edition),1,TRUE,0.15,Rare,58,,,,
Modular Monstrosity,The List (Unfinity Foil Edition),1,TRUE,0.14,Rare,59,,,,
Sword of Dungeons & Dragons,The List (Unfinity Foil Edition),1,TRUE,2.83,Mythic Rare,61,,,,
Watermarket,The List (Unfinity Foil Edition),1,TRUE,0.12,Rare,62,,,,
