Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Banish from Edoras,The Lord of the Rings: Tales of Middle-earth,1,TRUE,0.05,Common,1,a4410076-e1fe-45f3-a0ca-a91ab0133ff4,1,ltr,common
The Battle of Bywater,The Lord of the Rings: Tales of Middle-earth,1,TRUE,2.63,Rare,2,9bae7a4d-9117-43c5-a048-80a0ddadc034,2,ltr,rare
Bill the Pony,The Lord of the Rings: Tales of Middle-earth,1,TRUE,0.37,Uncommon,3,9ac68519-ed7f-4f38-9549-c02975f88eed,3,ltr,uncommon
"Boromir, Warden of the Tower",The Lord of the Rings: Tales of Middle-earth,1,FALSE,2.59,Rare,4,f6bc3720-2892-4dda-8f30-079a1ac8e1e2,4,ltr,rare
Dawn of a New Age,The Lord of the Rings: Tales of Middle-earth,1,TRUE,3.90,Mythic Rare,5,cb966ee6-bf1b-4bb6-9277-8de6f3918ae2,5,ltr,mythic
Dúnedain Blade,The Lord of the Rings: Tales of Middle-earth,1,TRUE,0.10,Common,6,3d5f92bf-e4e7-487a-834c-964fdd6ad674,6,ltr,common
Eagles of the North,The Lord of the Rings: Tales of Middle-earth,1,TRUE,0.20,Common,7,c1bd3bc0-77bd-40fe-b4f1-835a04cb6e41,7,ltr,common
Eastfarthing Farmer,The Lord of the Rings: Tales of Middle-earth,1,TRUE,0.06,Common,8,26bb65ba-d605-4b79-a700-4a08ec5a90b4,8,ltr,common
East-Mark Cavalier,The Lord of the Rings: Tales of Middle-earth,1,TRUE,0.05,Common,9,9be412c0-45d4-4856-a8cf-63a5a822dc5c,9,ltr,common
"Éowyn, Lady of Rohan",The Lord of the Rings: Tales of Middle-earth,1,TRUE,0.12,Uncommon,10,e59710c4-24de-419e-a8a0-e8392d450c23,10,ltr,uncommon
Errand-Rider of Gondor,The Lord of the Rings: Tales of Middle-earth,1,TRUE,0.13,Common,11,d3f990e7-54a3-4893-8510-645b2065447b,11,ltr,common
Escape from Orthanc,The Lord of the Rings: Tales of Middle-earth,1,TRUE,0.06,Common,12,f4ff3330-dcca-4435-87e7-871be91a68b0,12,ltr,common
Esquire of the King,The Lord of the Rings: Tales of Middle-earth,1,TRUE,0.07,Common,13,caa6dded-ab08-43d0-b2fb-008854582cba,13,ltr,common
"Faramir, Field Commander",The Lord of the Rings: Tales of Middle-earth,1,TRUE,0.08,Uncommon,14,17c2250a-9af1-40de-9f09-7e8c7daec520,14,ltr,uncommon
Flowering of the White Tree,The Lord of the Rings: Tales of Middle-earth,1,TRUE,5.70,Rare,15,2203b2cd-48e5-471a-85fe-dc81012e5d61,15,ltr,rare
