Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
"Saradoc, Master of Buckland",The Lord of the Rings Variants,1,FALSE,0.39,Rare,282,a65a1fb5-cc2c-4556-b109-05c3d966ded9,282,ltr,rare
Assault on Osgiliath,The Lord of the Rings Variants,1,FALSE,0.44,Rare,285,2549b70a-6bd0-4c9b-96b7-4ab775a30cd3,285,ltr,rare
Elanor Gardner,The Lord of the Rings Variants,1,FALSE,3.25,Rare,286,6165eb73-49a8-4337-aa5d-7d9d48b916c9,286,ltr,rare
"Aragorn and Arwen, Wed",The Lord of the Rings Variants,1,TRUE,3.77,Mythic Rare,287,d7d4c97a-9319-4534-9a49-da000f41a02d,287,ltr,mythic
"Sauron, the Lidless Eye",The Lord of the Rings Variants,1,TRUE,2.05,Mythic Rare,288,d82a4c78-d2fc-425a-8d0e-2e64509a08f1,288,ltr,mythic
"Frodo, Determined Hero",The Lord of the Rings Variants,1,FALSE,0.76,Rare,289,83d1b37c-a8c6-4690-8701-3395397711e7,289,ltr,rare
"Gandalf, White Rider",The Lord of the Rings Variants,1,FALSE,1.41,Rare,290,b422ce26-06fb-4748-9c01-32c4be914a77,290,ltr,rare
Knight of the Keep,The Lord of the Rings Variants,1,FALSE,0.18,Common,291,3af21576-3793-4796-ab60-112fbbb5fc0d,291,ltr,common
"Gollum, Scheming Guide",The Lord of the Rings Variants,1,FALSE,1.00,Rare,292,7f93ad17-b655-4a10-990e-b26ead90d221,292,ltr,rare
"Witch-king, Bringer of Ruin",The Lord of the Rings Variants,1,FALSE,5.18,Rare,293,90da1d3e-dbcb-4b1e-a606-d4fc1a60a8fe,293,ltr,rare
Fires of Mount Doom,The Lord of the Rings Variants,1,FALSE,0.50,Rare,294,b9db8702-fc72-453b-afc8-62266f7cd1c2,294,ltr,rare
Goblin Assailant,The Lord of the Rings Variants,1,FALSE,0.20,Common,295,b4bda198-7ab4-4c6b-9fb1-93ac54c06a85,295,ltr,common
"Galadriel, Gift-Giver",The Lord of the Rings Variants,1,FALSE,3.05,Rare,296,8229264e-af6c-4f1f-b86a-257889ace9ce,296,ltr,rare
"The Balrog, Flame of Udûn",The Lord of the Rings Variants,1,FALSE,0.26,Rare,297,905e7424-2d0b-4877-a7dc-272ea9392ff0,297,ltr,rare
Bilbo's Ring,The Lord of the Rings Variants,1,FALSE,6.99,Rare,298,91dbeac4-1c39-4a4f-84e7-1b71f7468c8f,298,ltr,rare
"Boromir, Warden of the Tower (Showcase)",The Lord of the Rings Variants,1,FALSE,2.50,Rare,302,,,,
"Faramir, Field Commander (Showcase)",The Lord of the Rings Variants,1,TRUE,0.11,Uncommon,303,,,,
"Frodo, Sauron's Bane (Showcase)",The Lord of the Rings Variants,1,TRUE,0.28,Rare,304,,,,
Gandalf the White (Showcase),The Lord of the Rings Variants,1,FALSE,5.87,Mythic Rare,305,,,,
Samwise the Stouthearted (Showcase),The Lord of the Rings Variants,1,TRUE,0.15,Uncommon,306,,,,
"Elrond, Lord of Rivendell (Showcase)",The Lord of the Rings Variants,1,TRUE,0.12,Uncommon,307,,,,
"Gandalf, Friend of the Shire (Showcase)",The Lord of the Rings Variants,1,TRUE,0.13,Uncommon,308,,,,
"Gollum, Patient Plotter (Showcase)",The Lord of the Rings Variants,1,FALSE,0.20,Uncommon,309,,,,
"Sauron, the Necromancer (Showcase)",The Lord of the Rings Variants,1,TRUE,0.45,Rare,310,,,,
Witch-king of Angmar (Showcase),The Lord of the Rings Variants,1,TRUE,7.03,Mythic Rare,311,,,,
"Gimli, Counter of Kills (Showcase)",The Lord of the Rings Variants,1,TRUE,0.13,Uncommon,312,,,,
"Legolas, Master Archer (Showcase)",The Lord of the Rings Variants,1,FALSE,0.45,Rare,313,,,,
Meriadoc Brandybuck (Showcase),The Lord of the Rings Variants,1,TRUE,0.16,Uncommon,314,,,,
Peregrin Took (Showcase),The Lord of the Rings Variants,1,TRUE,0.32,Uncommon,315,,,,
"Aragorn, Company Leader (Showcase)",The Lord of the Rings Variants,1,TRUE,0.32,Rare,316,,,,
"Aragorn, the Uniter (Showcase)",The Lord of the Rings Variants,1,TRUE,6.47,Mythic Rare,317,,,,
"Elrond, Master of Healing (Showcase)",The Lord of the Rings Variants,1,TRUE,0.53,Rare,318,,,,
"Faramir, Prince of Ithilien (Showcase)",The Lord of the Rings Variants,1,TRUE,0.23,Rare,319,,,,
Frodo Baggins (Showcase),The Lord of the Rings Variants,1,TRUE,0.13,Uncommon,320,,,,
Galadriel of Lothlórien (Showcase),The Lord of the Rings Variants,1,FALSE,0.35,Rare,321,,,,
Gandalf the Grey (Showcase),The Lord of the Rings Variants,1,TRUE,0.31,Rare,322,,,,
"Gimli, Mournful Avenger (Showcase)",The Lord of the Rings Variants,1,TRUE,0.31,Rare,323,,,,
"Legolas, Counter of Kills (Showcase)",The Lord of the Rings Variants,1,TRUE,0.11,Uncommon,324,,,,
"Merry, Esquire of Rohan (Showcase)",The Lord of the Rings Variants,1,TRUE,0.44,Rare,325,,,,
"Pippin, Guard of the Citadel (Showcase)",The Lord of the Rings Variants,1,TRUE,3.04,Rare,326,,,,
Samwise Gamgee (Showcase),The Lord of the Rings Variants,1,TRUE,2.42,Rare,327,,,,
Saruman of Many Colors (Showcase),The Lord of the Rings Variants,1,TRUE,1.42,Mythic Rare,328,,,,
"Sauron, the Dark Lord (Showcase)",The Lord of the Rings Variants,1,TRUE,6.67,Mythic Rare,329,,,,
"Sméagol, Helpful Guide (Showcase)",The Lord of the Rings Variants,1,TRUE,0.27,Rare,330,,,,
Tom Bombadil (Showcase),The Lord of the Rings Variants,1,FALSE,1.00,Mythic Rare,331,,,,
