Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
"Arvinox, the Mind Flail",Universes Within,1,FALSE,0.90,Mythic Rare,1,c83542de-38ca-4aad-acba-189374be37e2,1,slx,mythic
"Bjorna, Nightfall Alchemist",Universes Within,1,FALSE,0.45,Rare,2,83b0b716-bcb0-4044-b64a-354e3cbbd563,2,slx,rare
"Cecily, Haunted Mage",Universes Within,1,FALSE,0.49,Rare,3,a09ffd51-8ea4-40a6-b64e-58f3acfee533,3,slx,rare
"Elmar, Ulvenwald Informant",Universes Within,1,FALSE,0.44,Rare,4,95d197b3-fc56-43a2-981f-b5b905222b5c,4,slx,rare
"Hargilde, Kindly Runechanter",Universes Within,1,FALSE,0.34,Rare,5,59e1fa94-056a-4570-97b3-17e964077965,5,slx,rare
"Sophina, Spearsage Deserter",Universes Within,1,FALSE,0.40,Rare,7,e0a64924-068e-483f-91a6-d450b67b3c75,7,slx,rare
"Wernog, Rider's Chaplain",Universes Within,1,FALSE,0.58,Rare,8,39491011-bdf6-4e61-8534-fe26c1571f8f,8,slx,rare
"Baldin, Century Herdmaster",Universes Within,1,FALSE,1.82,Rare,10,ef84fedd-43a9-4c42-9f8a-e8147cc5eea2,10,slx,rare
The Howling Abomination,Universes Within,1,FALSE,0.50,Rare,13,5aa862c3-69a3-4d6c-abe8-201e1868c204,13,slx,rare
"Immard, the Stormcleaver",Universes Within,1,FALSE,0.49,Rare,14,d2f60c02-55f7-4584-b68c-f23e466b3b0b,14,slx,rare
"Maarika, Brutal Gladiator",Universes Within,1,FALSE,1.94,Rare,15,86123ab7-ee60-4ef2-8467-1ad420213eb1,15,slx,rare
"Zethi, Arcane Blademaster",Universes Within,1,FALSE,2.48,Rare,17,87b56584-8a61-40bc-99b5-7434a681fcdc,17,slx,rare
