Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
"Celestine, the Living Saint (Surge Foil)","Warhammer 40,000 Collector's Edition",1,TRUE,18.46,Rare,10,,,,
For the Emperor! (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.68,Rare,12,,,,
Grey Knight Paragon (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.45,Uncommon,13,,,,
Sicarian Infiltrator (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,14.45,Uncommon,25,,,,
Assault Intercessor (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,2.52,Rare,104,,,,
Belisarius Cawl (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.53,Rare,106,,,,
Birth of the Imperium (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,1.93,Rare,107,,,,
Blood for the Blood God! (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,12.16,Rare,108,,,,
Callidus Assassin (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,13.42,Rare,109,,,,
Chaos Defiler (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,12.12,Rare,110,,,,
Chaos Mutation (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.69,Rare,111,,,,
Commissar Severina Raine (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,13.19,Rare,112,,,,
Company Commander (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,3.56,Rare,113,,,,
Cybernetica Datasmith (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.24,Rare,114,,,,
Deny the Witch (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,1.75,Uncommon,116,,,,
Drach'Nyen (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.55,Rare,117,,,,
Epistolary Librarian (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.26,Rare,118,,,,
Exalted Flamer of Tzeentch (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,22.78,Rare,119,,,,
Exterminatus (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,2.26,Rare,120,,,,
The Flesh Is Weak (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.38,Rare,122,,,,
Helbrute (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.20,Rare,125,,,,
The Horus Heresy (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,1.61,Rare,126,,,,
Inquisitor Eisenhorn (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,1.20,Rare,127,,,,
Kill! Maim! Burn! (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.27,Rare,128,,,,
The Lost and the Damned (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,4.33,Uncommon,129,,,,
Lucius the Eternal (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.51,Rare,130,,,,
Magnus the Red (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,10.52,Rare,131,,,,
Mutalith Vortex Beast (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.46,Rare,134,,,,
Neyam Shai Murad (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.31,Rare,135,,,,
Pink Horror (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,1.86,Rare,136,,,,
Primaris Chaplain (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.11,Uncommon,137,,,,
The Ruinous Powers (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,2.58,Rare,139,,,,
Sister Hospitaller (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,1.85,Rare,141,,,,
Sister Repentia (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,2.24,Rare,142,,,,
Tzaangor Shaman (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.26,Rare,146,,,,
Canoptek Scarab Swarm (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,23.84,Rare,150,,,,
Canoptek Spyder (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,9.16,Rare,151,,,,
Canoptek Tomb Sentinel (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,1.84,Rare,152,,,,
Canoptek Wraith (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,1.78,Rare,153,,,,
Convergence of Dominion (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,2.08,Rare,154,,,,
Ghost Ark (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.84,Rare,156,,,,
The Golden Throne (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,13.62,Rare,157,,,,
Inquisitorial Rosette (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,2.43,Rare,159,,,,
Knight Paladin (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,5.32,Rare,160,,,,
Necron Monolith (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,2.48,Rare,161,,,,
Night Scythe (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,2.40,Uncommon,162,,,,
Reaver Titan (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,16.00,Rare,163,,,,
Redemptor Dreadnought (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.27,Rare,164,,,,
Resurrection Orb (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,11.64,Rare,165,,,,
Sceptre of Eternal Glory (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,21.83,Rare,166,,,,
Thunderhawk Gunship (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,16.68,Rare,167,,,,
Tomb Fortress (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,6.20,Rare,168,,,,
Collective Effort (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.72,Rare,183,,,,
Deploy to the Front (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,4.11,Rare,184,,,,
Entrapment Maneuver (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.40,Rare,185,,,,
Fell the Mighty (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,1.58,Rare,186,,,,
Hour of Reckoning (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.87,Rare,187,,,,
Launch the Fleet (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.38,Rare,188,,,,
Martial Coup (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.63,Rare,189,,,,
Swords to Plowshares (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,6.03,Uncommon,190,,,,
Brainstorm (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,5.09,Common,192,,,,
Beacon of Unrest (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.80,Rare,194,,,,
Bile Blight (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.18,Uncommon,195,,,,
Dark Ritual (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,9.43,Common,196,,,,
Darkness (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,13.81,Common,197,,,,
Decree of Pain (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.56,Rare,198,,,,
Defile (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,3.25,Uncommon,199,,,,
Dread Return (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,1.48,Uncommon,200,,,,
Go for the Throat (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,6.96,Common,201,,,,
Living Death (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,6.82,Rare,202,,,,
Mutilate (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,4.21,Rare,203,,,,
Blasphemous Act (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,5.52,Rare,204,,,,
Chaos Warp (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,2.22,Rare,205,,,,
Past in Flames (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,3.33,Mythic Rare,206,,,,
Reverberate (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,3.54,Rare,207,,,,
Warstorm Surge (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,7.36,Rare,209,,,,
Bituminous Blast (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.16,Uncommon,221,,,,
Deny Reality (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.21,Common,223,,,,
Mortify (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.47,Uncommon,225,,,,
Utter End (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.74,Rare,226,,,,
Arcane Signet (228) (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,3.73,Common,228,,,,
Assault Suit (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,6.48,Uncommon,230,,,,
Caged Sun (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,4.38,Rare,231,,,,
Chromatic Lantern (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,6.28,Rare,232,,,,
Commander's Sphere (233) (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.46,Common,233,,,,
Commander's Sphere (234) (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.64,Common,234,,,,
Commander's Sphere (235) (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.47,Common,235,,,,
Cranial Plating (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,2.10,Uncommon,236,,,,
Endless Atlas (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,2.85,Rare,237,,,,
Everflowing Chalice (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,1.44,Rare,238,,,,
Gilded Lotus (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,6.18,Rare,239,,,,
Hedron Archive (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,2.79,Uncommon,240,,,,
Mind Stone (244) (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,2.69,Uncommon,244,,,,
Mind Stone (245) (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,1.06,Uncommon,245,,,,
Mystic Forge (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,2.82,Rare,246,,,,
Sculpting Steel (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,3.23,Rare,247,,,,
Skullclamp (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,18.77,Uncommon,248,,,,
Sol Ring (250) (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,5.59,Uncommon,250,,,,
Sol Ring (251) (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,9.41,Uncommon,251,,,,
Sol Ring (252) (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,12.81,Uncommon,252,,,,
Talisman of Creativity (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,4.71,Uncommon,253,,,,
Talisman of Dominance (254) (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,3.65,Uncommon,254,,,,
Talisman of Dominance (255) (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,4.12,Uncommon,255,,,,
Talisman of Hierarchy (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,4.36,Uncommon,256,,,,
Talisman of Indulgence (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,6.34,Uncommon,257,,,,
Talisman of Progress (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,4.49,Uncommon,258,,,,
Thought Vessel (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,3.93,Common,259,,,,
Unstable Obelisk (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.46,Common,260,,,,
Wayfarer's Bauble (261) (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,1.19,Common,261,,,,
Wayfarer's Bauble (262) (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,1.78,Common,262,,,,
Worn Powerstone (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,1.50,Uncommon,263,,,,
Arcane Sanctum (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,3.70,Uncommon,264,,,,
Barren Moor (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.60,Uncommon,266,,,,
Choked Estuary (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.70,Rare,268,,,,
Command Tower (271) (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,4.63,Common,271,,,,
Crumbling Necropolis (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,1.68,Uncommon,273,,,,
Darkwater Catacombs (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.49,Rare,274,,,,
Desert of the Glorified (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.31,Common,275,,,,
Dismal Backwater (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.12,Common,276,,,,
Evolving Wilds (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.18,Common,277,,,,
Exotic Orchard (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,1.34,Rare,278,,,,
Foreboding Ruins (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.34,Rare,279,,,,
Forgotten Cave (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,1.16,Common,280,,,,
Memorial to Glory (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.14,Uncommon,283,,,,
Molten Slagheap (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.22,Uncommon,284,,,,
Myriad Landscape (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,1.70,Uncommon,285,,,,
Path of Ancestry (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.43,Common,287,,,,
Polluted Mire (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.50,Common,288,,,,
Port Town (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.35,Rare,289,,,,
Prairie Stream (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.59,Rare,290,,,,
Reliquary Tower (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,8.25,Uncommon,291,,,,
Skycloud Expanse (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.32,Rare,294,,,,
Sunken Hollow (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.41,Rare,295,,,,
Swiftwater Cliffs (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.31,Common,296,,,,
Temple of the False God (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,3.56,Uncommon,300,,,,
Terramorphic Expanse (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.25,Common,301,,,,
Tranquil Cove (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.21,Common,303,,,,
Vault of Whispers (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,7.36,Common,305,,,,
Plains (306) (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.41,Basic Land,306,,,,
Island (307) (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.23,Basic Land,307,,,,
Island (308) (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.25,Basic Land,308,,,,
Swamp (310) (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.36,Basic Land,310,,,,
Swamp (311) (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.25,Basic Land,311,,,,
Swamp (312) (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.28,Basic Land,312,,,,
Swamp (313) (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.32,Basic Land,313,,,,
Swamp (314) (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.23,Basic Land,314,,,,
Mountain (316) (Surge Foil),"Warhammer 40,000 Collector's Edition",1,TRUE,0.48,Basic Land,316,,,,
