Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Aegis Automaton,Aether Revolt,1,FALSE,0.15,Common,141,e5f9fa2d-4bf4-4fcb-9b76-fd4a9ff5a58c,141,aer,common
Aerial Modification,Aether Revolt,1,FALSE,0.20,Uncommon,1,b89cab47-25fb-49ea-bb43-90a0089b6b20,1,aer,uncommon
Aeronaut Admiral,Aether Revolt,1,FALSE,0.20,Uncommon,2,ff15c06c-160d-4960-92d5-6f8e7b33f051,2,aer,uncommon
Aether Chaser,Aether Revolt,1,FALSE,0.18,Common,76,290cde84-d97a-4737-aff2-c443a4e43f7d,76,aer,common
Aether Herder,Aether Revolt,1,FALSE,0.15,Common,102,e8744a31-451b-4349-8f62-e2392a72a154,102,aer,common
Aether Inspector,Aether Revolt,1,FALSE,0.15,Common,3,f5dcbe97-d582-464e-98e7-dd06d8652606,3,aer,common
Aether Poisoner,Aether Revolt,1,FALSE,0.15,Common,51,c9b217f1-1621-40d1-8a98-24c1f7cba800,51,aer,common
Aethergeode Miner,Aether Revolt,1,FALSE,0.35,Rare,4,80bb3abd-ebaf-4dc2-97eb-ed4a2b005177,4,aer,rare
Aethersphere Harvester,Aether Revolt,1,FALSE,0.35,Rare,142,4160bb5f-4b49-4535-94f5-776d7abd1d1a,142,aer,rare
Aetherstream Leopard,Aether Revolt,1,FALSE,0.15,Common,103,6f3a727a-5eca-44de-aa8f-0d2573db83eb,103,aer,common
Aetherwind Basker,Aether Revolt,1,FALSE,0.60,Mythic Rare,104,fa04d5fa-6ba2-4833-8ea0-1941a03bd3e9,104,aer,mythic
Aid from the Cowl,Aether Revolt,1,FALSE,0.30,Rare,105,565cb7fc-cf90-4020-84fe-05ec7b18709d,105,aer,rare
Airdrop Aeronauts,Aether Revolt,1,FALSE,0.19,Uncommon,5,49827a57-cf10-4a44-a1fd-ac611da39dc9,5,aer,uncommon
Ajani's Comrade,Aether Revolt,1,FALSE,0.24,Uncommon,187,5bebef1c-2f03-4e0a-b3ba-861546ebf8a6,187,aer,uncommon
Alley Evasion,Aether Revolt,1,FALSE,0.15,Common,6,bc10173d-25ff-4734-b8f2-84f94fe52b17,6,aer,common
Alley Strangler,Aether Revolt,1,FALSE,0.15,Common,52,a131d558-5f6b-448b-a378-1882e2d02bd2,52,aer,common
Audacious Infiltrator,Aether Revolt,1,FALSE,0.15,Common,7,36a348bb-cdc5-4e2a-933f-21f91faab891,7,aer,common
Augmenting Automaton,Aether Revolt,1,FALSE,0.15,Common,143,7d017798-8278-4f9c-a691-912935c10c20,143,aer,common
Baral's Expertise,Aether Revolt,1,FALSE,0.49,Rare,29,d273f5b7-b3a3-485a-acc8-34e10a504646,29,aer,rare
Barricade Breaker,Aether Revolt,1,FALSE,0.21,Uncommon,144,7cc81a94-955d-4734-b056-9b9a86cae60b,144,aer,uncommon
Bastion Enforcer,Aether Revolt,1,FALSE,0.15,Common,8,88b9c0f7-d49b-4d74-9038-44954054ce21,8,aer,common
Bastion Inventor,Aether Revolt,1,TRUE,0.16,Common,30,856f804d-0213-4b86-bc6a-6a0a1147c4f9,30,aer,common
Battle at the Bridge,Aether Revolt,1,FALSE,0.44,Rare,53,74d8b644-4cca-451e-a46c-5237c13bf373,53,aer,rare
Caught in the Brights,Aether Revolt,1,FALSE,0.15,Common,10,4d5bea27-d825-4691-8ae0-c4831574ec53,10,aer,common
Chandra's Revolution,Aether Revolt,1,FALSE,0.15,Common,77,2fcee99c-72a0-4db1-b4c9-65c878284450,77,aer,common
Cogwork Assembler,Aether Revolt,1,FALSE,0.20,Uncommon,145,6dddacdd-bbc4-4f9b-be1c-5f2c64be3cbc,145,aer,uncommon
Consulate Turret,Aether Revolt,1,FALSE,0.20,Common,147,e0c55b5b-58fd-4340-b089-8e271633e8dd,147,aer,common
Conviction,Aether Revolt,1,FALSE,0.17,Common,12,4f805e97-c28b-4780-b204-74514c0c47d2,12,aer,common
Countless Gears Renegade,Aether Revolt,1,FALSE,0.15,Common,13,c2d6f334-0040-42b1-9c72-362e4dcaa65e,13,aer,common
Crackdown Construct,Aether Revolt,1,FALSE,0.24,Uncommon,148,993bc69a-b615-48c5-af81-252a73384e8c,148,aer,uncommon
Cruel Finality,Aether Revolt,1,FALSE,0.15,Common,54,5c22e911-cf40-4ed8-b075-186f2b1393db,54,aer,common
Daring Demolition,Aether Revolt,1,FALSE,0.15,Common,55,a6378898-50b7-47c9-8c25-dc660606be9f,55,aer,common
Dark Intimations,Aether Revolt,1,TRUE,0.75,Rare,128,dd8f103c-a688-4f22-ae59-2bce1db9d44a,128,aer,rare
Dawnfeather Eagle,Aether Revolt,1,FALSE,0.15,Common,14,f7113ddc-cb3c-46da-a6c7-2567bd0affa9,14,aer,common
Deadeye Harpooner,Aether Revolt,1,FALSE,0.20,Uncommon,15,a018decf-25e1-45fc-be7d-2523dcfb7a4c,15,aer,uncommon
Decommission,Aether Revolt,1,FALSE,0.15,Common,16,1cca66e9-be21-4fc7-8951-cd99e9b213dc,16,aer,common
Defiant Salvager,Aether Revolt,1,FALSE,0.15,Common,56,0afbfb2c-3f1a-4ef9-9f61-6ca51af853d8,56,aer,common
Deft Dismissal,Aether Revolt,1,FALSE,0.19,Uncommon,17,5cb26d5b-ffeb-4dac-ad61-f85e5e7b1675,17,aer,uncommon
Destructive Tampering,Aether Revolt,1,FALSE,0.15,Common,78,00154b70-57d2-4c32-860f-1c36fc49b10c,78,aer,common
Disallow,Aether Revolt,1,FALSE,3.85,Rare,31,25f05814-a5a5-460f-9d29-0ab03efecf4c,31,aer,rare
Dispersal Technician,Aether Revolt,1,FALSE,0.15,Common,32,5d93a915-ffea-4f50-88ac-2b3253f7dfdf,32,aer,common
Druid of the Cowl,Aether Revolt,1,FALSE,0.17,Common,106,a683f79b-0330-4fac-8279-6c0d888414b8,106,aer,common
Efficient Construction,Aether Revolt,1,FALSE,0.42,Uncommon,33,abfbe1d5-beb7-49b8-a504-f1cc47ee4731,33,aer,uncommon
Embraal Gear-Smasher,Aether Revolt,1,FALSE,0.15,Common,79,3ad5c175-581c-4fdd-b008-e7d10b0928c7,79,aer,common
Enraged Giant,Aether Revolt,1,FALSE,0.20,Uncommon,80,40dc3b59-baae-4bf0-b5ce-fa9a915af066,80,aer,uncommon
Exquisite Archangel,Aether Revolt,1,FALSE,2.22,Mythic Rare,18,d04018c9-510c-4610-9daa-677434628805,18,aer,mythic
