Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Anathemancer,Alara Reborn,1,FALSE,0.33,Uncommon,33,ab106855-bd85-4c00-b596-c46d34f8cdd0,33,arb,uncommon
Ardent Plea,Alara Reborn,1,FALSE,4.37,Uncommon,1,9d521737-ee07-4387-bc07-5ced53db374d,1,arb,uncommon
Arsenal Thresher,Alara Reborn,1,FALSE,0.20,Common,131,f63c72f4-fbce-41c5-a46f-bfe4d1833965,131,arb,common
Aven Mimeomancer,Alara Reborn,1,FALSE,0.49,Rare,2,49876185-e23d-4137-8612-1347da3a1df6,2,arb,rare
Bant Sojourners,Alara Reborn,1,FALSE,0.20,Common,125,eff007af-0329-4872-8621-41e90d9f06e6,125,arb,common
Bant Sureblade,Alara Reborn,1,FALSE,0.22,Common,143,162feb2b-e641-4338-bcf1-1f7e7a11bb9d,143,arb,common
Brainbite,Alara Reborn,1,FALSE,0.19,Common,18,925c08bd-120d-49a5-a258-bda3859c1d4c,18,arb,common
Breath of Malfegor,Alara Reborn,1,FALSE,0.24,Common,35,7a12e4d0-8471-46ac-85e4-a2ea5be8bf8f,35,arb,common
Captured Sunlight,Alara Reborn,1,FALSE,0.21,Common,66,fcafc9eb-efa3-4f6c-a2ca-aec8692fddc1,66,arb,common
Cerodon Yearling,Alara Reborn,1,FALSE,0.20,Common,96,f6a85165-5aed-4e26-a314-1370d4638deb,96,arb,common
Deadshot Minotaur,Alara Reborn,1,FALSE,0.25,Common,52,aacb131b-74c9-4e6c-9466-27710bc9441f,52,arb,common
Deathbringer Thoctar,Alara Reborn,1,FALSE,0.75,Rare,36,f09f166f-dd3c-4cf5-b5f9-3989f46f050c,36,arb,rare
Demonic Dread,Alara Reborn,1,FALSE,0.33,Common,38,fb81132e-ab33-435f-ade4-af4416d36044,38,arb,common
Demonspine Whip,Alara Reborn,1,FALSE,0.25,Uncommon,39,ff5a4434-0d5e-4ba8-8d10-cba9b4db5713,39,arb,uncommon
Dragon Appeasement,Alara Reborn,1,FALSE,0.25,Uncommon,115,3bb8fb53-000a-4a04-afdf-38f2cd052c72,115,arb,uncommon
Drastic Revelation,Alara Reborn,1,FALSE,0.25,Uncommon,111,90f1f430-d6a5-4380-95f2-9e0fc9e81597,111,arb,uncommon
Esper Sojourners,Alara Reborn,1,FALSE,0.20,Common,107,896d502a-d9c3-4101-92af-a8c9d945f47b,107,arb,common
Esper Stormblade,Alara Reborn,1,FALSE,0.22,Common,132,e60ac6f0-fdec-4e2c-86c6-02d36c7bbaf5,132,arb,common
Ethercaste Knight,Alara Reborn,1,FALSE,0.22,Common,3,094a235d-a5b8-434e-b4b0-c982da45a54d,3,arb,common
Etherium Abomination,Alara Reborn,1,FALSE,0.20,Common,20,312bbd63-d6ff-4da5-868f-ed68cbc12d43,20,arb,common
Finest Hour,Alara Reborn,1,FALSE,0.92,Rare,126,d3bb726e-e561-4a14-913d-afde1964c64a,126,arb,rare
Glassdust Hulk,Alara Reborn,1,FALSE,0.24,Common,7,397e6ff5-f5ee-4963-9942-4aa25f5eb64a,7,arb,common
Godtracker of Jund,Alara Reborn,1,FALSE,0.20,Common,55,7bd3fb7a-3eed-4b0a-9de0-ed8b7cf03533,55,arb,common
Gorger Wurm,Alara Reborn,1,FALSE,0.20,Common,56,00e5a9be-bfb2-466b-b0fe-3b24694e9f84,56,arb,common
Grixis Grimblade,Alara Reborn,1,FALSE,0.23,Common,134,9dbcb812-15ad-4878-9968-cfa65a352703,134,arb,common
Grixis Sojourners,Alara Reborn,1,FALSE,0.20,Common,112,0cde5f43-0b91-45c9-9382-20ea6328266f,112,arb,common
Grizzled Leotau,Alara Reborn,1,FALSE,0.25,Common,69,2b388381-9e13-4ce7-b5b3-56a74cc23d93,69,arb,common
Igneous Pouncer,Alara Reborn,1,FALSE,0.20,Common,40,83d59b32-d47f-4b05-87eb-58ffb8006fa8,40,arb,common
Jhessian Zombies,Alara Reborn,1,FALSE,0.22,Common,22,14d3f7fd-f414-4c17-ad63-c8b39bde301d,22,arb,common
Jund Hackblade,Alara Reborn,1,TRUE,0.30,Common,138,61e3b73a-598b-4854-b811-2fd40fbce2d0,138,arb,common
Jund Sojourners,Alara Reborn,1,FALSE,0.17,Common,116,893c08b2-1391-4aaf-b79c-d1125b232f73,116,arb,common
Kathari Bomber,Alara Reborn,1,FALSE,0.19,Common,41,6c0d4f83-6319-4d40-9fee-6a44b05c8e9e,41,arb,common
Lavalanche,Alara Reborn,1,FALSE,0.45,Rare,118,749981d6-78e7-4f53-80a8-f211e61bd532,118,arb,rare
Lightning Reaver,Alara Reborn,1,FALSE,0.65,Rare,42,24a0860d-d3b9-4a00-a8cb-617bc317b93d,42,arb,rare
Madrush Cyclops,Alara Reborn,1,FALSE,0.49,Rare,119,21d4fd58-2052-4f97-b634-f89e2139d980,119,arb,rare
Magefire Wings,Alara Reborn,1,FALSE,0.19,Common,88,be18c2d9-60c4-454b-b6c7-7c22ed2985fb,88,arb,common
Marrow Chomper,Alara Reborn,1,FALSE,0.25,Uncommon,93,d31a32e7-e709-4524-8752-ad0ec8c77fde,93,arb,uncommon
Messenger Falcons,Alara Reborn,1,FALSE,0.24,Uncommon,145,f088f625-9c72-4949-8e53-c2313397a197,145,arb,uncommon
Monstrous Carabid,Alara Reborn,1,FALSE,0.25,Common,43,b09e668d-02ca-4164-88ee-c7ea6c665975,43,arb,common
Naya Hushblade,Alara Reborn,1,FALSE,0.25,Common,141,5eed1b7f-0672-4066-9e21-c5252f6dc482,141,arb,common
Naya Sojourners,Alara Reborn,1,FALSE,0.19,Common,122,7e2de336-8c61-45b1-affd-6322530b91ca,122,arb,common
Nulltread Gargantuan,Alara Reborn,1,FALSE,0.25,Uncommon,102,a263f594-621e-46af-8561-f7eee565a19a,102,arb,uncommon
Offering to Asha,Alara Reborn,1,FALSE,0.20,Common,9,260fe443-ca03-42b1-bcee-86e5173c1aaf,9,arb,common
Pale Recluse,Alara Reborn,1,FALSE,0.22,Common,74,13fad19c-fd45-45cf-b58c-82cdcdf49b06,74,arb,common
Predatory Advantage,Alara Reborn,1,FALSE,0.48,Rare,58,595ae3af-cc28-407a-a045-a6d71cd6be60,58,arb,rare
Putrid Leech,Alara Reborn,1,FALSE,0.24,Common,95,aaa47568-5668-4a9f-ad1c-9a13010ffc2b,95,arb,common
Qasali Pridemage,Alara Reborn,1,FALSE,0.35,Common,75,75256550-bbe0-499d-909e-af10691749c2,75,arb,common
Reborn Hope,Alara Reborn,1,FALSE,0.33,Uncommon,76,59038868-6278-4d8c-a107-35aa85b5648f,76,arb,uncommon
