Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Aesthir Glider (Version 2),Alliances,1,FALSE,0.24,Common,,,,,
Aesthir Glider,Alliances,1,FALSE,0.24,Common,,35a8080f-ca3c-46fe-81cf-003ac7ba7f24,116a,all,common
Agent of Stromgald (Version 2),Alliances,1,FALSE,0.25,Common,,,,,
Agent of Stromgald,Alliances,1,FALSE,0.25,Common,,4a7506f8-cf09-46ca-ad80-3c398c487ae2,64a,all,common
Ashnod's Cylix,Alliances,1,FALSE,0.92,Rare,,d84e6fcf-4745-4dfb-9103-17beec4e45b6,117,all,rare
Astrolabe (Version 2),Alliances,1,FALSE,0.25,Common,,,,,
Astrolabe,Alliances,1,FALSE,0.24,Common,,b97ad2d4-0660-4503-9f16-246dae87601c,118a,all,common
Awesome Presence (Version 2),Alliances,1,FALSE,0.24,Common,,,,,
Awesome Presence,Alliances,1,FALSE,0.25,Common,,80017e84-87bc-4eb8-a663-5c263d8df812,23a,all,common
Balduvian Dead,Alliances,1,FALSE,0.25,Uncommon,,fac1875a-feab-4213-aa15-69892b7df58b,43,all,uncommon
Balduvian Trading Post,Alliances,1,FALSE,3.14,Rare,,a329ff98-36fd-44c3-b037-dcc6e78ee61e,137,all,rare
Balduvian War-Makers (Version 2),Alliances,1,FALSE,0.24,Common,,,,,
Balduvian War-Makers,Alliances,1,FALSE,0.24,Common,,12fd561e-6a26-4140-a033-1204f5dda5f3,66a,all,common
Benthic Explorers (Version 2),Alliances,1,FALSE,0.25,Common,,,,,
Benthic Explorers,Alliances,1,FALSE,0.24,Common,,146eb650-92c8-48a9-a40d-e7bba6545f36,24a,all,common
Bestial Fury (Version 2),Alliances,1,FALSE,0.25,Common,,,,,
Bestial Fury,Alliances,1,FALSE,0.24,Common,,626225b9-2cfd-4cf5-b11c-89e5a231b09e,67a,all,common
Bounty of the Hunt,Alliances,1,FALSE,0.30,Uncommon,,21ed522a-cf5a-41e1-9677-1226f689ec9c,85,all,uncommon
Browse,Alliances,1,FALSE,0.25,Uncommon,,578549f0-5643-4891-b467-2d1cb49fe4ea,25,all,uncommon
Burnout,Alliances,1,FALSE,1.05,Uncommon,,5a8f5a18-e490-4010-ac1c-c74a5f2dcbda,68,all,uncommon
Carrier Pigeons (Version 2),Alliances,1,FALSE,0.25,Common,,,,,
Carrier Pigeons,Alliances,1,FALSE,0.25,Common,,5543b08d-d470-435e-83d9-a3a84c1cc2e6,1a,all,common
Casting of Bones (Version 2),Alliances,1,FALSE,0.25,Common,,,,,
Casting of Bones,Alliances,1,FALSE,0.25,Common,,e823c295-b66e-41c3-bd77-1a13f95e69c3,44a,all,common
Chaos Harlequin,Alliances,1,FALSE,0.65,Rare,,ec7d7c80-4e3c-454e-b2ed-6f0436df19c9,69,all,rare
Contagion,Alliances,1,FALSE,1.00,Uncommon,,00c8f94a-7690-47f5-b664-61411a32ab74,45,all,uncommon
Deadly Insect (Version 2),Alliances,1,FALSE,0.22,Common,,,,,
Deadly Insect,Alliances,1,FALSE,0.22,Common,,add1b999-5c3f-4187-adac-ed1037406b3f,86a,all,common
Death Spark,Alliances,1,FALSE,0.30,Uncommon,,ba841b44-475c-402c-ac11-763de0cf27d9,70,all,uncommon
Diseased Vermin,Alliances,1,FALSE,0.43,Uncommon,,39703080-524d-4aa1-8c58-d512c41ae5d4,46,all,uncommon
Elvish Bard,Alliances,1,FALSE,0.25,Uncommon,,62261004-ed32-4865-824a-4320548f4234,87,all,uncommon
Elvish Ranger (Version 2),Alliances,1,FALSE,0.65,Common,,,,,
Elvish Ranger,Alliances,1,FALSE,0.24,Common,,ad9f1b09-73c2-43c5-a28b-4a40fff7b727,88a,all,common
Elvish Spirit Guide,Alliances,1,FALSE,3.42,Uncommon,,5b94f37f-ebdf-4b79-a615-58331d27cf4e,89,all,uncommon
Energy Arc,Alliances,1,FALSE,0.51,Uncommon,,f81cd99e-902a-44dd-8928-803a96fe25c4,106,all,uncommon
Enslaved Scout (Version 2),Alliances,1,FALSE,0.23,Common,,,,,
Enslaved Scout,Alliances,1,FALSE,0.25,Common,,ea21414e-65f7-4d65-b0dc-7fec7b9b416d,71a,all,common
Errand of Duty (Version 2),Alliances,1,FALSE,0.24,Common,,,,,
Errand of Duty,Alliances,1,FALSE,0.23,Common,,6d3c539b-4039-45c2-8d43-80648d946e91,2a,all,common
False Demise (Version 2),Alliances,1,FALSE,0.24,Common,,,,,
