Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Argivian Blacksmith,Antiquities,1,FALSE,0.53,Common,,5f604338-5ee4-4c47-ad5a-5c805c96c8de,2,atq,common
Argothian Pixies,Antiquities,1,FALSE,1.45,Common,,5712e87a-2381-4f5b-a853-6973841f9bf1,29,atq,common
Argothian Treefolk,Antiquities,1,FALSE,0.54,Common,,8db8882e-4db6-4e3c-9e9e-8c71d557a071,30,atq,common
Artifact Blast,Antiquities,1,FALSE,1.99,Common,,1506d99d-7b2e-4101-84a5-c950dadb263a,22,atq,common
Artifact Ward,Antiquities,1,FALSE,0.66,Common,,b3a5101a-ec66-4658-950c-9ad49c29b836,3,atq,common
Ashnod's Battle Gear,Antiquities,1,FALSE,2.99,Uncommon,,aeeec853-dd3f-4ac3-8b20-c07fada8888f,39,atq,uncommon
Atog,Antiquities,1,FALSE,2.40,Common,,2249fc40-4412-48fd-800a-7ea3678aee3f,23,atq,common
Battering Ram,Antiquities,1,FALSE,0.50,Common,,f7a69e35-d209-41c0-aa3c-c78414617075,41,atq,common
Candelabra of Tawnos,Antiquities,1,FALSE,879.00,Rare,,35a335bf-7358-460f-b7c9-1e8bc4300f64,43,atq,rare
Circle of Protection: Artifacts,Antiquities,1,FALSE,2.75,Uncommon,,22ebd5a3-fef8-4097-b038-89a6cb38227d,4,atq,uncommon
Clay Statue,Antiquities,1,FALSE,0.51,Common,,64975352-8d35-4d02-94ac-fa0c6ee12409,44,atq,common
Colossus of Sardia,Antiquities,1,FALSE,41.80,Rare,,067c44e9-1b23-42fd-9acb-daafb62c32a2,46,atq,rare
Crumble,Antiquities,1,FALSE,1.42,Common,,d2101f86-8d3c-4ba8-ac42-bd3df0644280,32,atq,common
Drafna's Restoration,Antiquities,1,FALSE,1.39,Common,,4be2aa3b-207b-4d21-abfb-6788520c7676,8,atq,common
Dwarven Weaponsmith,Antiquities,1,FALSE,1.53,Uncommon,,0848d94a-2704-460f-986b-b192dd6d26b7,25,atq,uncommon
Grapeshot Catapult,Antiquities,1,FALSE,0.50,Common,,4c7a7348-c82e-453c-975c-e5365e152a3a,52,atq,common
Mishra's Factory,Antiquities,1,FALSE,42.73,Rare,,a696c5b6-f216-454d-8029-74e84bbd1428,80a,atq,uncommon
Mishra's Workshop,Antiquities,1,FALSE,2914.49,Rare,,135de5c7-6ac9-4b68-8f1a-97f120a4b125,81,atq,rare
Onulet,Antiquities,1,FALSE,2.13,Uncommon,,d77fe8e2-8438-473e-ace5-01baddd2c4ed,59,atq,uncommon
Orcish Mechanics,Antiquities,1,FALSE,0.49,Common,,5e34fc6b-5f00-4a22-9ee2-afc1caf99961,27,atq,common
Ornithopter,Antiquities,1,FALSE,7.05,Common,,59cc9bdb-7cf2-4795-bac7-ffff605c9eb0,60,atq,common
Phyrexian Gremlins,Antiquities,1,FALSE,1.02,Common,,21a985a9-5612-4844-982e-fd1aa6249770,18,atq,common
Priest of Yawgmoth,Antiquities,1,FALSE,1.86,Common,,c9fd4054-42fc-4f95-a6f7-369a5da43dd5,19,atq,common
Reconstruction,Antiquities,1,FALSE,1.00,Common,,1aa2d27b-cc25-4baa-86f4-4db45b30e2a4,12,atq,common
Reverse Polarity,Antiquities,1,FALSE,0.50,Common,,da7ed8ba-3886-4779-a9b3-6892a7ed3527,7,atq,common
Sage of Lat-Nam,Antiquities,1,FALSE,1.25,Common,,b4ff60ce-073c-46b8-807c-8b40467b960c,13,atq,common
Staff of Zegon,Antiquities,1,FALSE,0.50,Common,,a6bf858d-bba9-4a16-9045-55384b1de633,65,atq,common
Tablet of Epityr,Antiquities,1,FALSE,0.50,Common,,6d7a2718-301f-4191-b348-0c44c7c07d43,67,atq,common
Tawnos's Wand,Antiquities,1,FALSE,1.78,Uncommon,,978f09dd-121a-4da5-ba16-5c03fbdce084,69,atq,uncommon
Tawnos's Weaponry,Antiquities,1,FALSE,1.54,Uncommon,,3035cead-a501-4204-9154-5fd648577d32,70,atq,uncommon
Wall of Spears,Antiquities,1,FALSE,2.24,Uncommon,,b1dda179-c49a-4995-ba5a-db93ac43dbe7,77,atq,uncommon
