Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Æther Mutation,Apocalypse,1,FALSE,0.30,Uncommon,91,a9507116-ede8-40a1-8fa3-705e6f6f64c0,91,apc,uncommon
Ana Disciple,Apocalypse,1,FALSE,0.22,Common,73,7efe00f9-bf42-4d6f-9a22-b357b1c1e092,73,apc,common
Ana Sanctuary,Apocalypse,1,FALSE,0.28,Uncommon,74,9d1599bb-4f43-4ab3-985a-8be5219f2195,74,apc,uncommon
Angelfire Crusader,Apocalypse,1,FALSE,0.20,Common,1,a7af8350-9a51-437c-a55e-19f3e07acfa9,1,apc,common
Battlefield Forge,Apocalypse,1,FALSE,7.29,Rare,139,a9c25e71-0140-48fe-8b9e-33b4b50c5c12,139,apc,rare
Bloodfire Colossus,Apocalypse,1,FALSE,0.50,Rare,55,518145f3-9919-4ed6-9e2e-772ee349ea57,55,apc,rare
Bloodfire Dwarf,Apocalypse,1,FALSE,0.35,Common,56,86b5c38e-7d74-4862-8187-f5db4a3d1e0f,56,apc,common
Bloodfire Infusion,Apocalypse,1,FALSE,0.20,Common,57,2639e9b7-ed8c-48fd-a8b7-b99d8dad4bc0,57,apc,common
Bloodfire Kavu,Apocalypse,1,FALSE,0.25,Uncommon,58,1442b1f3-8c2c-4553-906f-c864fcdc6ae5,58,apc,uncommon
Bog Gnarr,Apocalypse,1,FALSE,0.20,Common,76,3f230831-023c-41aa-832e-16ac81e68588,76,apc,common
Ceta Sanctuary,Apocalypse,1,FALSE,0.27,Uncommon,20,32cec6f3-295a-45e3-8466-e35fb043a596,20,apc,uncommon
Divine Light,Apocalypse,1,FALSE,0.24,Common,8,8f596ce1-b754-4e34-98e3-e1ddda2fd9b0,8,apc,common
Dwarven Landslide,Apocalypse,1,FALSE,0.20,Common,60,48ab243e-d08d-4ece-9725-4bb5f67b1c92,60,apc,common
Dwarven Patrol,Apocalypse,1,FALSE,0.25,Uncommon,61,03c08df5-f5e7-4498-ac80-25ccbe304b26,61,apc,uncommon
Ebony Treefolk,Apocalypse,1,FALSE,0.24,Uncommon,97,2b85dadb-351f-4975-a2c3-febf5e80bc85,97,apc,uncommon
Evasive Action,Apocalypse,1,FALSE,0.30,Uncommon,23,5d0b4f29-ada4-41d2-8292-b5af537c6fd2,23,apc,uncommon
Flowstone Charger,Apocalypse,1,FALSE,0.25,Uncommon,99,c57abdab-d99c-418c-818d-b06a8722d733,99,apc,uncommon
Foul Presence,Apocalypse,1,FALSE,0.25,Uncommon,39,7c5a6fa8-d422-4e56-9e7b-2ff2fc8aecfe,39,apc,uncommon
Gaea's Skyfolk,Apocalypse,1,FALSE,0.23,Common,101,8a564432-c2b3-4cf6-b4bc-2e2600b92911,101,apc,common
Glade Gnarr,Apocalypse,1,FALSE,0.20,Common,78,ee38eeae-918b-4d19-b37a-175ac5db37a4,78,apc,common
Goblin Legionnaire,Apocalypse,1,FALSE,0.22,Common,103,c684407e-277a-4e32-a978-cdac9548acce,103,apc,common
Grave Defiler,Apocalypse,1,FALSE,0.29,Uncommon,40,f8f76edc-6067-43bd-9582-1d59caf91597,40,apc,uncommon
Haunted Angel,Apocalypse,1,FALSE,0.36,Uncommon,12,78d2d11b-12e4-4810-a32d-8f1cdda3ec49,12,apc,uncommon
Helionaut,Apocalypse,1,FALSE,0.20,Common,13,3a4d395e-d7d6-4e93-9761-b0bae63b7b1c,13,apc,common
Illuminate,Apocalypse,1,FALSE,0.25,Uncommon,63,ceef2761-7301-42de-8f54-49b8cd1e457b,63,apc,uncommon
Jilt,Apocalypse,1,FALSE,0.23,Common,27,a010d2b1-960d-4032-a47a-61fe0998bee3,27,apc,common
Kavu Howler,Apocalypse,1,FALSE,0.25,Uncommon,79,5fdf502f-445d-4724-b7d0-8fdd5bf557a8,79,apc,uncommon
Lightning Angel,Apocalypse,1,FALSE,0.85,Rare,108,6518d0c5-58ee-4089-bf19-5030d4319681,108,apc,rare
Llanowar Dead,Apocalypse,1,FALSE,0.25,Common,109,f271969e-1529-42d1-878b-011f80ab0f05,109,apc,common
Manacles of Decay,Apocalypse,1,FALSE,0.19,Common,14,f3da5010-78b6-426f-aeb4-73c21d2af581,14,apc,common
Martyrs' Tomb,Apocalypse,1,FALSE,0.25,Uncommon,110,a906a775-7c2d-47b7-a20e-a325dd28d0bd,110,apc,uncommon
Mind Extraction,Apocalypse,1,FALSE,0.20,Common,42,7d77ddcc-e66b-4036-8a55-ec42953918d1,42,apc,common
Minotaur Illusionist,Apocalypse,1,FALSE,0.25,Uncommon,111,d8a49d29-6d01-4b1d-80c8-9e5378a76878,111,apc,uncommon
Minotaur Tactician,Apocalypse,1,FALSE,0.20,Common,65,097decb6-03bd-4a84-ab9a-75becf85cae8,65,apc,common
Orim's Thunder,Apocalypse,1,FALSE,0.25,Common,15,d00bf192-4baf-46ba-947b-a22d07635b04,15,apc,common
Overgrown Estate,Apocalypse,1,FALSE,0.50,Rare,113,c1c48c58-3532-4022-9eec-1a870385cbf3,113,apc,rare
Phyrexian Gargantua,Apocalypse,1,FALSE,0.27,Uncommon,48,47c80cdd-4287-4ecb-992b-f265cd422098,48,apc,uncommon
Putrid Warrior,Apocalypse,1,FALSE,0.22,Common,117,17fce298-3338-4f41-8156-ab6322951a76,117,apc,common
Quicksilver Dagger,Apocalypse,1,FALSE,0.24,Common,118,83c74012-6060-4fad-aa73-6e6afd33c482,118,apc,common
Raka Disciple,Apocalypse,1,FALSE,0.21,Common,66,41462d43-4f9f-46ba-b79d-434597e74b6b,66,apc,common
Raka Sanctuary,Apocalypse,1,FALSE,0.25,Uncommon,67,62cab0be-589c-42a0-a297-1faaec46c73f,67,apc,uncommon
Savage Gorilla,Apocalypse,1,FALSE,0.20,Common,85,32ad3f87-9f25-455f-9933-3b0b0eaad467,85,apc,common
Shield of Duty and Reason,Apocalypse,1,FALSE,0.39,Common,16,4ddf4ee0-75d6-48a5-955c-97faf73b899f,16,apc,common
Soul Link,Apocalypse,1,FALSE,0.25,Common,120,425e0ca4-8592-4802-b7c4-6e3323edd78c,120,apc,common
Strength of Night,Apocalypse,1,FALSE,0.22,Common,86,87aab031-4e44-44cd-89a7-6cffc7288cd1,86,apc,common
Suppress,Apocalypse,1,FALSE,0.33,Uncommon,52,642eefde-8727-44ff-9e04-373abfcd0679,52,apc,uncommon
Tahngarth's Glare,Apocalypse,1,FALSE,0.20,Common,70,442a4331-99ce-405e-b261-19b7f3375ddf,70,apc,common
Temporal Spring,Apocalypse,1,FALSE,0.25,Common,125,b584dfd1-a56c-406e-8504-47ea136dc102,125,apc,common
Tranquil Path,Apocalypse,1,FALSE,0.24,Common,89,2da8c059-3309-49a5-ae97-c048aefc922f,89,apc,common
Tundra Kavu,Apocalypse,1,FALSE,0.20,Common,71,fc34e735-ac3c-4954-a4c8-3ed55d811715,71,apc,common
Unnatural Selection,Apocalypse,1,FALSE,2.73,Rare,32,c575e2cb-3990-4c73-b81c-e16311ec6bbb,32,apc,rare
Urborg Elf,Apocalypse,1,FALSE,0.25,Common,90,1d8521bf-d026-4d26-831e-a2f253307c93,90,apc,common
Urborg Uprising,Apocalypse,1,FALSE,0.20,Common,53,961619e3-f48b-4099-8a33-ca1e294085dd,53,apc,common
Vodalian Mystic,Apocalypse,1,FALSE,0.25,Uncommon,33,81ec203a-067e-4360-9b4d-2d67db472aab,33,apc,uncommon
Whirlpool Rider,Apocalypse,1,FALSE,0.32,Common,35,0de47f44-8c5e-4114-9064-145d2d8813c6,35,apc,common
