Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Abundant Growth,Avacyn Restored,1,FALSE,0.29,Common,167,afbc8fd0-dc15-4ac9-b97b-173f7fb66ed7,167,avr,common
Alchemist's Apprentice,Avacyn Restored,1,TRUE,0.18,Common,42,31abba67-1241-4fb3-88b5-4c4668ec5f25,42,avr,common
Alchemist's Refuge,Avacyn Restored,1,FALSE,2.49,Rare,225,c767a897-52e3-4401-8104-930157bb2b02,225,avr,rare
Amass the Components,Avacyn Restored,1,FALSE,0.18,Common,43,f5b48d60-fc99-4d21-9293-4f7ce1c02928,43,avr,common
Angelic Armaments,Avacyn Restored,1,FALSE,0.23,Uncommon,212,3fa99b48-469d-4112-bdfd-2391fa439514,212,avr,uncommon
Angelic Wall,Avacyn Restored,1,FALSE,0.20,Common,4,d7b2450d-87a7-46dc-b43a-2db2abeca44f,4,avr,common
Angel's Mercy,Avacyn Restored,1,FALSE,0.18,Common,3,7a437999-26ae-49fa-8647-c8c2b4640702,3,avr,common
Angel's Tomb,Avacyn Restored,1,FALSE,0.20,Uncommon,211,28226303-7e67-4b88-adae-2386aff033ec,211,avr,uncommon
Appetite for Brains,Avacyn Restored,1,FALSE,0.21,Uncommon,84,062ee892-cce7-42bd-97c7-032cec61faca,84,avr,uncommon
Archangel,Avacyn Restored,1,FALSE,0.20,Uncommon,5,3741b2a7-7bda-481a-b8f8-9b04c96035b0,5,avr,uncommon
Archwing Dragon,Avacyn Restored,1,FALSE,0.50,Rare,126,6c6f1a8b-329e-4094-8141-6bc88311a08c,126,avr,rare
"Avacyn, Angel of Hope",Avacyn Restored,1,FALSE,42.90,Mythic Rare,6,ba149706-cd17-4da6-8403-ccfe2d6cb437,6,avr,mythic
Banishing Stroke,Avacyn Restored,1,FALSE,0.22,Uncommon,7,238d8437-1abd-4bb7-8b5b-54f959bc2c79,7,avr,uncommon
Barter in Blood,Avacyn Restored,1,FALSE,0.20,Uncommon,85,39b4fab6-73ce-4a56-a305-4d2e93dbb4ee,85,avr,uncommon
Battle Hymn,Avacyn Restored,1,FALSE,1.50,Common,128,43b5d46e-7054-44f8-9a14-b412f2f0ab86,128,avr,common
Bone Splinters,Avacyn Restored,1,FALSE,0.18,Common,88,387eda28-f35b-48b0-ba59-773d82902327,88,avr,common
Borderland Ranger,Avacyn Restored,1,FALSE,0.16,Common,169,8f067c26-c51d-44d0-a0af-106b5778f06a,169,avr,common
Burn at the Stake,Avacyn Restored,1,FALSE,0.99,Rare,130,d46e9902-81fb-4a3c-9f2f-d3faf031631d,130,avr,rare
Butcher Ghoul,Avacyn Restored,1,FALSE,0.25,Common,89,44a91e62-e946-4101-8cef-d1c147caebf2,89,avr,common
Call to Serve,Avacyn Restored,1,FALSE,0.20,Common,9,ce4a3e80-6e95-4346-8ab8-eecc1a09ca24,9,avr,common
Cathedral Sanctifier,Avacyn Restored,1,FALSE,0.15,Common,11,76cac47a-9e83-4039-8d80-fa9bdadb7527,11,avr,common
Cloudshift,Avacyn Restored,1,FALSE,0.50,Common,12,35b06c8f-5f08-43bd-a548-2a98ba30fd41,12,avr,common
Commander's Authority,Avacyn Restored,1,FALSE,0.22,Uncommon,13,08ef4383-11e7-4426-a04a-058570f46e47,13,avr,uncommon
Conjurer's Closet,Avacyn Restored,1,FALSE,10.19,Rare,214,7378e998-0382-42fc-8606-c6e7fc04b6a4,214,avr,rare
Corpse Traders,Avacyn Restored,1,FALSE,0.20,Uncommon,90,df3eed10-7a8f-4c89-8be8-389f979e10b7,90,avr,uncommon
Crippling Chill,Avacyn Restored,1,FALSE,0.15,Common,46,79791bd9-aded-48d9-866d-9f7bd6848905,46,avr,common
Crypt Creeper,Avacyn Restored,1,FALSE,0.16,Common,91,0382cb94-0836-4e23-99b7-034faa363203,91,avr,common
Cursebreak,Avacyn Restored,1,FALSE,0.18,Common,14,c71a0883-316c-4870-a029-25f16952fbc0,14,avr,common
Dangerous Wager,Avacyn Restored,1,FALSE,0.20,Common,131,636c4042-703f-4548-9a0f-cb550c468bf9,131,avr,common
Dark Impostor,Avacyn Restored,1,FALSE,0.49,Rare,92,8f5e8815-cda8-407d-847c-968b72c061e8,92,avr,rare
Death Wind,Avacyn Restored,1,FALSE,0.19,Common,93,462a0961-cca5-4d63-867f-7426dbef8639,93,avr,common
Defang,Avacyn Restored,1,FALSE,0.15,Common,15,f12fee0b-c237-4188-a718-1572f72c63ba,15,avr,common
