Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Elminster (Borderless),Battle for Baldur's Gate Variants,1,FALSE,1.00,Mythic Rare,362,,,,
"Minsc & Boo, Timeless Heroes (Borderless)",Battle for Baldur's Gate Variants,1,FALSE,6.36,Mythic Rare,363,,,,
"Tasha, the Witch Queen (Borderless)",Battle for Baldur's Gate Variants,1,FALSE,5.16,Mythic Rare,364,,,,
Ancient Gold Dragon (Borderless),Battle for Baldur's Gate Variants,1,TRUE,31.66,Mythic Rare,365,,,,
Ancient Silver Dragon (Borderless),Battle for Baldur's Gate Variants,1,TRUE,64.03,Mythic Rare,366,,,,
Ancient Brass Dragon (Borderless),Battle for Baldur's Gate Variants,1,TRUE,52.61,Mythic Rare,367,,,,
Ancient Copper Dragon (Borderless),Battle for Baldur's Gate Variants,1,FALSE,86.99,Mythic Rare,368,,,,
Ancient Bronze Dragon (Borderless),Battle for Baldur's Gate Variants,1,FALSE,17.94,Mythic Rare,369,,,,
Battle Angels of Tyr (Borderless),Battle for Baldur's Gate Variants,1,TRUE,12.26,Mythic Rare,370,,,,
Legion Loyalty (Borderless),Battle for Baldur's Gate Variants,1,FALSE,1.40,Mythic Rare,371,,,,
Bramble Sovereign (Borderless),Battle for Baldur's Gate Variants,1,TRUE,2.64,Mythic Rare,372,,,,
Nautiloid Ship (Borderless),Battle for Baldur's Gate Variants,1,FALSE,8.00,Mythic Rare,373,,,,
Vexing Puzzlebox (Borderless),Battle for Baldur's Gate Variants,1,FALSE,4.05,Mythic Rare,374,,,,
"Abdel Adrian, Gorion's Ward (Showcase)",Battle for Baldur's Gate Variants,1,TRUE,0.18,Uncommon,375,,,,
Ancient Gold Dragon (Showcase),Battle for Baldur's Gate Variants,1,FALSE,13.89,Mythic Rare,376,,,,
"Ellyn Harbreeze, Busybody (Showcase)",Battle for Baldur's Gate Variants,1,TRUE,0.11,Uncommon,377,,,,
"Lae'zel, Vlaakith's Champion (Showcase)",Battle for Baldur's Gate Variants,1,TRUE,1.17,Rare,378,,,,
"Lulu, Loyal Hollyphant (Showcase)",Battle for Baldur's Gate Variants,1,TRUE,0.11,Uncommon,379,,,,
Rasaad yn Bashir (Showcase),Battle for Baldur's Gate Variants,1,TRUE,0.09,Uncommon,380,,,,
"Alora, Merry Thief (Showcase)",Battle for Baldur's Gate Variants,1,TRUE,0.06,Uncommon,381,,,,
"Gale, Waterdeep Prodigy (Showcase)",Battle for Baldur's Gate Variants,1,TRUE,0.42,Rare,383,,,,
Goggles of Night (Showcase),Battle for Baldur's Gate Variants,1,TRUE,0.05,Common,384,,,,
"Imoen, Mystic Trickster (Showcase)",Battle for Baldur's Gate Variants,1,TRUE,0.09,Uncommon,385,,,,
