Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Akki Blizzard-Herder,Betrayers of Kamigawa,1,FALSE,0.25,Common,91,7ce1ee90-67d1-4e83-ae1e-3bd71069aae4,91,bok,common
Akki Raider,Betrayers of Kamigawa,1,FALSE,0.25,Uncommon,92,c8fb34ae-157c-4f4b-bb47-2a9dc394a20c,92,bok,uncommon
Ashen Monstrosity,Betrayers of Kamigawa,1,FALSE,0.25,Uncommon,93,de3218e3-4640-4f73-a52b-f11ea5ea23a9,93,bok,uncommon
Aura Barbs,Betrayers of Kamigawa,1,FALSE,0.27,Uncommon,94,132af2c2-2bae-4c05-9d61-a5777818a057,94,bok,uncommon
"Cunning Bandit // Azamuki, Treachery Incarnate",Betrayers of Kamigawa,1,FALSE,0.25,Uncommon,99a/99b,1fe2b76f-ddb7-49d5-933b-ccb06be5d46f,99,bok,uncommon
Bile Urchin,Betrayers of Kamigawa,1,FALSE,0.22,Common,61,801c2b46-c7a7-44d6-ae38-5d34bf00c404,61,bok,common
Blademane Baku,Betrayers of Kamigawa,1,FALSE,0.20,Common,95,78bfd388-3648-4bc3-8c10-d6b3b79a9479,95,bok,common
Blessing of Leeches,Betrayers of Kamigawa,2,FALSE,0.76,Common,62,de0ba1cf-d913-4285-9d8b-38acf78cc45e,62,bok,common
Blinding Powder,Betrayers of Kamigawa,1,FALSE,0.43,Uncommon,153,f097fbb8-0db5-4ceb-8972-dcd21b3fb4d5,153,bok,uncommon
Blinding Powder,Betrayers of Kamigawa,1,TRUE,2.13,Uncommon,153,f097fbb8-0db5-4ceb-8972-dcd21b3fb4d5,153,bok,uncommon
Body of Jukai,Betrayers of Kamigawa,1,FALSE,0.25,Uncommon,121,f43fe8e0-23ab-4fe7-8a48-1902be142c6a,121,bok,uncommon
Call for Blood,Betrayers of Kamigawa,1,FALSE,0.20,Common,63,be04ed26-8036-4505-83d3-b782e7e1fb45,63,bok,common
Callow Jushi,Betrayers of Kamigawa,1,FALSE,0.27,Uncommon,31,ca03131a-9bd4-4fba-b95c-90f1831e86e7,31,bok,uncommon
Child of Thorns,Betrayers of Kamigawa,1,FALSE,0.22,Common,123,b32c342f-ee1a-461c-9082-d2f6d9412f54,123,bok,common
Crack the Earth,Betrayers of Kamigawa,1,FALSE,0.30,Common,98,8ab16152-4617-4deb-b995-195e21f8f485,98,bok,common
Crawling Filth,Betrayers of Kamigawa,1,FALSE,0.22,Common,64,9c735bda-5454-4177-a23a-f9f00b7480d2,64,bok,common
Day of Destiny,Betrayers of Kamigawa,1,FALSE,0.99,Rare,1,99f49ff1-54f6-4825-987b-c50a152f7275,1,bok,rare
Empty-Shrine Kannushi,Betrayers of Kamigawa,1,FALSE,0.28,Uncommon,2,86c2e405-afe2-4de2-9e45-c5f357d788ac,2,bok,uncommon
Enshrined Memories,Betrayers of Kamigawa,1,FALSE,0.94,Rare,124,aeefab6e-582a-42bb-bb27-d6aadd1d35c5,124,bok,rare
"Faithful Squire // Kaiso, Memory of Loyalty",Betrayers of Kamigawa,1,FALSE,0.25,Uncommon,3a/3b,758abd53-6ad2-406e-8615-8e48678405b4,3,bok,uncommon
Final Judgment,Betrayers of Kamigawa,1,FALSE,1.40,Rare,4,2503e136-031f-498a-b042-4077baebe8f8,4,bok,rare
First Volley,Betrayers of Kamigawa,1,FALSE,0.20,Common,100,d6e5e360-ed47-40c1-8ad7-57645c2854ca,100,bok,common
Flames of the Blood Hand,Betrayers of Kamigawa,1,FALSE,0.45,Uncommon,101,a79701b4-d220-4c3e-b96c-7a77a22ba899,101,bok,uncommon
Floodbringer,Betrayers of Kamigawa,2,FALSE,0.23,Common,34,0058be07-a8a1-448e-8c3d-61718cb384ec,34,bok,common
Forked-Branch Garami,Betrayers of Kamigawa,1,FALSE,0.25,Uncommon,125,0ff39ae5-a241-4607-903e-201f56c675f9,125,bok,uncommon
Frost Ogre,Betrayers of Kamigawa,1,FALSE,0.20,Common,102,1a91e5f1-9179-4763-b7c9-b7ad5451f6d0,102,bok,common
Frostling,Betrayers of Kamigawa,1,FALSE,0.20,Common,103,53bb08f9-355d-443e-8f08-a20ef7322e78,103,bok,common
Frostling,Betrayers of Kamigawa,1,TRUE,0.19,Common,103,53bb08f9-355d-443e-8f08-a20ef7322e78,103,bok,common
Fumiko the Lowblood,Betrayers of Kamigawa,1,FALSE,1.25,Rare,104,482678b8-bce6-4847-9f43-1761d61645d8,104,bok,rare
Genju of the Falls,Betrayers of Kamigawa,1,FALSE,0.25,Uncommon,35,f776f97c-bd9c-4c7b-be1c-93802ce6ff6a,35,bok,uncommon
Genju of the Fens,Betrayers of Kamigawa,1,FALSE,0.26,Uncommon,66,924fa2d7-ec9b-4b82-8384-0f904cb624f7,66,bok,uncommon
Genju of the Realm,Betrayers of Kamigawa,1,FALSE,4.84,Rare,151,e9eb7b9b-5189-4d20-8dec-e9d3df63e26e,151,bok,rare
Genju of the Spires,Betrayers of Kamigawa,1,FALSE,0.31,Uncommon,105,c4302b20-d445-4ef4-a6b7-6db311aa24a2,105,bok,uncommon
Gnarled Mass,Betrayers of Kamigawa,1,FALSE,0.20,Common,127,5c28728d-4839-4cdf-91d4-b9fb4b5d0449,127,bok,common
Goblin Cohort,Betrayers of Kamigawa,1,FALSE,0.25,Common,106,8964afec-50a9-45c4-bd2b-d06f8e75f4ae,106,bok,common
Harbinger of Spring,Betrayers of Kamigawa,1,FALSE,0.21,Common,128,19fd23b5-5e57-44dc-8248-c4b9eb71c4f3,128,bok,common
Harbinger of Spring,Betrayers of Kamigawa,1,TRUE,0.63,Common,128,19fd23b5-5e57-44dc-8248-c4b9eb71c4f3,128,bok,common
Heart of Light,Betrayers of Kamigawa,1,FALSE,0.22,Common,6,d8566f5e-0ec5-4c9b-8b5b-4e580b20522a,6,bok,common
Hero's Demise,Betrayers of Kamigawa,1,FALSE,1.05,Rare,68,d22dd514-814f-4a62-926d-fef311896c02,68,bok,rare
"Higure, the Still Wind",Betrayers of Kamigawa,1,FALSE,12.19,Rare,37,743f3cf5-f8aa-49d4-947d-76b91799547a,37,bok,rare
Hired Muscle,Betrayers of Kamigawa,1,FALSE,0.25,Uncommon,69,28f72260-c8f9-4c44-92b5-23cef6690fdd,69,bok,uncommon
"Hokori, Dust Drinker",Betrayers of Kamigawa,1,FALSE,1.56,Rare,7,5a03f5d5-d5c3-4a7d-8d44-e60b498b4ed5,7,bok,rare
Horobi's Whisper,Betrayers of Kamigawa,1,FALSE,0.20,Common,70,1aad5179-4b73-498e-85c5-1fc363d26223,70,bok,common
Hundred-Talon Strike,Betrayers of Kamigawa,1,FALSE,0.24,Common,8,3ed548e0-9196-4bfc-9cfd-149abb945574,8,bok,common
Indebted Samurai,Betrayers of Kamigawa,1,FALSE,0.69,Uncommon,9,bb03bc2b-6d39-4315-964c-ca7db2db054a,9,bok,uncommon
Ire of Kaminari,Betrayers of Kamigawa,1,FALSE,0.22,Common,109,0b927e30-3508-4daf-91ce-8978b04062cb,109,bok,common
Kaijin of the Vanishing Touch,Betrayers of Kamigawa,1,FALSE,0.27,Uncommon,39,39e177ce-98bf-4fbc-83d1-1f64ca5d86c6,39,bok,uncommon
Kami of Tattered Shoji,Betrayers of Kamigawa,1,FALSE,0.20,Common,11,dc6deb57-4ee3-4716-8644-28283704f994,11,bok,common
Kami of the Honored Dead,Betrayers of Kamigawa,1,FALSE,0.25,Uncommon,12,46e53299-f480-4769-bfc6-86fb19964280,12,bok,uncommon
Kitsune Palliator,Betrayers of Kamigawa,1,FALSE,0.30,Uncommon,14,eb981f8b-4f03-4fd2-a255-b10635958bfd,14,bok,uncommon
Kodama of the Center Tree,Betrayers of Kamigawa,1,FALSE,0.49,Rare,131,6b9264c5-1ecd-48cc-a12d-d4bd8050cfae,131,bok,rare
Kumano's Blessing,Betrayers of Kamigawa,1,FALSE,0.21,Common,111,56f0d9aa-4270-41cd-8993-765354c03d03,111,bok,common
Lifespinner,Betrayers of Kamigawa,1,FALSE,0.35,Uncommon,133,c6a83083-f7c6-4ddf-aee9-538a1778697d,133,bok,uncommon
Loam Dweller,Betrayers of Kamigawa,1,FALSE,0.29,Uncommon,134,4f635b35-48c8-43e8-9d74-c01d3c0c74e1,134,bok,uncommon
Mark of the Oni,Betrayers of Kamigawa,2,FALSE,0.40,Uncommon,73,632679e5-7368-4660-a765-07be196c3c35,73,bok,uncommon
Matsu-Tribe Sniper,Betrayers of Kamigawa,1,FALSE,0.24,Common,136,143af295-040d-400e-ae23-59abd2f88e11,136,bok,common
Mending Hands,Betrayers of Kamigawa,1,FALSE,0.20,Common,15,5b6ba253-fb50-4240-8129-6b86895d1ff9,15,bok,common
Minamo Sightbender,Betrayers of Kamigawa,1,FALSE,0.25,Uncommon,41,93382c5e-082e-4a51-a3ec-b659cb503747,41,bok,uncommon
Minamo's Meddling,Betrayers of Kamigawa,1,FALSE,0.21,Common,42,502c4aca-98f8-4c7d-89fd-ee42c938fac7,42,bok,common
Mistblade Shinobi,Betrayers of Kamigawa,1,FALSE,1.74,Common,43,5c06f58f-0419-4637-8060-4a93670a4c68,43,bok,common
Moonlit Strider,Betrayers of Kamigawa,1,FALSE,0.20,Common,16,d9d39ff1-402c-4218-ad42-276a22c087a7,16,bok,common
Neko-Te,Betrayers of Kamigawa,1,FALSE,4.00,Rare,155,13884a26-1e30-40d7-ae38-494154a5cf85,155,bok,rare
Ninja of the Deep Hours,Betrayers of Kamigawa,1,FALSE,1.49,Common,44,367a67c7-54db-4336-b55a-3fa27625172a,44,bok,common
Ogre Marauder,Betrayers of Kamigawa,1,FALSE,0.32,Uncommon,75,f083bd50-d171-4e49-b8e6-972802879c24,75,bok,uncommon
Ogre Recluse,Betrayers of Kamigawa,1,FALSE,0.25,Uncommon,113,aa425203-71fc-4d19-8014-871d16b11bfd,113,bok,uncommon
Okiba-Gang Shinobi,Betrayers of Kamigawa,1,FALSE,1.09,Common,76,5cd9297e-301e-4e70-af9b-3218eacacf8d,76,bok,common
Okiba-Gang Shinobi,Betrayers of Kamigawa,1,TRUE,9.69,Common,76,5cd9297e-301e-4e70-af9b-3218eacacf8d,76,bok,common
"Opal-Eye, Konda's Yojimbo",Betrayers of Kamigawa,1,FALSE,3.33,Rare,17,e08d5618-4fe0-4ae5-af16-696467aae02d,17,bok,rare
Ornate Kanzashi,Betrayers of Kamigawa,1,TRUE,5.18,Rare,157,baeb4c10-59cb-4bc1-b824-6ec8edd6f45e,157,bok,rare
Overblaze,Betrayers of Kamigawa,1,FALSE,0.49,Uncommon,114,97040b82-ad9e-4c06-a9ac-74d0688279f9,114,bok,uncommon
"Oyobi, Who Split the Heavens",Betrayers of Kamigawa,1,FALSE,0.62,Rare,18,313bd276-2f69-447e-a2b1-240cf839614a,18,bok,rare
Patron of the Moon,Betrayers of Kamigawa,1,FALSE,2.22,Rare,45,5e5fcd6f-1653-44bf-a796-4c9ff9adf390,45,bok,rare
Patron of the Nezumi,Betrayers of Kamigawa,1,FALSE,0.60,Rare,77,622e5d64-11ec-4eb5-8160-b2fb8a333812,77,bok,rare
Petalmane Baku,Betrayers of Kamigawa,1,FALSE,0.20,Common,139,7c7ba032-66d6-41bd-af4f-9853b031a474,139,bok,common
Phantom Wings,Betrayers of Kamigawa,1,FALSE,0.21,Common,46,a96e5a18-5958-426e-892f-5c68f44c1b41,46,bok,common
Psychic Spear,Betrayers of Kamigawa,1,FALSE,0.22,Common,78,1c2f024b-e77e-426b-930e-85b87e046f9b,78,bok,common
Quillmane Baku,Betrayers of Kamigawa,1,FALSE,0.20,Common,48,fe9140fc-9d50-4e63-aae6-1ba2974a25a3,48,bok,common
Ribbons of the Reikai,Betrayers of Kamigawa,1,FALSE,0.24,Common,50,e7a3b0da-026e-4ea9-8035-38c909e5f9a4,50,bok,common
Roar of Jukai,Betrayers of Kamigawa,1,FALSE,0.20,Common,140,66b70649-12f8-47b9-9959-40323684a777,140,bok,common
Ronin Cliffrider,Betrayers of Kamigawa,1,FALSE,0.40,Uncommon,116,f9f12b75-af29-49ea-a23d-915052db9fef,116,bok,uncommon
Ronin Warclub,Betrayers of Kamigawa,1,FALSE,0.35,Uncommon,158,46ad31cd-38dc-4fd3-b9e4-8988f4898719,158,bok,uncommon
"Sakiko, Mother of Summer",Betrayers of Kamigawa,1,FALSE,2.43,Rare,141,774ec405-5127-4475-8c74-b8858bd84379,141,bok,rare
Sakura-Tribe Springcaller,Betrayers of Kamigawa,1,FALSE,0.23,Common,142,b2ca7687-ba90-4479-8c6e-ece3f29fff12,142,bok,common
Scaled Hulk,Betrayers of Kamigawa,1,FALSE,0.20,Common,143,3b27457e-2c40-4983-9680-b7292db4c668,143,bok,common
