Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Banishing Light,Bloomburrow,1,TRUE,0.03,Common,1,25a06f82-ebdb-4dd6-bfe8-958018ce557c,1,blb,common
"Beza, the Bounding Spring",Bloomburrow,1,TRUE,10.59,Mythic Rare,2,fc310a26-b6a0-4e42-98ab-bdfd7b06cb63,2,blb,mythic
Brave-Kin Duo,Bloomburrow,1,TRUE,0.03,Common,3,b8dd4693-424d-4d6e-86cf-24401a23d6b1,3,blb,common
Brightblade Stoat,Bloomburrow,1,TRUE,0.10,Uncommon,4,df7fea2e-7414-4bc8-adb0-9342e174c009,4,blb,uncommon
Builder's Talent,Bloomburrow,1,TRUE,0.18,Uncommon,5,15fa581a-724e-4196-a9a3-ff84c54bdb7d,5,blb,uncommon
Carrot Cake,Bloomburrow,1,TRUE,0.17,Common,7,eb03bb4f-8b4b-417e-bfc6-294cd2186b2e,7,blb,common
Crumb and Get It,Bloomburrow,1,TRUE,0.07,Common,8,3c7b3b25-d4b3-4451-9f5c-6eb369541175,8,blb,common
Dawn's Truce,Bloomburrow,1,TRUE,7.85,Rare,9,8f72bfa0-efef-48ce-aff8-d5818ed71ba6,9,blb,rare
Dewdrop Cure,Bloomburrow,1,TRUE,0.21,Uncommon,10,666aefc2-44e0-4c27-88d5-7906f245a71f,10,blb,uncommon
Driftgloom Coyote,Bloomburrow,1,TRUE,0.06,Uncommon,11,d7ab2de3-3aea-461a-a74f-fb742cf8a198,11,blb,uncommon
Essence Channeler,Bloomburrow,1,TRUE,0.00,Rare,12,5aaf7e4c-4d5d-4acc-a834-e6c4a7629408,12,blb,rare
Feather of Flight,Bloomburrow,1,TRUE,0.21,Uncommon,13,9fb41503-8632-4bf1-9bfe-6d9b9993c337,13,blb,uncommon
Flowerfoot Swordmaster,Bloomburrow,1,TRUE,0.14,Uncommon,14,97ff118f-9c3c-43a2-8085-980c7fe7d227,14,blb,uncommon
Harvestrite Host,Bloomburrow,1,TRUE,0.14,Uncommon,15,41762689-0c13-4d45-9d81-ba2afad980f8,15,blb,uncommon
Hop to It,Bloomburrow,1,TRUE,0.26,Uncommon,16,ee7207f8-5daa-42af-aeea-7a489047110b,16,blb,uncommon
Intrepid Rabbit,Bloomburrow,1,TRUE,0.07,Common,17,4d70b99d-c8bf-4a56-8957-cf587fe60b81,17,blb,common
Jolly Gerbils,Bloomburrow,1,TRUE,0.00,Uncommon,19,0eab51d6-ba17-4a8c-8834-25db363f2b6b,19,blb,uncommon
Lifecreed Duo,Bloomburrow,1,TRUE,0.16,Common,20,ca543405-5e12-48a0-9a77-082ac9bcb2f2,20,blb,common
Mabel's Mettle,Bloomburrow,1,TRUE,0.08,Uncommon,21,5cfcf83f-089c-4e35-855e-b61b98bb1cd8,21,blb,uncommon
Mouse Trapper,Bloomburrow,1,TRUE,0.09,Uncommon,22,8ba1bc5a-03e7-44ec-893e-44042cbc02ef,22,blb,uncommon
Nettle Guard,Bloomburrow,1,TRUE,0.03,Common,23,8c9c3cc3-2aa2-453e-a17c-2baeeaabe0a9,23,blb,common
Parting Gust,Bloomburrow,1,TRUE,0.75,Uncommon,24,1086e826-94b8-4398-8a38-d8eacca56a43,24,blb,uncommon
Pileated Provisioner,Bloomburrow,1,TRUE,0.03,Common,25,ae442cd6-c4df-4aad-9b1d-ccd936c5ec96,25,blb,common
Rabbit Response,Bloomburrow,1,TRUE,0.05,Common,26,c4ded450-346d-4917-917a-b62bc0267509,26,blb,common
Repel Calamity,Bloomburrow,1,TRUE,0.09,Uncommon,27,d068192a-6270-4981-819d-4945fa4a2b83,27,blb,uncommon
Salvation Swan,Bloomburrow,1,TRUE,0.17,Rare,28,b2656160-d319-4530-a6e5-c418596c3f12,28,blb,rare
Season of the Burrow,Bloomburrow,1,TRUE,3.50,Mythic Rare,29,33bf9c60-4e58-48a4-8e53-abef7ab3b671,29,blb,mythic
Seasoned Warrenguard,Bloomburrow,1,TRUE,0.16,Uncommon,30,90873995-876f-4e89-8bc7-41a74f4d931f,30,blb,uncommon
Shrike Force,Bloomburrow,1,TRUE,0.15,Uncommon,31,306fec2c-d8b7-4f4b-8f58-10e3b9f3158f,31,blb,uncommon
Sonar Strike,Bloomburrow,1,TRUE,0.03,Common,32,a50da179-751f-47a8-a547-8c4a291ed381,32,blb,common
Star Charter,Bloomburrow,1,TRUE,0.11,Uncommon,33,0e209237-00f7-4bf0-8287-ccde02ce8e8d,33,blb,uncommon
Thistledown Players,Bloomburrow,1,TRUE,0.03,Common,35,afa8d83f-8586-4127-8b55-9715e9547488,35,blb,common
Valley Questcaller,Bloomburrow,1,TRUE,1.31,Rare,36,ba629ca8-a368-4282-8a61-9bf6a5c217f0,36,blb,rare
Warren Elder,Bloomburrow,1,TRUE,0.02,Common,37,4bf20069-5a20-4f95-976b-6af2b69f3ad0,37,blb,common
Wax-Wane Witness,Bloomburrow,1,TRUE,0.03,Common,39,d90ea719-5320-46c6-a347-161853a14776,39,blb,common
Whiskervale Forerunner,Bloomburrow,1,TRUE,0.20,Rare,40,60a78d59-af31-4af9-95aa-2573fe553925,40,blb,rare
Azure Beastbinder,Bloomburrow,1,TRUE,0.66,Rare,41,211af1bf-910b-41a5-b928-f378188d1871,41,blb,rare
Bellowing Crier,Bloomburrow,1,TRUE,0.05,Common,42,ca2215dd-6300-49cf-b9b2-3a840b786c31,42,blb,common
Calamitous Tide,Bloomburrow,1,TRUE,0.06,Uncommon,43,178bc8b2-ffa0-4549-aead-aacb3db3cf19,43,blb,uncommon
Daring Waverider,Bloomburrow,1,TRUE,0.15,Uncommon,44,19422406-0c1a-497e-bed1-708bc556491a,44,blb,uncommon
Dazzling Denial,Bloomburrow,1,TRUE,0.05,Common,45,8739f1ac-2e57-4b52-a7ff-cc8df5936aad,45,blb,common
Dire Downdraft,Bloomburrow,1,TRUE,0.05,Common,46,f1931f22-974c-43ad-911e-684bf3f9995d,46,blb,common
Dour Port-Mage,Bloomburrow,1,TRUE,3.37,Rare,47,6402133e-eed1-4a46-9667-8b7a310362c1,47,blb,rare
Eddymurk Crab,Bloomburrow,1,TRUE,0.20,Uncommon,48,e6d45abe-4962-47d9-a54e-7e623ea8647c,48,blb,uncommon
"Eluge, the Shoreless Sea",Bloomburrow,1,TRUE,3.35,Mythic Rare,49,1f2bf6ba-cd1a-4382-9572-6dfbcf6ed0c6,49,blb,mythic
Finch Formation,Bloomburrow,1,TRUE,0.04,Common,50,1c671eab-d1ef-4d79-94eb-8b85f0d18699,50,blb,common
Gossip's Talent,Bloomburrow,1,TRUE,0.24,Uncommon,51,b299889a-03d6-4659-b0e1-f0830842e40f,51,blb,uncommon
Into the Flood Maw,Bloomburrow,1,TRUE,4.31,Uncommon,52,50b9575a-53d9-4df7-b86c-cda021107d3f,52,blb,uncommon
Kitnap,Bloomburrow,1,TRUE,0.15,Rare,53,085be5d1-fd85-46d1-ad39-a8aa75a06a96,53,blb,rare
"Kitsa, Otterball Elite",Bloomburrow,1,TRUE,3.26,Mythic Rare,54,c8ff751a-ec64-41d5-b22c-2a483ad9a9b2,54,blb,mythic
Knightfisher,Bloomburrow,1,TRUE,0.06,Uncommon,55,c7fb7f4f-2153-4527-8f11-adbf508d3533,55,blb,uncommon
Lightshell Duo,Bloomburrow,1,TRUE,0.06,Common,56,2f00c834-b4a9-45b8-bb3f-22c2a42314a0,56,blb,common
Long River Lurker,Bloomburrow,1,TRUE,0.16,Uncommon,57,7c267719-cd03-4003-b281-e732d5e42a1e,57,blb,uncommon
Long River's Pull,Bloomburrow,1,TRUE,0.38,Uncommon,58,1c81d0fa-81a1-4f9b-a5fd-5a648fd01dea,58,blb,uncommon
Mind Spiral,Bloomburrow,1,TRUE,0.02,Common,59,7e24fe6a-607b-49b8-9fca-cecb1e40de7f,59,blb,common
Mindwhisker,Bloomburrow,1,TRUE,0.10,Uncommon,60,aaa10f34-5bfd-4d87-8f07-58de3b0f5663,60,blb,uncommon
Mockingbird,Bloomburrow,1,TRUE,4.84,Rare,61,ade32396-8841-4ba4-8852-d11146607f21,61,blb,rare
Nightwhorl Hermit,Bloomburrow,1,TRUE,0.03,Common,62,0928e04f-2568-41e8-b603-7a25cf5f94d0,62,blb,common
Otterball Antics,Bloomburrow,1,TRUE,0.13,Uncommon,63,3ff83ff7-e428-4ccc-8341-f223dab76bd1,63,blb,uncommon
Pearl of Wisdom,Bloomburrow,1,TRUE,0.07,Common,64,13cb9575-1138-4f99-8e90-0eaf00bdf4a1,64,blb,common
Plumecreed Escort,Bloomburrow,1,TRUE,0.11,Uncommon,65,f71320ed-2f30-49ce-bcb0-19aebba3f0e8,65,blb,uncommon
Portent of Calamity,Bloomburrow,1,TRUE,0.26,Rare,66,8599e2dd-9164-4da3-814f-adccef3b9497,66,blb,rare
Run Away Together,Bloomburrow,1,TRUE,0.11,Common,67,7cb7ec70-a5a4-4188-ba1a-e88b81bdbad0,67,blb,common
Season of Weaving,Bloomburrow,1,TRUE,3.89,Mythic Rare,68,f5713bb4-bdd9-4253-b6b9-e590532ed773,68,blb,mythic
Shore Up,Bloomburrow,1,TRUE,0.15,Common,69,4dc3b49e-3674-494c-bdea-4374cefd10f4,69,blb,common
Shoreline Looter,Bloomburrow,1,TRUE,0.25,Uncommon,70,d5bf8cf0-419a-4dc9-9342-aad55c1af05a,70,blb,uncommon
Skyskipper Duo,Bloomburrow,1,TRUE,0.02,Common,71,d6844bad-ffbe-4c6e-b438-08562eccea52,71,blb,common
Spellgyre,Bloomburrow,1,TRUE,0.15,Uncommon,72,f6f6620a-1d40-429d-9a0c-aaeb62adaa71,72,blb,uncommon
Splash Lasher,Bloomburrow,1,TRUE,0.09,Uncommon,73,362ee125-35a0-46cd-a201-e6797d12d33a,73,blb,uncommon
Splash Portal,Bloomburrow,1,TRUE,0.28,Uncommon,74,adbaa356-28ba-487f-930a-a957d9960ab0,74,blb,uncommon
Stormchaser's Talent,Bloomburrow,1,TRUE,12.29,Rare,75,a36e682d-b43d-4e08-bf5b-70d7e924dbe5,75,blb,rare
Sugar Coat,Bloomburrow,1,TRUE,0.04,Uncommon,76,fcacbe71-efb0-49e1-b2d0-3ee65ec6cf8b,76,blb,uncommon
Thought Shucker,Bloomburrow,1,TRUE,0.04,Common,77,44b0d83b-cc41-4f82-892c-ef6d3293228a,77,blb,common
Thundertrap Trainer,Bloomburrow,1,TRUE,2.37,Rare,78,9cf3af94-b7c8-415c-a5a1-d89967fd0bba,78,blb,rare
Waterspout Warden,Bloomburrow,1,TRUE,0.04,Common,80,35898b39-98e2-405b-8f18-0e054bd2c29e,80,blb,common
Wishing Well,Bloomburrow,1,TRUE,0.15,Rare,81,edeb20aa-b253-49b8-9947-c397a3a4002a,81,blb,rare
Agate-Blade Assassin,Bloomburrow,1,TRUE,0.05,Common,82,39ebb84a-1c52-4b07-9bd0-b360523b3a5b,82,blb,common
Bandit's Talent,Bloomburrow,1,TRUE,0.38,Uncommon,83,485dc8d8-9e44-4a0f-9ff6-fa448e232290,83,blb,uncommon
Bonebind Orator,Bloomburrow,1,TRUE,0.06,Common,84,faf226fa-ca09-4468-8804-87b2a7de2c66,84,blb,common
Bonecache Overseer,Bloomburrow,1,TRUE,0.16,Uncommon,85,82defb87-237f-4b77-9673-5bf00607148f,85,blb,uncommon
Coiling Rebirth,Bloomburrow,1,TRUE,0.43,Rare,86,96d5de3e-0440-4dd1-899c-ab40c0752343,86,blb,rare
Consumed by Greed,Bloomburrow,1,TRUE,0.11,Uncommon,87,e50acc41-3517-42db-b1d3-1bdfd7294d84,87,blb,uncommon
Cruelclaw's Heist,Bloomburrow,1,TRUE,0.83,Rare,88,cab4539a-0157-4cbe-b50f-6e2575df74e9,88,blb,rare
Daggerfang Duo,Bloomburrow,1,TRUE,0.05,Common,89,cea2bb34-e328-44fb-918a-72208c9457e4,89,blb,common
Darkstar Augur,Bloomburrow,1,TRUE,0.69,Rare,90,1c603751-1e2b-4c8e-a8d2-5c0876e7254f,90,blb,rare
Diresight,Bloomburrow,1,TRUE,0.15,Common,91,fada29c0-5293-40a4-b36d-d073ee99e650,91,blb,common
Downwind Ambusher,Bloomburrow,1,TRUE,0.06,Uncommon,92,55cfd628-933a-4d3d-b2e5-70bc86960d1c,92,blb,uncommon
Early Winter,Bloomburrow,1,TRUE,0.03,Common,93,5030e6ac-211d-4145-8c87-998a8351a467,93,blb,common
Feed the Cycle,Bloomburrow,1,TRUE,0.17,Uncommon,94,7e017ff8-2936-4a1b-bece-00004cfbad06,94,blb,uncommon
Fell,Bloomburrow,1,TRUE,0.45,Uncommon,95,c96ac326-de44-470b-a592-a4c2a052c091,95,blb,uncommon
Glidedive Duo,Bloomburrow,1,TRUE,0.06,Common,96,4831e7ae-54e3-4bd9-b5af-52dc29f81715,96,blb,common
Hazel's Nocturne,Bloomburrow,1,TRUE,0.09,Uncommon,97,239363df-4de8-4b64-80fc-a1f4b5c36027,97,blb,uncommon
Huskburster Swarm,Bloomburrow,1,TRUE,0.17,Uncommon,98,ed2f61d7-4eb0-41c5-8a34-a0793c2abc51,98,blb,uncommon
"Maha, Its Feathers Night",Bloomburrow,1,FALSE,9.73,Mythic Rare,100,cf3320ec-c4e8-405a-982d-e009c58c9e21,100,blb,mythic
Moonstone Harbinger,Bloomburrow,1,TRUE,0.10,Uncommon,101,59e4aa8d-1d06-48db-b205-aa2f1392bbcb,101,blb,uncommon
Nocturnal Hunger,Bloomburrow,1,TRUE,0.05,Common,102,742c0409-9abd-4559-b52e-932cc90c531a,102,blb,common
Osteomancer Adept,Bloomburrow,1,TRUE,0.56,Rare,103,7d8238dd-858f-466c-96de-986bd66861d7,103,blb,rare
Persistent Marshstalker,Bloomburrow,1,TRUE,0.19,Uncommon,104,8b900c71-713b-4b7e-b4be-ad9f4aa0c139,104,blb,uncommon
Psychic Whorl,Bloomburrow,1,TRUE,0.03,Common,105,df900308-8432-4a0a-be21-17482026012b,105,blb,common
Ravine Raider,Bloomburrow,1,TRUE,0.02,Common,106,874510be-7ecd-4eff-abad-b9594eb4821a,106,blb,common
Rottenmouth Viper,Bloomburrow,1,TRUE,7.76,Mythic Rare,107,735e79b1-a3a9-4ddf-8bbc-f756c8a0452b,107,blb,mythic
Ruthless Negotiation,Bloomburrow,1,TRUE,0.09,Uncommon,108,c7f4360c-8d68-4058-b9ec-da9948cb060d,108,blb,uncommon
Savor,Bloomburrow,1,TRUE,0.06,Common,109,1397f689-dca1-4d35-864b-92c5606afb9a,109,blb,common
Scales of Shale,Bloomburrow,1,TRUE,0.04,Common,110,9ae14276-dbbd-4257-80e9-accd6c19f5b2,110,blb,common
Scavenger's Talent,Bloomburrow,1,FALSE,2.36,Rare,111,9a52b7fe-87ae-425b-85fd-b24e6e0395f1,111,blb,rare
Sinister Monolith,Bloomburrow,1,TRUE,0.18,Uncommon,113,2a15e06c-2608-4e7a-a16c-d35417669d86,113,blb,uncommon
Stargaze,Bloomburrow,1,TRUE,0.12,Uncommon,114,777fc599-8de7-44d2-8fdd-9bddf5948a0c,114,blb,uncommon
Starlit Soothsayer,Bloomburrow,1,TRUE,0.05,Common,115,184c1eca-2991-438f-b5d2-cd2529b9c9b4,115,blb,common
Starscape Cleric,Bloomburrow,1,TRUE,2.59,Uncommon,116,53a938a7-0154-4350-87cb-00da24ec3824,116,blb,uncommon
Thornplate Intimidator,Bloomburrow,1,TRUE,0.03,Common,117,42f66c4a-feaa-4ba6-aa56-955b43329a9e,117,blb,common
Thought-Stalker Warlock,Bloomburrow,1,TRUE,0.14,Uncommon,118,42e80284-d489-493b-ae92-95b742d07cb3,118,blb,uncommon
Valley Rotcaller,Bloomburrow,1,TRUE,1.81,Rare,119,4da80a9a-b1d5-4fc5-92f7-36946195d0c7,119,blb,rare
"Wick, the Whorled Mind",Bloomburrow,1,TRUE,0.19,Rare,120,29089810-d7fb-4abe-b729-bfabed6aed2b,120,blb,rare
Wick's Patrol,Bloomburrow,1,TRUE,0.06,Uncommon,121,5fa0c53d-fe7b-4b8b-ad81-7967ca318ff7,121,blb,uncommon
Agate Assault,Bloomburrow,1,TRUE,0.03,Common,122,7dd9946b-515e-4e0d-9da2-711e126e9fa6,122,blb,common
Alania's Pathmaker,Bloomburrow,1,TRUE,0.03,Common,123,d3871fe6-e26e-4ab4-bd81-7e3c7b8135c1,123,blb,common
Artist's Talent,Bloomburrow,1,TRUE,5.41,Rare,124,8b9e51d9-189b-4dd6-87cb-628ea6373e81,124,blb,rare
Blacksmith's Talent,Bloomburrow,1,TRUE,0.23,Uncommon,125,4bb318fa-481d-40a7-978e-f01b49101ae0,125,blb,uncommon
Blooming Blast,Bloomburrow,1,TRUE,0.10,Uncommon,126,0cd92a83-cec3-4085-a929-3f204e3e0140,126,blb,uncommon
Brambleguard Captain,Bloomburrow,1,TRUE,0.06,Uncommon,127,e200b8bf-f2f3-4157-8e04-02baf07a963e,127,blb,uncommon
Brazen Collector,Bloomburrow,1,TRUE,0.10,Uncommon,128,78b55a58-c669-4dc6-aa63-5d9dff52e613,128,blb,uncommon
Byway Barterer,Bloomburrow,1,TRUE,0.17,Rare,129,f41fc718-641b-4f32-a8c1-3e5591a05bf8,129,blb,rare
Conduct Electricity,Bloomburrow,1,TRUE,0.04,Common,130,2f373dd6-2412-453c-85ba-10230dfe473a,130,blb,common
Coruscation Mage,Bloomburrow,1,TRUE,1.65,Uncommon,131,dc2c1de0-6233-469a-be72-a050b97d2c8f,131,blb,uncommon
Emberheart Challenger,Bloomburrow,1,TRUE,6.12,Rare,133,0035082e-bb86-4f95-be48-ffc87fe5286d,133,blb,rare
Festival of Embers,Bloomburrow,1,TRUE,0.21,Rare,134,4433ee12-2013-4fdc-979f-ae065f63a527,134,blb,rare
Flamecache Gecko,Bloomburrow,1,TRUE,0.16,Uncommon,135,fb8e7c97-8393-41b8-bb0b-3983dcc5e7f4,135,blb,uncommon
Frilled Sparkshooter,Bloomburrow,1,TRUE,0.02,Common,136,674bbd6d-e329-42cf-963d-88d1ce8fe51e,136,blb,common
Harnesser of Storms,Bloomburrow,1,TRUE,0.10,Uncommon,137,b56beeb6-88ca-475e-8654-1d4e8b4aa3c0,137,blb,uncommon
Heartfire Hero,Bloomburrow,1,TRUE,2.87,Uncommon,138,48ace959-66b2-40c8-9bff-fd7ed9c99a82,138,blb,uncommon
Hearthborn Battler,Bloomburrow,1,TRUE,0.22,Rare,139,bef1cf5c-9738-4062-8cb1-87a372d36687,139,blb,rare
Hired Claw,Bloomburrow,1,TRUE,5.31,Rare,140,1ae41080-0d67-4719-adb2-49bf2a268b6c,140,blb,rare
Hoarder's Overflow,Bloomburrow,1,TRUE,0.04,Uncommon,141,c2ed5079-07b4-4575-a2c8-5f0cbff888c3,141,blb,uncommon
Kindlespark Duo,Bloomburrow,1,TRUE,0.08,Common,142,a839fba3-1b66-4dd1-bf43-9b015b44fc81,142,blb,common
Manifold Mouse,Bloomburrow,1,TRUE,5.59,Rare,143,db3832b5-e83f-4569-bd49-fb7b86fa2d47,143,blb,rare
Might of the Meek,Bloomburrow,1,TRUE,0.20,Common,144,509bf254-8a2b-4dfa-9ae5-386321b35e8b,144,blb,common
Playful Shove,Bloomburrow,1,TRUE,0.16,Uncommon,145,07956edf-34c1-4218-9784-ddbca13e380c,145,blb,uncommon
Quaketusk Boar,Bloomburrow,1,TRUE,0.03,Uncommon,146,2f2b7fd3-a139-49ea-8a89-b64261e868ef,146,blb,uncommon
Rabid Gnaw,Bloomburrow,1,TRUE,0.11,Uncommon,147,2f815bae-820a-49f6-8eed-46f658e7b6ff,147,blb,uncommon
Raccoon Rallier,Bloomburrow,1,TRUE,0.07,Common,148,b5b5180f-5a1c-4df8-9019-195e65a50ce3,148,blb,common
Reptilian Recruiter,Bloomburrow,1,TRUE,0.05,Uncommon,149,81dec453-c9d7-42cb-980a-c82f82bede76,149,blb,uncommon
Roughshod Duo,Bloomburrow,1,TRUE,0.06,Common,150,78cdcfb9-a247-4c2d-a098-5b57570f8cd5,150,blb,common
Sazacap's Brew,Bloomburrow,1,TRUE,0.05,Common,151,6d963080-b3ec-467d-82f7-39db6ecd6bbc,151,blb,common
Season of the Bold,Bloomburrow,1,TRUE,1.03,Mythic Rare,152,84352565-558b-4f9b-a411-532147806a78,152,blb,mythic
Steampath Charger,Bloomburrow,1,TRUE,0.02,Common,153,03bf1296-e347-4070-8c6f-5c362c2f9364,153,blb,common
Sunspine Lynx,Bloomburrow,1,TRUE,2.23,Rare,155,8995ceaf-b7e0-423c-8f3e-25212d522502,155,blb,rare
Take Out the Trash,Bloomburrow,1,TRUE,0.04,Common,156,7a1c6f00-af4c-4d35-b682-6c0e759df9a5,156,blb,common
Teapot Slinger,Bloomburrow,1,TRUE,0.10,Uncommon,157,30506844-349f-4b68-8cc1-d028c1611cc7,157,blb,uncommon
Valley Flamecaller,Bloomburrow,1,TRUE,0.29,Rare,158,a0812db4-b7d1-4cf7-aaa5-9c0e784079a1,158,blb,rare
