Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Acolyte's Reward,Born of the Gods,1,FALSE,0.20,Uncommon,1,cd8980af-c3fa-4027-917a-4a3d441c0a75,1,bng,uncommon
Aerie Worshippers,Born of the Gods,1,FALSE,0.20,Uncommon,30,06c8b3b9-f0fb-4cc1-8916-82ee2c74f089,30,bng,uncommon
Akroan Phalanx,Born of the Gods,1,FALSE,0.19,Uncommon,2,fe23019a-e432-4a27-8acb-b17728a1e8b0,2,bng,uncommon
Archetype of Courage,Born of the Gods,1,FALSE,1.04,Uncommon,4,8e6c4afb-6a94-4519-91c6-9824fed2892c,4,bng,uncommon
Archetype of Finality,Born of the Gods,1,FALSE,1.00,Uncommon,58,f326b9c5-063b-4c53-a696-11cd89fc88d8,58,bng,uncommon
Ashiok's Adept,Born of the Gods,1,FALSE,0.23,Uncommon,59,86acd1cc-5238-4734-a324-b4cecffc0bab,59,bng,uncommon
Aspect of Hydra,Born of the Gods,1,FALSE,0.23,Common,117,19353629-07be-47e2-a7d5-3a5e5e1120c8,117,bng,common
Asphyxiate,Born of the Gods,1,FALSE,0.15,Common,60,894f3f5f-586d-45e4-9af7-4de80e44dfae,60,bng,common
Astral Cornucopia,Born of the Gods,1,FALSE,0.96,Rare,157,a72b8011-c712-418f-869e-42fda3dc0830,157,bng,rare
Bile Blight,Born of the Gods,1,FALSE,0.22,Uncommon,61,3ca11057-e50a-4817-924a-5bb504d0780f,61,bng,uncommon
Bolt of Keranos,Born of the Gods,1,FALSE,0.15,Common,89,4df70b14-5d67-4a92-aaba-72480c621d10,89,bng,common
"Brimaz, King of Oreskos",Born of the Gods,1,FALSE,13.23,Mythic Rare,5,f54eb705-6326-4bac-bf0e-68d42db7a270,5,bng,mythic
Champion of Stray Souls,Born of the Gods,1,FALSE,0.50,Mythic Rare,63,342196b9-ab65-4922-864e-00f067153261,63,bng,mythic
Charging Badger,Born of the Gods,1,FALSE,0.18,Common,118,5d88ad54-43fc-45e0-8e00-db6be0c021ea,118,bng,common
Chorus of the Tides,Born of the Gods,1,TRUE,0.04,Common,33,6e576f7a-0390-4514-aaed-20406fe6acdf,33,bng,common
Claim of Erebos,Born of the Gods,1,FALSE,0.15,Common,64,a51db556-b3e8-4628-9e39-6353023b0696,64,bng,common
Crypsis,Born of the Gods,1,FALSE,0.15,Common,34,bd445b01-34af-4132-a9fe-a03858624492,34,bng,common
Culling Mark,Born of the Gods,1,FALSE,0.15,Common,120,d4c45eda-9f00-4b40-b91d-0ed00151923c,120,bng,common
Cyclops of One-Eyed Pass,Born of the Gods,1,FALSE,0.15,Common,90,71a25c69-8e57-4a44-955a-da1541bbe0fe,90,bng,common
Deepwater Hypnotist,Born of the Gods,1,FALSE,0.15,Common,35,4ab7c6a7-8214-4644-8f2e-ec74d2aff27e,35,bng,common
Divination,Born of the Gods,1,FALSE,0.16,Common,36,65b9964e-cfe0-4400-b903-3f590889f88d,36,bng,common
Drown in Sorrow,Born of the Gods,1,FALSE,0.25,Uncommon,65,287c7570-8080-43dc-a586-963e15566446,65,bng,uncommon
Eater of Hope,Born of the Gods,1,FALSE,0.29,Rare,66,f75f3d3f-925d-45ef-92e6-22aca22e5451,66,bng,rare
Elite Skirmisher,Born of the Gods,1,FALSE,0.15,Common,8,982eed00-e9fe-4d0f-a2b7-9606aa7926a1,8,bng,common
Ephara's Radiance,Born of the Gods,1,FALSE,0.15,Common,9,e0741582-0c7b-4d5b-83a9-dd8862de1f24,9,bng,common
Epiphany Storm,Born of the Gods,1,FALSE,0.16,Common,91,dd3a0128-4499-498d-9721-b1fd70ea84b4,91,bng,common
Eternity Snare,Born of the Gods,1,TRUE,0.22,Uncommon,37,fa167147-68ca-49af-98d3-538474ea1158,37,bng,uncommon
Evanescent Intellect,Born of the Gods,1,FALSE,0.15,Common,38,d38cfe97-77b3-4423-95ac-88eb850cf854,38,bng,common
Excoriate,Born of the Gods,1,FALSE,0.15,Common,10,7d5023a5-b77c-48c6-9e84-ef525300ecdf,10,bng,common
Eye Gouge,Born of the Gods,1,FALSE,0.15,Common,67,94d4eb34-0529-48a0-ac52-b57cead7b651,67,bng,common
Fall of the Hammer,Born of the Gods,1,FALSE,0.18,Common,93,ed6f1a4b-db3b-4dfc-8d3a-cc73b011a5dd,93,bng,common
Fanatic of Xenagos,Born of the Gods,1,FALSE,0.20,Uncommon,147,3687799c-81bd-4c49-902a-2a96863629c3,147,bng,uncommon
Fate Unraveler,Born of the Gods,1,FALSE,2.18,Rare,68,f15cd233-e27b-4cfd-aa4e-18040d1de22f,68,bng,rare
Fated Conflagration,Born of the Gods,1,FALSE,0.25,Rare,94,66ea1aeb-bd42-4960-b40f-e7c2fd1efb5c,94,bng,rare
Fated Intervention,Born of the Gods,1,FALSE,0.26,Rare,121,622e1afc-0d06-4c01-abef-3b3e93bd21c3,121,bng,rare
Felhide Brawler,Born of the Gods,1,FALSE,0.15,Common,70,4a829bb0-6a84-46de-9c2d-14176cf542e6,70,bng,common
Flame-Wreathed Phoenix,Born of the Gods,1,FALSE,0.50,Mythic Rare,97,a36bca58-e92f-4496-92d6-5ecba7a0424d,97,bng,mythic
Floodtide Serpent,Born of the Gods,1,FALSE,0.15,Common,41,7a2a4b24-096a-4d36-a872-73fa4552bb35,41,bng,common
Forgestoker Dragon,Born of the Gods,1,FALSE,0.30,Rare,98,4fd44170-ded7-4895-8950-bfa9d19e471d,98,bng,rare
Forlorn Pseudamma,Born of the Gods,1,FALSE,0.20,Uncommon,71,1c236a33-fb20-41f4-8946-beb65d1cf684,71,bng,uncommon
Forsaken Drifters,Born of the Gods,1,FALSE,0.15,Common,72,05445d18-3590-4216-9392-9438d9f9395d,72,bng,common
Ghostblade Eidolon,Born of the Gods,1,FALSE,0.23,Uncommon,12,73b1e720-c7cd-450a-a8af-61fcbca7eb24,12,bng,uncommon
Glimpse the Sun God,Born of the Gods,1,FALSE,0.24,Uncommon,13,f241e5f7-3168-4bd2-b586-185aad3ae9d9,13,bng,uncommon
Gorgon's Head,Born of the Gods,1,FALSE,0.79,Uncommon,158,d745dd92-9f7a-44a4-a27f-2ff17753db1c,158,bng,uncommon
Great Hart,Born of the Gods,1,FALSE,0.15,Common,15,70cd7d2b-e9c4-4900-89a0-f6eb0c6cb22b,15,bng,common
Griffin Dreamfinder,Born of the Gods,1,FALSE,0.15,Common,16,b569fadd-d9ca-4b0d-bee2-9d45574e56f0,16,bng,common
Grisly Transformation,Born of the Gods,1,FALSE,0.15,Common,74,4eb0ce84-560f-4e39-a0ab-7bd710d541cc,74,bng,common
Herald of Torment,Born of the Gods,1,FALSE,0.30,Rare,75,6bb7e5ab-57d7-4a86-b7c2-262932ac3344,75,bng,rare
Hero of Iroas,Born of the Gods,1,FALSE,0.67,Rare,17,7917f2ee-f093-4ffb-83ed-a181b14b5957,17,bng,rare
Heroes' Podium,Born of the Gods,1,FALSE,0.40,Rare,159,a3cb14f9-343c-4672-b4ee-db7f1d1a98ff,159,bng,rare
Hold at Bay,Born of the Gods,1,FALSE,0.15,Common,18,ffeb407d-6a42-488a-9869-83da3047e45d,18,bng,common
Impetuous Sunchaser,Born of the Gods,1,FALSE,0.15,Common,99,e6d4c13b-95ef-49df-b349-26e0fec109ad,99,bng,common
Karametra's Favor,Born of the Gods,1,FALSE,0.17,Common,125,bc036932-38c2-42df-9922-2d901028f2b8,125,bng,common
Kiora's Follower,Born of the Gods,1,FALSE,0.35,Uncommon,150,ec9ce307-8ec3-4db6-a4a3-49f92ebcc783,150,bng,uncommon
Kragma Butcher,Born of the Gods,1,FALSE,0.16,Common,100,56d1dcab-7e46-4ff1-91f6-77352ef0cd90,100,bng,common
Kraken of the Straits,Born of the Gods,1,FALSE,0.25,Uncommon,42,12ae69b3-afa5-4763-a0c8-c3d9d96f6ddc,42,bng,uncommon
Loyal Pegasus,Born of the Gods,1,FALSE,0.15,Common,19,e6b29f36-e84d-402e-9ab7-935fd2e7532d,19,bng,common
