Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Fell the Mighty (Showcase),Breaking News,1,TRUE,0.18,Rare,1,,,,
Fierce Retribution (Showcase),Breaking News,1,TRUE,0.06,Uncommon,2,,,,
Journey to Nowhere (Showcase),Breaking News,1,TRUE,0.11,Uncommon,3,,,,
Leyline Binding (Showcase),Breaking News,1,FALSE,2.28,Mythic Rare,4,,,,
Pariah (Showcase),Breaking News,1,TRUE,0.46,Rare,5,,,,
Path to Exile (Showcase),Breaking News,1,TRUE,1.35,Rare,6,,,,
Archive Trap (Showcase),Breaking News,1,FALSE,1.19,Rare,7,,,,
Archmage's Charm (Showcase),Breaking News,1,TRUE,1.15,Rare,8,,,,
Commandeer (Showcase),Breaking News,1,FALSE,0.88,Rare,9,,,,
Essence Capture (Showcase),Breaking News,1,TRUE,0.14,Uncommon,10,,,,
Mindbreak Trap (Showcase),Breaking News,1,TRUE,19.72,Mythic Rare,12,,,,
Repulse (Showcase),Breaking News,1,TRUE,0.08,Uncommon,13,,,,
Heartless Pillage (Showcase),Breaking News,1,TRUE,0.05,Uncommon,14,,,,
Imp's Mischief (Showcase),Breaking News,1,FALSE,2.14,Rare,15,,,,
Murder (Showcase),Breaking News,1,TRUE,0.09,Uncommon,16,,,,
Overwhelming Forces (Showcase),Breaking News,1,FALSE,1.20,Mythic Rare,17,,,,
Reanimate (Showcase),Breaking News,1,TRUE,10.32,Rare,18,,,,
Surgical Extraction (Showcase),Breaking News,1,FALSE,1.48,Rare,19,,,,
Thoughtseize (Showcase),Breaking News,1,TRUE,9.39,Mythic Rare,20,,,,
Collective Defiance (Showcase),Breaking News,1,TRUE,0.19,Rare,21,,,,
Crackle with Power (Showcase),Breaking News,1,FALSE,2.95,Mythic Rare,22,,,,
Electrodominance (Showcase),Breaking News,1,TRUE,0.60,Rare,23,,,,
Fling (Showcase),Breaking News,1,TRUE,0.16,Uncommon,24,,,,
Indomitable Creativity (Showcase),Breaking News,1,FALSE,0.90,Mythic Rare,25,,,,
Skewer the Critics (Showcase),Breaking News,1,TRUE,0.11,Uncommon,26,,,,
Skullcrack (Showcase),Breaking News,1,FALSE,0.25,Rare,27,,,,
Clear Shot (Showcase),Breaking News,1,TRUE,0.04,Uncommon,28,,,,
Force of Vigor (Showcase),Breaking News,1,FALSE,6.27,Mythic Rare,29,,,,
Pest Infestation (Showcase),Breaking News,1,FALSE,2.09,Rare,30,,,,
Primal Command (Showcase),Breaking News,1,TRUE,0.32,Rare,31,,,,
Primal Might (Showcase),Breaking News,1,TRUE,0.22,Rare,32,,,,
Thornado (Showcase),Breaking News,1,TRUE,0.05,Uncommon,33,,,,
Abrupt Decay (Showcase),Breaking News,1,TRUE,1.92,Rare,34,,,,
Anguished Unmaking (Showcase),Breaking News,1,TRUE,2.58,Mythic Rare,35,,,,
Back for More (Showcase),Breaking News,1,TRUE,0.04,Uncommon,36,,,,
Bedevil (Showcase),Breaking News,1,FALSE,0.50,Rare,37,,,,
Buried in the Garden (Showcase),Breaking News,1,TRUE,0.09,Uncommon,38,,,,
Crime // Punishment (Showcase),Breaking News,1,TRUE,0.54,Mythic Rare,39,,,,
Cruel Ultimatum (Showcase),Breaking News,1,FALSE,0.25,Rare,40,,,,
Decimate (Showcase),Breaking News,1,TRUE,0.24,Rare,41,,,,
Decisive Denial (Showcase),Breaking News,1,TRUE,0.13,Uncommon,42,,,,
Detention Sphere (Showcase),Breaking News,1,FALSE,0.25,Rare,43,,,,
Endless Detour (Showcase),Breaking News,1,TRUE,0.18,Rare,44,,,,
Hindering Light (Showcase),Breaking News,1,TRUE,0.08,Uncommon,46,,,,
Humiliate (Showcase),Breaking News,1,TRUE,0.06,Uncommon,47,,,,
Hypothesizzle (Showcase),Breaking News,1,TRUE,0.08,Uncommon,48,,,,
Ionize (Showcase),Breaking News,1,FALSE,0.25,Rare,49,,,,
"Oko, Thief of Crowns (Showcase)",Breaking News,1,FALSE,4.49,Mythic Rare,50,,,,
Outlaws' Merriment (Showcase),Breaking News,1,TRUE,0.28,Rare,51,,,,
Ride Down (Showcase),Breaking News,1,TRUE,0.04,Uncommon,52,,,,
Savage Smash (Showcase),Breaking News,1,TRUE,0.05,Uncommon,53,,,,
Siphon Insight (Showcase),Breaking News,1,FALSE,0.25,Rare,54,,,,
Terminal Agony (Showcase),Breaking News,1,TRUE,0.08,Uncommon,55,,,,
Tyrant's Scorn (Showcase),Breaking News,1,TRUE,0.06,Uncommon,56,,,,
Vanishing Verse (Showcase),Breaking News,1,TRUE,0.34,Rare,57,,,,
Villainous Wealth (Showcase),Breaking News,1,TRUE,0.30,Rare,58,,,,
Void Rend (Showcase),Breaking News,1,FALSE,0.50,Rare,59,,,,
Voidslime (Showcase),Breaking News,1,TRUE,0.29,Rare,60,,,,
Contagion Engine (Showcase),Breaking News,1,TRUE,4.99,Mythic Rare,61,,,,
Mindslaver (Showcase),Breaking News,1,TRUE,1.26,Mythic Rare,63,,,,
Unlicensed Hearse (Showcase),Breaking News,1,TRUE,1.84,Rare,64,,,,
Dust Bowl (Showcase),Breaking News,1,FALSE,0.65,Rare,65,,,,
Mindbreak Trap (Textured Foil),Breaking News,1,TRUE,144.43,Mythic Rare,68,,,,
Overwhelming Forces (Textured Foil),Breaking News,1,TRUE,12.96,Mythic Rare,69,,,,
"Oko, Thief of Crowns (Textured Foil)",Breaking News,2,TRUE,52.49,Mythic Rare,77,,,,
