Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Akki Avalanchers,Champions of Kamigawa,1,FALSE,0.20,Common,151,bfef6acb-a11c-4a3f-9cfb-9394dece2675,151,chk,common
Akki Rockspeaker,Champions of Kamigawa,1,FALSE,0.20,Common,154,9c8b6685-2c74-4026-aef0-73ca7bc43306,154,chk,common
Ashen-Skin Zubera,Champions of Kamigawa,1,FALSE,0.25,Common,101,40cee88d-849d-4715-ad88-7cdb855a3088,101,chk,common
Battle-Mad Ronin,Champions of Kamigawa,1,FALSE,0.20,Common,156,a6e4394a-fa91-4cf9-99c1-dc0bc1011c5b,156,chk,common
Befoul,Champions of Kamigawa,1,FALSE,0.20,Common,102,2dfff5d3-1433-4a24-83e6-6361a446b974,102,chk,common
Befoul,Champions of Kamigawa,1,TRUE,0.56,Common,102,2dfff5d3-1433-4a24-83e6-6361a446b974,102,chk,common
Blessed Breath,Champions of Kamigawa,1,FALSE,0.24,Common,1,9e2d8650-b8c3-4e89-9aa2-424a98715c38,1,chk,common
Blood Rites,Champions of Kamigawa,1,FALSE,0.25,Uncommon,159,6af8cd97-28cb-4499-a197-687e8f31644a,159,chk,uncommon
Blood Speaker,Champions of Kamigawa,1,FALSE,1.00,Uncommon,103,f218bb94-d5a2-41f6-8bca-b689dcd09a43,103,chk,uncommon
Bloodthirsty Ogre,Champions of Kamigawa,1,FALSE,0.25,Uncommon,104,c557f035-f93b-41ce-b8de-dea79dcf15be,104,chk,uncommon
"Boseiju, Who Shelters All",Champions of Kamigawa,1,FALSE,10.83,Rare,273,0180d9a8-992c-4d55-8ac4-33a587786993,273,chk,rare
Brothers Yamazaki (Version 2),Champions of Kamigawa,1,FALSE,0.37,Uncommon,160,,,,
Brothers Yamazaki,Champions of Kamigawa,1,FALSE,0.30,Uncommon,160,acef8c94-469b-4a76-b507-25b51f2501ab,160a,chk,uncommon
