Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Aurochs Herd,Coldsnap,1,FALSE,0.20,Common,103,d757b3ad-b808-4506-934e-727e065f66c1,103,csp,common
Balduvian Frostwaker,Coldsnap,1,FALSE,0.25,Uncommon,28,18096cdb-0ba9-41e0-b597-c5ed819e7497,28,csp,uncommon
Blizzard Specter,Coldsnap,1,FALSE,0.33,Uncommon,126,d925746c-4bba-4d50-aeee-3a3bfd165a2e,126,csp,uncommon
Boreal Centaur,Coldsnap,1,FALSE,0.20,Common,104,05231fa1-47b8-49aa-9393-ec4d8384c41b,104,csp,common
Boreal Griffin,Coldsnap,1,FALSE,0.24,Common,2,36638e20-0a1d-4ea3-936c-2ea74add868a,2,csp,common
Bull Aurochs,Coldsnap,1,FALSE,0.20,Common,107,2d59bd4a-006b-4dd8-ab33-d931196f3a8a,107,csp,common
Chill to the Bone,Coldsnap,1,FALSE,0.24,Common,52,312505d7-362e-43cf-bd23-28c248a8b7e1,52,csp,common
Drelnoch,Coldsnap,1,FALSE,0.24,Common,32,954a1e9c-ed2f-4774-b2b7-166052a5c59a,32,csp,common
Flashfreeze,Coldsnap,1,FALSE,0.28,Uncommon,33,cefd9955-a195-4855-a00e-3809b96ca92b,33,csp,uncommon
Frost Raptor,Coldsnap,1,FALSE,0.25,Common,34,4ab2f81a-fcbe-44d1-8281-04dd78bb9ea3,34,csp,common
Frostweb Spider,Coldsnap,1,FALSE,0.25,Common,109,48574974-bdbb-40e8-916a-44c54b08b501,109,csp,common
Gelid Shackles,Coldsnap,1,FALSE,0.29,Common,6,d372bb70-2d2a-4c44-8f69-4abff8ba7c2a,6,csp,common
Goblin Rimerunner,Coldsnap,1,FALSE,0.23,Common,83,0254a437-5240-40ca-bf7b-d30b95942bf5,83,csp,common
Grim Harvest,Coldsnap,1,FALSE,0.24,Common,58,bdb1972f-2ef7-4fe2-8c8e-ab07f48a3176,58,csp,common
Icefall,Coldsnap,1,FALSE,0.25,Common,85,6cf90fc3-b08b-4261-a194-d6b06fdd59d8,85,csp,common
Jötun Grunt,Coldsnap,1,FALSE,0.33,Uncommon,8,5526c510-bd33-4fac-8941-f19bd0997557,8,csp,uncommon
Jötun Owl Keeper,Coldsnap,1,FALSE,0.25,Uncommon,9,1566c8a2-aaca-4ce0-a36b-620ea6f135cb,9,csp,uncommon
Kjeldoran Javelineer,Coldsnap,1,FALSE,0.23,Common,11,48b0776b-d1ed-4b0d-9684-99978e3e3b46,11,csp,common
Kjeldoran Outrider,Coldsnap,1,FALSE,0.22,Common,12,bd641b1d-dab8-415b-9655-09e033df761d,12,csp,common
Kjeldoran War Cry,Coldsnap,1,FALSE,0.20,Common,13,320b2b02-a3ff-4f68-93e6-8539d7caa005,13,csp,common
Krovikan Mist,Coldsnap,1,FALSE,0.25,Common,38,43e09469-205d-4a60-821c-ceb7ae2e01be,38,csp,common
