Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Absorb Vis,Conflux,1,FALSE,0.20,Common,40,5528886e-3198-48b1-a3b0-6d41ba87bfd6,40,con,common
Aerie Mystics,Conflux,1,FALSE,0.25,Uncommon,1,58e86a42-cc53-4731-819a-e76f203a742a,1,con,uncommon
Asha's Favor,Conflux,1,FALSE,0.28,Common,2,28b817f7-ae05-4d31-8a2c-29d8082b4132,2,con,common
Aven Squire,Conflux,1,FALSE,0.23,Common,3,60301dbd-40d1-4af8-8e2b-797febfa859f,3,con,common
Aven Trailblazer,Conflux,1,FALSE,0.19,Common,4,cb032cd3-96a4-4cef-bb89-0843f2ed8189,4,con,common
Beacon Behemoth,Conflux,1,FALSE,0.20,Common,78,0cc42e33-7489-4a32-bb30-adc80ec13521,78,con,common
Blood Tyrant,Conflux,1,FALSE,0.47,Rare,99,a235f619-6b44-4e60-ac16-0038b7531b77,99,con,rare
Bone Saw,Conflux,1,FALSE,0.24,Common,135,a3bf79d6-4b4a-4fdd-a831-36eff2523661,135,con,common
Brackwater Elemental,Conflux,1,FALSE,0.21,Common,21,e324d70f-a6ca-4003-8420-83035fd4cd00,21,con,common
Canyon Minotaur,Conflux,1,FALSE,0.20,Common,60,9b200790-43c7-42ae-9edf-89c8198a385b,60,con,common
Charnelhoard Wurm,Conflux,1,TRUE,0.46,Rare,100,abb7e1ec-572f-4e78-8f12-0a8034e9d0f6,100,con,rare
Controlled Instincts,Conflux,1,FALSE,0.24,Uncommon,23,b04e58e8-cb01-49b0-89b7-26536eb44e97,23,con,uncommon
Court Homunculus,Conflux,1,FALSE,0.20,Common,6,fd20150c-ae49-457d-9f64-b72160745ff9,6,con,common
Cylian Sunsinger,Conflux,1,FALSE,0.36,Rare,80,90665426-118e-4f0b-8222-1b516678a2f5,80,con,rare
Dark Temper,Conflux,1,TRUE,0.09,Common,61,e3209997-8cdc-40e9-9e95-92a0f33e7f8e,61,con,common
Darklit Gargoyle,Conflux,1,FALSE,0.20,Common,7,1e7162e5-8c56-457e-91eb-b8ae4d1b6adb,7,con,common
Dragonsoul Knight,Conflux,1,FALSE,0.25,Uncommon,62,14674d80-2571-4794-863e-247c2e2cfc3e,62,con,uncommon
Ember Weaver,Conflux,1,FALSE,0.20,Common,81,10effbe2-fd8e-44b6-a08c-3984a92254d9,81,con,common
Esper Cormorants,Conflux,1,FALSE,0.20,Common,105,2c5068ed-8477-4d8d-9e37-c72474208e2d,105,con,common
Exploding Borders,Conflux,1,FALSE,0.22,Common,106,f247aaaf-4d65-4dfc-bab2-3c1331762647,106,con,common
Faerie Mechanist,Conflux,1,FALSE,0.20,Common,27,d350ebd7-afcf-4d67-8173-b07cad3fa9bc,27,con,common
Fiery Fall,Conflux,1,FALSE,0.21,Common,63,687bb467-b447-4901-8a65-cd91fd3aa15d,63,con,common
Filigree Fracture,Conflux,1,FALSE,0.25,Uncommon,82,65075828-d685-4107-866e-75a53cbc6414,82,con,uncommon
Frontline Sage,Conflux,1,FALSE,0.22,Common,28,46acbabc-9d0a-4fba-9604-7d131c22cdeb,28,con,common
Gleam of Resistance,Conflux,1,FALSE,0.20,Common,8,5b9a8e0b-bee8-4b0d-b671-a5d8084d82ee,8,con,common
Gluttonous Slime,Conflux,1,FALSE,0.29,Uncommon,83,258c7201-02b0-4e16-9fa6-0a79631e7724,83,con,uncommon
Gluttonous Slime,Conflux,1,TRUE,0.62,Uncommon,83,258c7201-02b0-4e16-9fa6-0a79631e7724,83,con,uncommon
Goblin Outlander,Conflux,1,FALSE,0.20,Common,109,5e33683b-8bda-4bb9-beb4-fc0cd5ed79ae,109,con,common
Grixis Illusionist,Conflux,1,FALSE,0.20,Common,29,48352b88-857d-4386-83c6-0e047d11c15b,29,con,common
Grixis Slavedriver,Conflux,1,FALSE,0.24,Uncommon,46,85e4851f-35aa-47c3-94b2-cdc166f9036f,46,con,uncommon
Hellkite Hatchling,Conflux,1,FALSE,0.25,Uncommon,111,d09a3b69-1214-420d-984f-0b2a043a9dc2,111,con,uncommon
Ignite Disorder,Conflux,1,FALSE,0.25,Uncommon,66,e38419d9-e321-4642-aad4-99c5489f8fa8,66,con,uncommon
Infectious Horror,Conflux,1,FALSE,0.20,Common,47,bb460855-f09d-4460-9d3f-1bfcc7f3e626,47,con,common
Inkwell Leviathan,Conflux,1,FALSE,0.66,Rare,30,cb380a5a-a3f9-42fb-ac5c-f54afa3c1079,30,con,rare
Kaleidostone,Conflux,1,FALSE,0.23,Common,137,79826f7f-e46b-489d-8fcb-1712d36e8f60,137,con,common
Kranioceros,Conflux,1,FALSE,0.20,Common,67,52aece74-cc1f-4f32-ad1f-00733eb79007,67,con,common
Lapse of Certainty,Conflux,1,FALSE,0.60,Common,9,ec609036-dfbf-47de-9a3a-762aea4196d4,9,con,common
Magister Sphinx,Conflux,1,FALSE,0.60,Rare,116,cd2abff9-6927-42cc-8cf1-a0876d3a45d7,116,con,rare
Mana Cylix,Conflux,1,FALSE,0.23,Common,138,68e25c75-5e20-4990-9b7e-9d04c94fee9f,138,con,common
Manaforce Mace,Conflux,1,FALSE,0.25,Uncommon,139,ab60e11f-ea7c-4d87-bc82-9e7f4eaeef5a,139,con,uncommon
Maniacal Rage,Conflux,1,FALSE,0.24,Common,68,abd98218-8318-40e7-8f36-68acce5d23a1,68,con,common
Matca Rioters,Conflux,1,FALSE,0.20,Common,84,b32dcf7d-ac19-45c5-8c3a-1155bf25b216,84,con,common
Might of Alara,Conflux,1,FALSE,0.24,Common,85,9514c013-bc11-4cc5-af8c-f82fd4098bcf,85,con,common
Molten Frame,Conflux,1,FALSE,0.20,Common,69,58356504-e28e-456c-b1d3-e6232f4d78a6,69,con,common
Nacatl Hunt-Pride,Conflux,1,FALSE,0.25,Uncommon,13,49096592-5bd8-4db7-b38b-dcb5dea8c088,13,con,uncommon
Nacatl Outlander,Conflux,1,FALSE,0.21,Common,119,12b5b694-46c8-4cb0-ab6b-4bc67c04cc7f,119,con,common
Nacatl Savage,Conflux,1,TRUE,0.33,Common,86,ad602fba-6a73-4fd0-aff5-802c3be3100e,86,con,common
Paragon of the Amesha,Conflux,1,FALSE,0.25,Uncommon,14,d21c4772-fa03-4b71-a95e-1ad8466d25da,14,con,uncommon
Parasitic Strix,Conflux,1,FALSE,0.22,Common,32,a36cd0c3-1955-41b1-9a9c-b30b31a2f094,32,con,common
Pestilent Kathari,Conflux,1,FALSE,0.20,Common,50,dba00df7-2c8d-435a-86d1-6bd7b7413585,50,con,common
Quenchable Fire,Conflux,1,FALSE,0.21,Common,70,ee1c0ded-2a80-4ed4-b9fc-3a18bf5c3239,70,con,common
Rhox Bodyguard,Conflux,1,FALSE,0.20,Common,122,1e9f43c8-9df6-49df-b145-4a19bc55e8f4,122,con,common
Rhox Meditant,Conflux,1,FALSE,0.20,Common,16,b74f4f8d-2191-4743-aac6-cdcb4a68379c,16,con,common
Rotting Rats,Conflux,1,FALSE,0.90,Common,51,34dea310-8738-4fd9-b790-0361afe1e150,51,con,common
Sacellum Archers,Conflux,1,FALSE,0.24,Uncommon,89,160335df-8377-4f72-9d3f-4b1492bd23ea,89,con,uncommon
Salvage Slasher,Conflux,1,FALSE,0.20,Common,52,095b0fd1-7445-4dba-bb90-ddd5f5ee8573,52,con,common
Scarland Thrinax,Conflux,1,FALSE,0.25,Uncommon,123,e2a179b9-e962-49a4-ad92-8cd0291296c1,123,con,uncommon
Scepter of Dominance,Conflux,1,FALSE,0.60,Rare,17,888bc7ca-f9fa-4da4-b466-b9dc273d5319,17,con,rare
Scepter of Insight,Conflux,1,FALSE,0.35,Rare,33,8ac51021-e66c-4cd1-b54f-031b69d9699f,33,con,rare
Sedraxis Alchemist,Conflux,1,FALSE,0.22,Common,54,7fbbc5d7-86d0-4e09-b37c-e40eb88f3f33,54,con,common
Shambling Remains,Conflux,1,FALSE,0.25,Uncommon,124,183e0fd7-ed58-46e5-86ce-f17d8657417d,124,con,uncommon
Skyward Eye Prophets,Conflux,1,FALSE,0.25,Uncommon,125,c8125473-a296-4032-bacd-1c1b96819cf9,125,con,uncommon
Sludge Strider,Conflux,1,FALSE,0.25,Uncommon,126,7b8339ca-2971-4c5a-83ed-2682e5b3838d,126,con,uncommon
Suicidal Charge,Conflux,1,FALSE,0.20,Common,128,c9375d8c-b429-4349-bc4d-cb08799bdb58,128,con,common
Sylvan Bounty,Conflux,1,FALSE,0.20,Common,94,f717c573-e448-400e-a228-d438491f1754,94,con,common
Toxic Iguanar,Conflux,1,FALSE,0.20,Common,72,28fd2dce-b91f-441f-a3ea-af87cc925713,72,con,common
Traumatic Visions,Conflux,1,FALSE,0.20,Common,36,f1e8b03d-9265-4699-b626-5efa73292d43,36,con,common
Vagrant Plowbeasts,Conflux,1,FALSE,0.25,Uncommon,129,546b0a74-ebef-4596-b730-2190e20b2e66,129,con,uncommon
Valeron Outlander,Conflux,1,FALSE,0.20,Common,130,7e73cd46-0dec-441b-bb91-ec6defb3355e,130,con,common
Valiant Guard,Conflux,1,FALSE,0.20,Common,19,83ec1486-900b-4763-9b5b-390cb00aff02,19,con,common
Vectis Agents,Conflux,1,FALSE,0.20,Common,131,1e5ac1be-43e4-4535-8633-730f306c0d00,131,con,common
Vedalken Outlander,Conflux,1,FALSE,0.20,Common,132,d75a7314-39f2-4e32-a5b0-ac1761b6d238,132,con,common
Viashino Slaughtermaster,Conflux,1,FALSE,0.25,Uncommon,73,e60c30ee-616b-4b7d-97f9-cab1d6218e3a,73,con,uncommon
Voices from the Void,Conflux,1,FALSE,0.25,Uncommon,55,faf285d7-c414-48ab-ad1f-1f49e586c278,55,con,uncommon
Volcanic Fallout,Conflux,1,FALSE,0.29,Uncommon,74,65536d12-e75c-42b5-b592-a3ad4f550a71,74,con,uncommon
Wall of Reverence,Conflux,1,FALSE,1.65,Rare,20,2fa3fc82-fc5a-4f60-bcd6-363c2deb769d,20,con,rare
Wandering Goblins,Conflux,1,FALSE,0.20,Common,76,217281d9-a8f4-4e7a-987f-7ece0ae15eba,76,con,common
Wild Leotau,Conflux,1,FALSE,0.20,Common,97,a47bc387-ac1a-42b4-9427-fc944094b3a1,97,con,common
Worldly Counsel,Conflux,1,FALSE,0.20,Common,39,b454cbdc-b2ff-4b6a-acaf-b7cf52359f0b,39,con,common
Yoke of the Damned,Conflux,1,FALSE,0.20,Common,57,ab4625e1-4ba4-43cd-8147-059e4d50fd37,57,con,common
Zombie Outlander,Conflux,1,FALSE,0.20,Common,133,f27c2690-5121-452b-b82a-72acb8be6878,133,con,common
