Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Altar of the Lost,Dark Ascension,1,FALSE,0.20,Uncommon,144,774e5322-1b41-488d-94b1-7742fbd983d4,144,dka,uncommon
Archangel's Light,Dark Ascension,1,FALSE,0.72,Mythic Rare,1,f99837b3-b487-43bb-846b-7a0e8afb6eef,1,dka,mythic
Artful Dodge,Dark Ascension,1,FALSE,0.50,Common,27,de6ce6aa-e19f-4299-9807-e68920e63c73,27,dka,common
Avacyn's Collar,Dark Ascension,1,FALSE,0.20,Uncommon,145,972e9a78-204b-4012-b394-b40fd0edac4c,145,dka,uncommon
Bone to Ash,Dark Ascension,1,FALSE,0.15,Common,29,c4a75cef-9551-45e2-b1ff-80662c76ec20,29,dka,common
Briarpack Alpha,Dark Ascension,1,FALSE,0.20,Uncommon,108,a052e945-7535-4b0a-b580-cf76377633f3,108,dka,uncommon
Chalice of Life // Chalice of Death,Dark Ascension,1,FALSE,0.50,Uncommon,146a/146b,9d9c1c46-7aa7-464c-87b0-b29b9663daef,146,dka,uncommon
Chant of the Skifsang,Dark Ascension,1,FALSE,0.18,Common,31,6e604b2e-f257-465d-9342-6eb55b2334c5,31,dka,common
Crushing Vines,Dark Ascension,1,FALSE,0.15,Common,110,c59b3653-5a50-48f2-bcf1-ab305ef30902,110,dka,common
Curse of Bloodletting,Dark Ascension,1,FALSE,1.40,Rare,85,9dc4ac6f-0005-47f8-bee9-10429cc542e4,85,dka,rare
Curse of Exhaustion,Dark Ascension,1,FALSE,0.40,Uncommon,5,b737a959-e974-4b2a-8dca-a257da6084b0,5,dka,uncommon
Curse of Thirst,Dark Ascension,1,FALSE,0.29,Uncommon,57,a23ed5d1-44dc-4733-9e01-65fbc5dc02f2,57,dka,uncommon
Deadly Allure,Dark Ascension,1,FALSE,0.24,Uncommon,58,271bc29e-d33f-4c21-a3ee-b2c6b5c9015e,58,dka,uncommon
