Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Arcane Spyglass,Darksteel,1,FALSE,0.20,Common,93,d10d85c9-859a-4ff5-9a41-bf20622a3ff5,93,dst,common
Arcbound Bruiser,Darksteel,1,FALSE,0.24,Common,94,a4672ba6-cd82-4208-bc08-764986899999,94,dst,common
Arcbound Crusher,Darksteel,1,FALSE,1.99,Uncommon,95,748448bb-a1b2-4e84-b09a-5ecc4322f3c6,95,dst,uncommon
Arcbound Fiend,Darksteel,1,FALSE,0.54,Uncommon,96,408f42ae-fb83-4c8a-8638-38c719dec197,96,dst,uncommon
Arcbound Hybrid,Darksteel,1,FALSE,0.25,Common,97,a2f33f9d-dffd-4742-92c6-be7fe6463dca,97,dst,common
Arcbound Lancer,Darksteel,1,FALSE,0.33,Uncommon,98,7ff3241b-49ba-4243-b8fc-fef600836c8c,98,dst,uncommon
Arcbound Slith,Darksteel,1,TRUE,6.01,Uncommon,102,7c2f544a-4a42-43ee-9796-5bf6b396b245,102,dst,uncommon
Arcbound Stinger,Darksteel,1,FALSE,0.25,Common,103,c397ea22-93cd-498a-a493-9af841d09bf5,103,dst,common
Arcbound Worker,Darksteel,1,FALSE,0.25,Common,104,75561093-8892-4b51-813a-c933a06d8cbd,104,dst,common
Auriok Glaivemaster,Darksteel,1,FALSE,0.20,Common,1,97cce4d4-bff2-4dbb-bc12-1a726ad82dd4,1,dst,common
Auriok Siege Sled,Darksteel,1,FALSE,0.25,Uncommon,105,7d3808b1-41df-467a-9779-70bbdfbefa6f,105,dst,uncommon
Coretapper,Darksteel,1,FALSE,0.52,Uncommon,107,bbeaca72-aadd-4ef8-939a-36f320100e6e,107,dst,uncommon
Darksteel Brute,Darksteel,1,FALSE,0.25,Uncommon,108,06125c05-a345-481d-bc7f-bf234b946b5b,108,dst,uncommon
Darksteel Gargoyle,Darksteel,1,FALSE,0.30,Uncommon,111,4d4fc3bf-a2c1-4a5f-a05e-b0a814c358bd,111,dst,uncommon
Darksteel Pendant,Darksteel,1,FALSE,0.25,Common,113,9c1bac5f-c41a-49f0-94b0-79653b6fa67a,113,dst,common
Death-Mask Duplicant,Darksteel,1,FALSE,0.25,Uncommon,115,01e8d67d-3b49-4158-b2bf-8dd0607de51f,115,dst,uncommon
Dragon's Claw,Darksteel,1,FALSE,0.30,Uncommon,117,7a46bbcc-b287-47bb-b252-5dd3217f61a9,117,dst,uncommon
Drill-Skimmer,Darksteel,1,FALSE,0.20,Common,118,3b60dc6a-3b38-4dde-9dd4-aa49a53f29ae,118,dst,common
