Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Aquastrand Spider,Dissension,1,FALSE,0.20,Common,80,59bec131-e34e-473b-8792-1a8d53a03fa6,80,dis,common
Assault Zeppelid,Dissension,1,FALSE,0.19,Common,103,12bf6443-c941-418a-a766-05bba088a117,103,dis,common
Aurora Eidolon,Dissension,1,FALSE,0.20,Common,1,51bb3d0b-8630-4373-b863-bc831cf08098,1,dis,common
Azorius Æthermage,Dissension,1,FALSE,0.25,Uncommon,104,6b640ff8-8baa-4069-b5a9-8a4fb22a056e,104,dis,uncommon
Azorius Chancery,Dissension,1,FALSE,0.29,Common,170,e58365d2-e4db-444b-b1a9-795668ad3038,170,dis,common
Azorius First-Wing,Dissension,1,FALSE,0.18,Common,105,b675c1e6-add5-4959-a5be-f2571ccebcb4,105,dis,common
Azorius Guildmage,Dissension,1,TRUE,1.03,Uncommon,141,81f0f0ce-7c23-444c-9d9f-bfa9c8705fd5,141,dis,uncommon
Azorius Ploy,Dissension,1,FALSE,0.25,Uncommon,106,763f2c68-77a9-43e9-8f9b-2f318afcd686,106,dis,uncommon
Azorius Signet,Dissension,1,FALSE,0.50,Common,159,d91a527d-51f1-4fb1-9016-fc923fd43a6a,159,dis,common
Beacon Hawk,Dissension,1,FALSE,0.20,Common,3,be04ea4a-087e-4a6d-9973-0778a1ed2b7e,3,dis,common
Delirium Skeins,Dissension,1,FALSE,0.25,Common,41,3a480f1d-1959-4318-bf66-680266fcefd0,41,dis,common
Demon's Jester,Dissension,1,FALSE,0.20,Common,42,90a3f694-0cf3-4d25-8ab0-36a3f637ff9a,42,dis,common
Enemy of the Guildpact,Dissension,1,FALSE,0.19,Common,44,3dcc7d53-2510-4322-969c-1e138287562c,44,dis,common
Flame-Kin War Scout,Dissension,1,FALSE,0.25,Uncommon,61,c8092518-99ba-43b8-b5e9-8b46f1679696,61,dis,uncommon
Freewind Equenaut,Dissension,1,FALSE,0.20,Common,9,1b82b76d-697b-4312-aab5-bf741c207438,9,dis,common
Gobhobbler Rats,Dissension,1,FALSE,0.20,Common,111,ae123ca6-2b96-4bbe-82b2-0be294edff80,111,dis,common
Guardian of the Guildpact,Dissension,1,FALSE,0.84,Common,10,c8dd004b-01e4-4fe1-a164-9f2ea8d7d88e,10,dis,common
Haazda Exonerator,Dissension,1,FALSE,0.15,Common,11,87ca97f2-cf38-4d68-80a9-f4e890271e5c,11,dis,common
