Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Auramancer,Dominaria Remastered,1,TRUE,0.16,Common,1,ffe359e9-2ac8-48ae-9a43-e2f12fd4a785,1,dmr,common
Battle Screech,Dominaria Remastered,1,TRUE,0.11,Uncommon,2,3a21cf44-4d8e-4b24-a1fe-4222c857f0ef,2,dmr,uncommon
Cleric of the Forward Order,Dominaria Remastered,1,TRUE,0.07,Common,3,435b24ae-590f-4a79-8aeb-b006de6545ca,3,dmr,common
Congregate,Dominaria Remastered,1,TRUE,0.18,Uncommon,4,89396f5e-5bc3-4c8a-976b-2cb2946eb35d,4,dmr,uncommon
Divine Sacrament,Dominaria Remastered,1,TRUE,0.15,Rare,5,a77d4044-f2bd-470a-8468-a319e0a21d8d,5,dmr,rare
Enlightened Tutor,Dominaria Remastered,1,TRUE,20.54,Rare,6,1c9675fb-1a89-420f-aea8-50e0642f549c,6,dmr,rare
Glory,Dominaria Remastered,1,TRUE,0.28,Rare,7,6b01ebcf-8451-486e-84f6-8e6e1bb9d6e3,7,dmr,rare
Griffin Guide,Dominaria Remastered,1,TRUE,0.04,Uncommon,8,39b8cf5e-10f6-49aa-82eb-2f56cc29d393,8,dmr,uncommon
Icatian Javelineers,Dominaria Remastered,1,TRUE,0.01,Common,9,9ccce13a-77e6-4c74-9acc-d5e7c271872a,9,dmr,common
Improvised Armor,Dominaria Remastered,1,TRUE,0.03,Uncommon,10,d3c205ba-cafb-4afc-83fe-09fff38130d7,10,dmr,uncommon
Kjeldoran Gargoyle,Dominaria Remastered,1,TRUE,0.01,Common,11,6c090af7-3f75-4c14-9ab5-1f409dfd6de1,11,dmr,common
Lieutenant Kirtar,Dominaria Remastered,1,TRUE,0.14,Rare,12,475ba0c3-237e-4349-85e9-c31b016f609b,12,dmr,rare
Lyra Dawnbringer,Dominaria Remastered,1,TRUE,6.51,Mythic Rare,13,a2e0c8c5-ea0e-4347-b5cb-b7b1801a523b,13,dmr,mythic
Mesa Enchantress,Dominaria Remastered,1,FALSE,0.40,Uncommon,14,d9d9309f-497e-4807-a9cc-f41887a73ca0,14,dmr,uncommon
