Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Academy Drake,Dominaria,1,FALSE,0.15,Common,40,f8bacb12-da46-4b00-804f-9ff6bff452bc,40,dom,common
Academy Journeymage,Dominaria,1,FALSE,0.15,Common,41,a46a65e0-66a3-4896-8acc-0ad5e9927c40,41,dom,common
Adamant Will,Dominaria,1,FALSE,0.17,Common,2,3dfb8817-ca3c-44ba-92f2-e9d6294cd25d,2,dom,common
"Adeliz, the Cinder Wind",Dominaria,1,FALSE,0.25,Uncommon,190,b3c950e2-a43b-47f8-9ad6-1909ccc7acbf,190,dom,uncommon
Adventurous Impulse,Dominaria,1,FALSE,0.18,Common,153,f426c92c-6e71-49f0-9a91-0d529bf8c17d,153,dom,common
Aesthir Glider,Dominaria,1,TRUE,0.15,Common,209,25afd4a7-4253-4a4e-a105-e92f64460faa,209,dom,common
Amaranthine Wall,Dominaria,1,FALSE,0.25,Uncommon,210,73b49065-0a46-4813-a721-71d718e73d18,210,dom,uncommon
Ancient Animus,Dominaria,1,FALSE,0.20,Common,154,b6a3b223-b232-4da3-9431-ccb4688d5941,154,dom,common
Arbor Armament,Dominaria,1,FALSE,0.15,Common,155,bceb365c-5de6-47ae-b42d-7fbce7781f8e,155,dom,common
Arcane Flight,Dominaria,1,FALSE,0.18,Common,43,09fbb1c0-ba57-4a5a-8ad6-77fbc6aeeec9,43,dom,common
Artificer's Assistant,Dominaria,1,FALSE,0.22,Common,44,deadf867-b999-49b2-88d8-91da975a3cc5,44,dom,common
Aven Sentry,Dominaria,1,FALSE,0.15,Common,3,bf49e5bf-07fb-44b0-8e74-092088d9019f,3,dom,common
"Baird, Steward of Argive",Dominaria,1,FALSE,0.25,Uncommon,4,d1a9594e-edc9-42b2-ba8a-8298da9441fb,4,dom,uncommon
Baloth Gorger,Dominaria,1,FALSE,0.15,Common,156,504090bb-d183-4833-aea5-d4193b5c57a1,156,dom,common
Befuddle,Dominaria,1,FALSE,0.15,Common,45,88858285-23ac-4d7e-b8dd-a20982d95a2d,45,dom,common
Benalish Honor Guard,Dominaria,1,FALSE,0.15,Common,5,73a5ecf1-2063-4cb3-a4ab-a0601b28256a,5,dom,common
Blessed Light,Dominaria,1,FALSE,0.18,Common,7,4cf3eb65-0f52-49c1-8243-14ce05de9f3b,7,dom,common
Blessing of Belzenlok,Dominaria,1,FALSE,0.15,Common,77,d224940c-d87c-4317-9ca3-b704ef894a7b,77,dom,common
Blink of an Eye,Dominaria,1,FALSE,0.24,Common,46,ab830392-4d7e-4b45-93cf-35ed1e935228,46,dom,common
Bloodstone Goblin,Dominaria,1,FALSE,0.15,Common,115,31adbfd4-56aa-4137-aeba-8720233260be,115,dom,common
Bloodtallow Candle,Dominaria,1,FALSE,0.16,Common,212,5f8125b6-911e-4663-962a-d741984c927d,212,dom,common
Board the Weatherlight,Dominaria,1,FALSE,0.20,Uncommon,8,a11d10fa-d42d-4867-9e2f-fc8de582d5e7,8,dom,uncommon
Broken Bond,Dominaria,1,FALSE,0.39,Common,157,b4dcb59f-2a47-4461-9831-204ad15696b5,157,dom,common
Cabal Evangel,Dominaria,1,FALSE,0.15,Common,78,d218d2a2-bb5d-4ea8-a131-341c574410b2,78,dom,common
Cabal Paladin,Dominaria,1,FALSE,0.15,Common,79,2cff2cb9-f4e6-4fee-94ef-ad11e24525c1,79,dom,common
Caligo Skin-Witch,Dominaria,1,FALSE,0.15,Common,80,2e23ee25-2005-4e81-a807-f52c0dbfb192,80,dom,common
Call the Cavalry,Dominaria,1,FALSE,0.18,Common,9,7978a719-b159-4155-88d9-9c0b15183037,9,dom,common
Cast Down,Dominaria,1,FALSE,0.30,Uncommon,81,116ce944-6871-4f51-a889-d9c4a5d7cff2,81,dom,uncommon
Chainer's Torment,Dominaria,1,FALSE,0.20,Uncommon,82,f42beafb-2fba-482c-a86a-7d668fa7cb4b,82,dom,uncommon
Charge,Dominaria,1,FALSE,0.15,Common,10,000eded9-854c-408a-aadf-c26209e27432,10,dom,common
Cloudreader Sphinx,Dominaria,1,FALSE,0.15,Common,47,6c85a696-fa1a-4e05-b0aa-79b3381e849a,47,dom,common
Cold-Water Snapper,Dominaria,1,FALSE,0.15,Common,48,cf339549-4325-40c6-adde-0cd31bb738e0,48,dom,common
Corrosive Ooze,Dominaria,1,FALSE,0.18,Common,158,d13deb9c-5985-4355-8716-ee1c7b54b8e2,158,dom,common
Damping Sphere,Dominaria,1,FALSE,0.90,Uncommon,213,a5c7d16b-8f4e-42b9-be24-3cb091932d7c,213,dom,uncommon
"Danitha Capashen, Paragon",Dominaria,1,FALSE,0.38,Uncommon,12,b2a2b53c-0bf2-4d3d-91c2-57a484ae4f6b,12,dom,uncommon
Daring Archaeologist,Dominaria,1,TRUE,0.22,Rare,13,306ebfe1-428d-4f38-950e-b72a44262c25,13,dom,rare
Dark Bargain,Dominaria,1,FALSE,0.15,Common,83,71cbedc6-482e-42de-b310-22d3a955ad7e,83,dom,common
Dauntless Bodyguard,Dominaria,1,FALSE,0.27,Uncommon,14,a3f82012-5c33-47bc-a3c8-56ae2eea1fb9,14,dom,uncommon
D'Avenant Trapper,Dominaria,1,FALSE,0.16,Common,11,a5881ab3-566b-4999-997e-cd5ecb84282b,11,dom,common
Deep Freeze,Dominaria,1,FALSE,0.16,Common,50,51765d87-e842-4d84-aaf0-998737fe754c,50,dom,common
Demonic Vigor,Dominaria,1,FALSE,0.18,Common,85,09950456-09d6-4675-9995-0dc540ddb6e4,85,dom,common
Demonlord Belzenlok,Dominaria,1,FALSE,0.52,Mythic Rare,86,ffb4dbe8-15fa-467f-9366-66382b192113,86,dom,mythic
Diligent Excavator,Dominaria,1,FALSE,0.20,Uncommon,51,65212970-770e-4110-aa86-c89128688867,51,dom,uncommon
Divest,Dominaria,1,FALSE,0.20,Common,87,c6619810-7933-4844-8556-2a575ed7f18a,87,dom,common
Divination,Dominaria,1,FALSE,0.15,Common,52,c7f9daf0-dbfd-45b2-be35-9c2de9d1a56e,52,dom,common
