Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Azorius Cluestone,Dragon's Maze,1,FALSE,0.20,Common,136,09eeb301-bc28-4515-ad69-0b1b5164a5bc,136,dgm,common
Azorius Guildgate,Dragon's Maze,1,FALSE,0.20,Common,146,65bbe27d-c92a-4c65-a997-b21536d7667e,146,dgm,common
Blood Scrivener,Dragon's Maze,1,FALSE,0.38,Rare,22,9ea8179a-d3c9-4cdc-a5b5-68cc73279050,22,dgm,rare
Boros Mastiff,Dragon's Maze,1,FALSE,0.15,Common,1,27a3bfb6-3843-4bda-bbcb-905e4b351dea,1,dgm,common
Bred for the Hunt,Dragon's Maze,1,FALSE,0.29,Uncommon,59,4258a536-2275-45e8-8833-e921ca15c5a7,59,dgm,uncommon
Bronzebeak Moa,Dragon's Maze,1,FALSE,0.20,Uncommon,60,291c0ebc-d489-42c7-8d8a-9216c333412f,60,dgm,uncommon
Carnage Gladiator,Dragon's Maze,1,FALSE,0.20,Uncommon,61,20bde6c1-917c-4860-a8d0-a9d7c461f8d2,61,dgm,uncommon
Deputy of Acquittals,Dragon's Maze,1,FALSE,0.15,Common,65,4b555888-21b1-4c45-966d-d98f32460d4e,65,dgm,common
Gaze of Granite,Dragon's Maze,1,FALSE,0.40,Rare,72,96c9ac10-d114-4aa5-87ac-f1069cde8e40,72,dgm,rare
Gruul Cluestone,Dragon's Maze,2,FALSE,0.19,Common,140,bc47d1fe-8ab2-42f6-bcab-4bc2084ceba7,140,dgm,common
Jelenn Sphinx,Dragon's Maze,1,FALSE,0.19,Uncommon,77,533c89eb-d7c6-4945-9689-2f2c0e428b84,77,dgm,uncommon
Korozda Gorgon,Dragon's Maze,1,FALSE,0.20,Uncommon,78,7006e5b9-d6a3-43ce-904b-b2ac0fea67e5,78,dgm,uncommon
Morgue Burst,Dragon's Maze,1,FALSE,0.15,Common,86,7b3c2909-87ab-4027-9b56-58a2abae3fa3,86,dgm,common
Nivix Cyclops,Dragon's Maze,1,FALSE,0.19,Common,87,5d7a0e26-8cd4-4f53-8922-93ca28b1879b,87,dgm,common
Pilfered Plans,Dragon's Maze,1,FALSE,0.18,Common,90,3475fcc6-ee53-48da-89d2-80685a584e6a,90,dgm,common
Rakdos Cluestone,Dragon's Maze,1,FALSE,0.20,Common,143,9ef43817-1813-4608-8e3d-3c14321ab736,143,dgm,common
Renegade Krasis,Dragon's Maze,1,FALSE,0.44,Rare,47,23b68921-0c34-4d92-83c3-21542f62c7f6,47,dgm,rare
Scab-Clan Giant,Dragon's Maze,1,FALSE,0.19,Uncommon,101,a8e360ae-4c78-47a9-81d4-1849cfa518b7,101,dgm,uncommon
Selesnya Guildgate,Dragon's Maze,1,FALSE,0.21,Common,155,90198725-0cd3-4650-9575-c22674aa4185,155,dgm,common
Showstopper,Dragon's Maze,1,FALSE,0.20,Uncommon,102,2fd1f68b-3f16-484e-95c9-5cfa8da218c9,102,dgm,uncommon
Simic Cluestone,Dragon's Maze,1,FALSE,0.16,Common,145,e3c47552-afed-463d-bd24-13eb1cd724fc,145,dgm,common
Skylasher,Dragon's Maze,1,FALSE,0.46,Rare,49,4f4c2069-deb1-4e56-8069-170c4f495944,49,dgm,rare
Species Gorger,Dragon's Maze,1,FALSE,0.25,Uncommon,105,e0087a98-55cf-4c8b-a180-fb0d9c336eb2,105,dgm,uncommon
Sunspire Gatekeepers,Dragon's Maze,1,FALSE,0.15,Common,9,0a3bc6b9-475b-4257-a3bc-1a0b70d45f79,9,dgm,common
"Teysa, Envoy of Ghosts",Dragon's Maze,1,FALSE,0.50,Rare,108,cbd8183c-6967-4332-b822-02b82c14ef2d,108,dgm,rare
Trostani's Summoner,Dragon's Maze,1,FALSE,0.20,Uncommon,110,1921fa4e-2256-4ef1-b2fe-874f9fbbcdf3,110,dgm,uncommon
Uncovered Clues,Dragon's Maze,1,FALSE,0.15,Common,19,9dd24556-994f-4480-835e-11d4443f0700,19,dgm,common
Viashino Firstblade,Dragon's Maze,1,FALSE,0.15,Common,113,1cb0c21c-bdf1-478a-9ad8-6c6bda6ffb0f,113,dgm,common
Vorel of the Hull Clade,Dragon's Maze,1,FALSE,0.50,Rare,115,db0665d4-d974-4d5e-ba29-7bf40cbbe29c,115,dgm,rare
