Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Reluctant Role Model,Duskmourn: House of Horror,1,TRUE,0.35,Rare,26,4dde86d6-34a0-4b3b-a46a-d9941501d08c,26,dsk,rare
Leyline of Transformation,Duskmourn: House of Horror,1,TRUE,0.39,Rare,63,4bd941ca-f3d2-44c1-8df3-851362f6b848,63,dsk,rare
Marina Vendrell's Grimoire,Duskmourn: House of Horror,1,TRUE,0.23,Rare,64,1ab1aef7-4171-4869-8eb5-fe42e3ca9e45,64,dsk,rare
Doomsday Excruciator,Duskmourn: House of Horror,1,TRUE,0.80,Rare,94,542c89b6-48c6-4fcb-8a4c-b5ed2fa1d384,94,dsk,rare
Meathook Massacre II,Duskmourn: House of Horror,1,TRUE,4.27,Mythic Rare,108,3db59d06-a226-42b2-8f01-6b63a6eea83f,108,dsk,mythic
Overlord of the Balemurk,Duskmourn: House of Horror,1,TRUE,11.33,Mythic Rare,113,9b911653-7b96-4cf3-a907-13c5c53a14f7,113,dsk,mythic
Cursed Recording,Duskmourn: House of Horror,1,TRUE,0.16,Rare,131,d13a247c-c941-488a-b13b-bffb1f1f368a,131,dsk,rare
Razorkin Needlehead,Duskmourn: House of Horror,1,TRUE,4.29,Rare,153,bc73b963-23c0-46d2-853a-34a8b463994e,153,dsk,rare
Peer Past the Veil,Duskmourn: House of Horror,1,TRUE,0.17,Rare,226,874eadb6-602e-47dc-8094-82e37ac89c94,226,dsk,rare
The Swarmweaver,Duskmourn: House of Horror,1,TRUE,0.30,Rare,236,dcf3b17b-f2f6-4702-864d-8c96100b0563,236,dsk,rare
"Zimone, All-Questioning",Duskmourn: House of Horror,1,TRUE,0.17,Rare,241,7722f4f7-fe38-4107-a715-7b27b6a4e341,241,dsk,rare
Dissection Tools,Duskmourn: House of Horror,1,TRUE,0.27,Rare,245,048bb2c6-91bd-4d6a-a070-c73d8277c264,245,dsk,rare
Ghost Vacuum,Duskmourn: House of Horror,1,TRUE,6.34,Rare,248,8ac39c01-127f-4471-bc74-11a90c48e306,248,dsk,rare
Gloomlake Verge,Duskmourn: House of Horror,1,TRUE,11.28,Rare,260,83f510b7-4cbd-4883-9c26-c8824bc668ac,260,dsk,rare
Thornspire Verge,Duskmourn: House of Horror,1,TRUE,6.01,Rare,270,7e1cdc03-6faa-4138-9a52-caafbe34fb59,270,dsk,rare
Mountain (275),Duskmourn: House of Horror,1,TRUE,0.28,Basic Land,275,,,,
Forest (276),Duskmourn: House of Horror,1,TRUE,0.36,Basic Land,276,,,,
