Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Plains (278),Duskmourn Variants,1,TRUE,0.15,Basic Land,278,,,,
Island (280),Duskmourn Variants,1,TRUE,0.15,Basic Land,280,,,,
Swamp (281),Duskmourn Variants,1,TRUE,0.15,Basic Land,281,,,,
Grand Entryway // Elegant Rotunda,Duskmourn Variants,1,TRUE,0.04,Common,287,ef8a8ba7-f955-425d-9a16-816fc48a2a83,15,dsk,common
Optimistic Scavenger,Duskmourn Variants,1,TRUE,0.23,Uncommon,288,9c72fc6f-6a96-420d-812d-b5cf0f57cc7f,21,dsk,uncommon
Reluctant Role Model,Duskmourn Variants,1,TRUE,0.26,Rare,289,4dde86d6-34a0-4b3b-a46a-d9941501d08c,26,dsk,rare
Entity Tracker,Duskmourn Variants,1,TRUE,1.12,Rare,290,ae54d697-6d06-4af1-a617-8a47a6ab9c01,53,dsk,rare
"Stay Hidden, Stay Silent",Duskmourn Variants,1,TRUE,0.03,Uncommon,291,b661ffe7-4f58-43fe-a1f1-dd7a6d4d28a7,74,dsk,uncommon
Come Back Wrong,Duskmourn Variants,1,TRUE,0.57,Rare,292,72ee3b45-aa4e-4c5b-a9e6-608bfbd93f8b,86,dsk,rare
Meathook Massacre II,Duskmourn Variants,1,TRUE,3.62,Mythic Rare,293,3db59d06-a226-42b2-8f01-6b63a6eea83f,108,dsk,mythic
Unstoppable Slasher,Duskmourn Variants,1,TRUE,5.18,Rare,294,c78da035-6b5b-4136-9ab6-f622b64fdc54,119,dsk,rare
Clockwork Percussionist,Duskmourn Variants,1,TRUE,0.11,Common,295,10986e5a-9fc6-41e2-8352-289328245171,130,dsk,common
Cursed Recording,Duskmourn Variants,1,TRUE,0.12,Rare,296,d13a247c-c941-488a-b13b-bffb1f1f368a,131,dsk,rare
"Norin, Swift Survivalist",Duskmourn Variants,1,TRUE,0.11,Uncommon,297,49f0fdf4-3881-4327-924f-2c1b67ccda93,145,dsk,uncommon
"Kona, Rescue Beastie",Duskmourn Variants,1,TRUE,2.22,Rare,299,6f035294-2787-4719-8520-227bf03e84e7,187,dsk,rare
The Swarmweaver,Duskmourn Variants,1,TRUE,0.31,Rare,301,dcf3b17b-f2f6-4702-864d-8c96100b0563,236,dsk,rare
Ghostly Dancers (Showcase),Duskmourn Variants,1,TRUE,0.59,Rare,302,,,,
Reluctant Role Model (Showcase),Duskmourn Variants,1,FALSE,0.45,Rare,303,,,,
Split Up (Showcase),Duskmourn Variants,1,TRUE,2.39,Rare,304,,,,
Unidentified Hovership (Showcase),Duskmourn Variants,1,TRUE,0.64,Rare,305,,,,
Unwanted Remake (Showcase),Duskmourn Variants,1,TRUE,0.19,Uncommon,306,,,,
Entity Tracker (Showcase),Duskmourn Variants,1,TRUE,1.65,Rare,307,,,,
Marina Vendrell's Grimoire (Showcase),Duskmourn Variants,1,TRUE,0.27,Rare,308,,,,
Come Back Wrong (Showcase),Duskmourn Variants,1,TRUE,0.90,Rare,309,,,,
Demonic Counsel (Showcase),Duskmourn Variants,1,TRUE,2.20,Rare,310,,,,
Meathook Massacre II (Showcase),Duskmourn Variants,1,TRUE,4.57,Mythic Rare,311,,,,
Unstoppable Slasher (Showcase),Duskmourn Variants,1,TRUE,6.57,Rare,312,,,,
Withering Torment (Showcase),Duskmourn Variants,1,TRUE,2.69,Uncommon,313,,,,
