Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Abandon Reason,Eldritch Moon,1,FALSE,0.20,Uncommon,115,18c0b3b3-bb62-42c5-9869-386af0540a9b,115,emn,uncommon
Abundant Maw,Eldritch Moon,1,FALSE,0.20,Uncommon,1,8a4e7ef7-7958-4d7c-b319-4d3db7955002,1,emn,uncommon
Advanced Stitchwing,Eldritch Moon,1,FALSE,0.20,Uncommon,49,fbdb7f1c-6139-4e68-8706-01f373548a4f,49,emn,uncommon
Alchemist's Greeting,Eldritch Moon,1,FALSE,0.16,Common,116,8f33aaa1-cbaa-40a9-889e-3eca26b3a549,116,emn,common
Backwoods Survivalists,Eldritch Moon,1,FALSE,0.15,Common,150,4a3a65be-0ca1-437f-aafe-d96e8fe428ad,150,emn,common
Blessed Alliance,Eldritch Moon,1,FALSE,0.25,Uncommon,13,b5805eab-9a32-4c0c-9015-7bdb74ad7634,13,emn,uncommon
Blood Mist,Eldritch Moon,1,FALSE,0.28,Uncommon,119,a6982bde-1fa3-48fa-803d-a45d6acbc2fe,119,emn,uncommon
Bloodbriar,Eldritch Moon,1,FALSE,0.18,Common,151,d9f1d82e-876f-48a6-8153-f02a44cf90a8,151,emn,common
Bold Impaler,Eldritch Moon,1,FALSE,0.15,Common,120,45bb2e6d-2ead-4ce3-8e5e-fc6900435583,120,emn,common
Boon of Emrakul,Eldritch Moon,1,FALSE,0.15,Common,81,24bb97c6-d2ff-459f-986e-73e30534d865,81,emn,common
Borrowed Grace,Eldritch Moon,1,FALSE,0.18,Common,14,f0067567-3434-4c12-9d4d-04ffc98d012c,14,emn,common
Borrowed Hostility,Eldritch Moon,1,FALSE,0.17,Common,121,dd91a194-6043-4c2d-afc8-427c38996ef4,121,emn,common
Borrowed Malevolence,Eldritch Moon,1,FALSE,0.15,Common,82,a71f123e-aad9-4f3e-9f43-1d1be359affb,82,emn,common
Brazen Wolves,Eldritch Moon,1,FALSE,0.18,Common,122,ab8e2ece-3c66-4f34-9042-fc02639c6a79,122,emn,common
Cathar's Shield,Eldritch Moon,1,FALSE,0.25,Common,192,61c18ffa-ffff-4dc4-9db0-d5f183c35e17,192,emn,common
Cemetery Recruitment,Eldritch Moon,1,FALSE,0.20,Common,83,3a23adea-9f4a-409c-a37d-323eee781273,83,emn,common
Certain Death,Eldritch Moon,1,FALSE,0.15,Common,84,c67784b3-eb55-452e-b965-f63220b88896,84,emn,common
Chilling Grasp,Eldritch Moon,1,FALSE,0.19,Uncommon,50,60d85d58-eae3-4f9d-8f54-440fa6ded95b,50,emn,uncommon
Choking Restraints,Eldritch Moon,1,FALSE,0.15,Common,16,4549735d-df63-47db-ad53-0497499fe387,16,emn,common
Clear Shot,Eldritch Moon,1,FALSE,0.20,Uncommon,152,12fa1d34-7e32-45b7-9f6f-68f152f75d1a,152,emn,uncommon
Coax from the Blind Eternities,Eldritch Moon,1,FALSE,0.30,Rare,51,740ad768-2be0-4e5a-9d60-6c7ec4bdc107,51,emn,rare
Collective Defiance,Eldritch Moon,1,FALSE,0.50,Rare,123,8960883f-3813-412b-9a5b-f8cf8d566fac,123,emn,rare
Conduit of Storms // Conduit of Emrakul,Eldritch Moon,1,FALSE,0.24,Uncommon,124a/124b,7f95145a-41a1-478e-bf8a-ea8838d6f9b1,124,emn,uncommon
Contingency Plan,Eldritch Moon,1,FALSE,0.20,Common,52,9edb76bd-db4b-4279-8eaa-dfdf5952eafc,52,emn,common
Convolute,Eldritch Moon,1,FALSE,0.15,Common,53,e17cf756-ec41-4934-8906-4276277c1470,53,emn,common
Courageous Outrider,Eldritch Moon,1,FALSE,0.20,Uncommon,18,4123da54-9947-462e-9862-3eecc459a75b,18,emn,uncommon
Crop Sigil,Eldritch Moon,1,FALSE,0.25,Uncommon,153,861e8c51-0cda-497a-b289-a9f678f0e328,153,emn,uncommon
Crossroads Consecrator,Eldritch Moon,1,FALSE,0.15,Common,154,b1a83854-dc45-4c26-aca0-67f372236383,154,emn,common
Cryptolith Fragment // Aurora of Emrakul,Eldritch Moon,1,FALSE,0.67,Uncommon,193a/193b,078b2103-15ce-456d-b092-352fa7222935,193,emn,uncommon
Cultist's Staff,Eldritch Moon,1,FALSE,0.18,Common,194,8da8c523-44e8-43e7-8431-28dbed1015ac,194,emn,common
Dawn Gryff,Eldritch Moon,1,FALSE,0.15,Common,19,42d30894-82b9-4af8-b0bb-48a78acbc4bd,19,emn,common
Decimator of the Provinces,Eldritch Moon,1,FALSE,2.00,Mythic Rare,2,587cb384-db24-4e3d-a338-230e50305d31,2,emn,mythic
Deploy the Gatewatch,Eldritch Moon,1,FALSE,0.60,Mythic Rare,20,a3aa54d9-9f01-46e4-b4bd-f8bc57b44ac1,20,emn,mythic
Deranged Whelp,Eldritch Moon,1,FALSE,0.20,Uncommon,125,fd06f9eb-112e-458b-83c8-3761df6d60ff,125,emn,uncommon
Desperate Sentry,Eldritch Moon,1,FALSE,0.17,Common,21,4135c619-fcff-4339-b778-31dd83e68fcb,21,emn,common
