Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Greater Auramancy (Borderless),Enchanting Tales Variants,1,TRUE,34.17,Mythic Rare,64,,,,
Smothering Tithe (Borderless),Enchanting Tales Variants,1,TRUE,146.99,Mythic Rare,67,,,,
As Foretold (Borderless),Enchanting Tales Variants,1,TRUE,4.85,Rare,68,,,,
Omniscience (Borderless),Enchanting Tales Variants,1,FALSE,26.40,Mythic Rare,70,,,,
Rhystic Study (Borderless),Enchanting Tales Variants,1,FALSE,89.97,Mythic Rare,71,,,,
Necropotence (Borderless),Enchanting Tales Variants,1,FALSE,12.84,Mythic Rare,74,,,,
Polluted Bonds (Borderless),Enchanting Tales Variants,1,TRUE,7.47,Rare,75,,,,
Aggravated Assault (Borderless),Enchanting Tales Variants,1,FALSE,7.63,Rare,76,,,,
Repercussion (Borderless),Enchanting Tales Variants,1,FALSE,2.51,Mythic Rare,78,,,,
Sneak Attack (Borderless),Enchanting Tales Variants,1,TRUE,13.58,Mythic Rare,79,,,,
Doubling Season (Borderless),Enchanting Tales Variants,1,FALSE,43.72,Mythic Rare,81,,,,
Nature's Will (Borderless),Enchanting Tales Variants,1,FALSE,2.32,Rare,82,,,,
Kindred Discovery (Confetti Foil),Enchanting Tales Variants,1,TRUE,53.51,Mythic Rare,89,,,,
Rhystic Study (Confetti Foil),Enchanting Tales Variants,1,TRUE,729.69,Mythic Rare,91,,,,
Necropotence (Confetti Foil),Enchanting Tales Variants,1,TRUE,120.74,Mythic Rare,94,,,,
Doubling Season (Confetti Foil),Enchanting Tales Variants,1,TRUE,175.57,Mythic Rare,101,,,,
