Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Ballynock Trapper,Eventide,1,FALSE,0.25,Common,2,6b10d37b-2cbc-4061-b25a-ad8ff3944ad3,2,eve,common
Battlegate Mimic,Eventide,1,FALSE,0.22,Common,133,dc2a0bc8-d736-45e6-ac20-63c5ca69a8d5,133,eve,common
Belligerent Hatchling,Eventide,1,FALSE,0.28,Uncommon,134,72cdf36c-d8a2-4629-8f2a-d4ac86ac9320,134,eve,uncommon
Desecrator Hag,Eventide,1,FALSE,0.24,Common,119,74d2e092-c805-447c-b784-1896b69524e0,119,eve,common
Dominus of Fealty,Eventide,1,FALSE,0.99,Rare,102,4ff447e1-bbcc-4ada-87c0-04b6b144c2cd,102,eve,rare
Doomgape,Eventide,1,FALSE,0.50,Rare,120,173fd1c6-ffd9-424f-ad65-90b193edbe00,120,eve,rare
Dream Thief,Eventide,1,FALSE,0.25,Common,20,811026ed-1bae-4464-bdfe-dcec76259152,20,eve,common
Duergar Assailant,Eventide,1,FALSE,0.24,Common,136,a6555cbb-97fc-4258-9b11-096c3eaec833,136,eve,common
Duergar Cave-Guard,Eventide,1,FALSE,0.25,Uncommon,51,f48fda3d-5e6f-4f32-8fca-030521f6df98,51,eve,uncommon
Duergar Mine-Captain,Eventide,1,FALSE,0.25,Uncommon,138,e97983b9-6c93-41ce-8deb-ac08811a0834,138,eve,uncommon
Fire at Will,Eventide,1,FALSE,0.20,Common,140,53617fbc-a6e9-4f06-8c4b-4699325cdcac,140,eve,common
Gilder Bairn,Eventide,1,FALSE,0.90,Uncommon,152,0ca006ff-3a95-4821-bdb2-2d80e64b4abf,152,eve,uncommon
Grazing Kelpie,Eventide,1,FALSE,0.24,Common,153,68ccef2d-9a1f-4011-89e1-911bcc109b9d,153,eve,common
Harvest Gwyllion,Eventide,1,FALSE,0.23,Common,90,1a0491d1-343d-453e-aa52-a3d3daa1478e,90,eve,common
Hearthfire Hobgoblin,Eventide,1,FALSE,0.25,Uncommon,141,9c5fc104-7189-480c-bfe1-c5da07df48f4,141,eve,uncommon
Heartlash Cinder,Eventide,1,FALSE,0.24,Common,56,f1c38e02-5df3-4655-a18f-a7be2c352b7b,56,eve,common
