Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Æther Tide,Exodus,1,FALSE,0.22,Common,27,9aab7526-5825-4f31-92ff-be25ab5af2f5,27,exo,common
Allay,Exodus,1,FALSE,0.25,Common,1,f20a1c6d-ec6a-4bd6-b3b2-b997f71d41fc,1,exo,common
Angelic Blessing,Exodus,1,FALSE,0.22,Common,2,ed3c8bae-953f-4bb4-a78d-02e4e354e53c,2,exo,common
Bequeathal,Exodus,1,FALSE,0.50,Common,106,20aae577-9683-4d9b-bfd5-52702b38d3a7,106,exo,common
Convalescence,Exodus,1,FALSE,0.45,Rare,5,0fd49a61-42ba-400a-8ca9-9f6058bf85ca,5,exo,rare
Cunning,Exodus,1,FALSE,0.22,Common,28,52f36bb8-5a97-4596-8ca3-707665770c76,28,exo,common
Curiosity,Exodus,1,FALSE,0.63,Uncommon,29,fee17ef5-7e1a-42ae-b680-df81204df7dd,29,exo,uncommon
Dauthi Warlord,Exodus,1,FALSE,0.43,Uncommon,59,af3ca689-482a-457d-9744-0bd79981f361,59,exo,uncommon
Equilibrium,Exodus,1,FALSE,3.33,Rare,32,460b2ec6-0180-4214-acca-c9eed778ef50,32,exo,rare
Flowstone Flood,Exodus,1,FALSE,0.31,Uncommon,83,8bcda003-6fac-4879-87e6-ec0c115630ba,83,exo,uncommon
Forbid,Exodus,1,FALSE,1.18,Uncommon,35,29df5ef7-d679-4543-bdb7-3984155c87e0,35,exo,uncommon
Furnace Brood,Exodus,1,FALSE,0.20,Common,84,0a79c6d9-96f1-434a-89b8-d773aa77ac5e,84,exo,common
High Ground,Exodus,1,FALSE,0.26,Uncommon,7,1c5239dc-f51b-48c0-91a2-ed6551aaff32,7,exo,uncommon
Jackalope Herd,Exodus,1,FALSE,0.25,Common,111,cb80105c-d2c0-4f8c-9302-5e6152a60f54,111,exo,common
Keeper of the Dead,Exodus,1,FALSE,0.35,Uncommon,65,6b641171-35bc-4945-ada9-3ea28ea9fabf,65,exo,uncommon
Keeper of the Light,Exodus,1,FALSE,0.27,Uncommon,8,06eda847-c599-4163-b48b-aa76b153ed86,8,exo,uncommon
Keeper of the Mind,Exodus,1,FALSE,0.28,Uncommon,36,7bc232d4-ab4f-4d88-a9ec-72403d05ec04,36,exo,uncommon
Kor Chant,Exodus,1,FALSE,0.22,Common,9,8dc61cc3-0312-44f4-9c23-4fc37c3fbbd5,9,exo,common
Mana Breach,Exodus,1,FALSE,1.18,Uncommon,38,3a97f019-5ad9-4520-ba79-2c9b259748d9,38,exo,uncommon
Maniacal Rage,Exodus,1,FALSE,0.22,Common,87,f3aa840f-6a70-4674-acb7-ded0ea4397d8,87,exo,common
Merfolk Looter,Exodus,1,FALSE,0.25,Common,39,0fbb1c41-388f-4ff2-af37-ad64a0f4618e,39,exo,common
Mindless Automaton,Exodus,1,FALSE,0.50,Rare,135,6ddfc5ab-b11b-4ad7-ab46-8ee60d938a5b,135,exo,rare
Monstrous Hound,Exodus,1,FALSE,0.39,Rare,89,d5066b1b-3910-4434-83d6-030851f20bcf,89,exo,rare
