Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Armor Thrull (Version 2),Fallen Empires,1,FALSE,0.25,Common,,,,,
Armor Thrull,Fallen Empires,1,FALSE,0.25,Common,,a98384d1-8e7d-4c41-9f23-47bc2ae2ad6a,33a,fem,common
Armor Thrull (Version 3),Fallen Empires,1,FALSE,0.22,Common,,,,,
Armor Thrull (Version 4),Fallen Empires,1,FALSE,0.24,Common,,,,,
Balm of Restoration,Fallen Empires,1,FALSE,0.70,Rare,,7f95de4a-7fae-42bc-9660-39ea7685ca02,82,fem,rare
Basal Thrull (Version 2),Fallen Empires,1,FALSE,0.25,Common,,,,,
Basal Thrull (Version 4),Fallen Empires,1,FALSE,0.25,Common,,,,,
Basal Thrull,Fallen Empires,1,FALSE,0.30,Common,,0c1d5d13-0160-48cb-8fac-dd86102569b4,34a,fem,common
Basal Thrull (Version 3),Fallen Empires,1,FALSE,0.25,Common,,,,,
Bottomless Vault,Fallen Empires,1,FALSE,1.38,Rare,,639ae988-d1d1-4ead-b0f8-47fc39eb64a0,92,fem,rare
Brassclaw Orcs (Version 4),Fallen Empires,1,FALSE,0.25,Common,,,,,
Brassclaw Orcs (Version 2),Fallen Empires,1,FALSE,0.24,Common,,,,,
Brassclaw Orcs,Fallen Empires,1,FALSE,0.24,Common,,fc0cb8f6-6ba7-402c-9829-251f7443e871,49a,fem,common
Brassclaw Orcs (Version 3),Fallen Empires,1,FALSE,0.25,Common,,,,,
Breeding Pit,Fallen Empires,1,FALSE,0.33,Uncommon,,a0d7e85f-eba5-4fc5-9fc0-109109d368aa,35,fem,uncommon
Combat Medic (Version 2),Fallen Empires,1,FALSE,0.24,Common,,,,,
Combat Medic (Version 4),Fallen Empires,1,FALSE,0.21,Common,,,,,
Combat Medic (Version 3),Fallen Empires,1,FALSE,0.22,Common,,,,,
Combat Medic,Fallen Empires,1,FALSE,0.23,Common,,9cfd96cb-03d6-4845-8595-50bf17b35726,1a,fem,common
Deep Spawn,Fallen Empires,1,FALSE,0.28,Uncommon,,69c9e4a5-735f-471c-ab1a-6e6d50ba5724,17,fem,uncommon
Delif's Cone,Fallen Empires,1,FALSE,0.25,Common,,262b8788-c5a0-4c8e-9d58-b769b1b0a2ff,84,fem,common
Delif's Cube,Fallen Empires,1,FALSE,0.95,Rare,,14749600-9eca-4122-b04f-30ddda091b74,85,fem,rare
Draconian Cylix,Fallen Empires,1,FALSE,1.09,Rare,,a419c9e3-5615-44f9-9256-94a3022bb69f,86,fem,rare
Dwarven Armorer,Fallen Empires,1,FALSE,3.28,Rare,,1d50bf06-97ab-4874-a484-9289f41dc98e,50,fem,rare
Dwarven Catapult,Fallen Empires,1,FALSE,0.25,Uncommon,,8c1c6932-638a-4df7-bf9b-8d921f7484d9,51,fem,uncommon
Dwarven Hold,Fallen Empires,1,FALSE,1.38,Rare,,a3142ded-ff62-4817-aa54-75a7ea4498a6,93,fem,rare
Dwarven Lieutenant,Fallen Empires,1,FALSE,0.28,Uncommon,,ea9a38b1-4676-425a-b40d-4fb478966024,52,fem,uncommon
Dwarven Ruins,Fallen Empires,1,FALSE,0.93,Uncommon,,0dfe1352-27be-4c99-a58f-b961f911f270,94,fem,uncommon
Dwarven Soldier (Version 3),Fallen Empires,1,FALSE,0.24,Common,,,,,
Dwarven Soldier (Version 2),Fallen Empires,1,FALSE,0.25,Common,,,,,
Elven Fortress (Version 3),Fallen Empires,1,FALSE,0.25,Common,,,,,
Elven Fortress (Version 2),Fallen Empires,1,FALSE,0.23,Common,,,,,
Elven Fortress,Fallen Empires,1,FALSE,0.24,Common,,9387105d-46d0-4db0-8980-dd0fded15eef,65a,fem,common
Elven Fortress (Version 4),Fallen Empires,1,FALSE,0.24,Common,,,,,
Elven Lyre,Fallen Empires,1,FALSE,0.67,Rare,,c3a8cd72-04c0-46f7-a249-f1cecddfdc26,87,fem,rare
Elvish Hunter (Version 2),Fallen Empires,1,FALSE,0.25,Common,,,,,
Elvish Hunter,Fallen Empires,1,FALSE,0.25,Common,,e00455ac-c7ce-4916-98ed-cca9354e3f22,67a,fem,common
Elvish Hunter (Version 3),Fallen Empires,1,FALSE,0.23,Common,,,,,
Elvish Scout (Version 3),Fallen Empires,1,FALSE,0.25,Common,,,,,
Elvish Scout (Version 2),Fallen Empires,1,FALSE,0.20,Common,,,,,
Elvish Scout,Fallen Empires,1,FALSE,0.25,Common,,689cd2ed-be81-4769-a8ec-287946301396,68a,fem,common
Farrelite Priest,Fallen Empires,1,FALSE,0.25,Uncommon,,e11bf79b-a951-4d0c-acdf-d8ba5290a648,4,fem,uncommon
Farrel's Mantle,Fallen Empires,1,FALSE,0.25,Uncommon,,af092da3-8713-4a59-86d3-827b942d6456,2,fem,uncommon
Farrel's Zealot,Fallen Empires,1,FALSE,0.23,Common,,0401bd23-9f81-40b7-a6c2-e3f9847d175c,3a,fem,common
Farrel's Zealot (Version 2),Fallen Empires,1,FALSE,0.25,Common,,,,,
Farrel's Zealot (Version 3),Fallen Empires,1,FALSE,0.24,Common,,,,,
Feral Thallid,Fallen Empires,1,FALSE,0.26,Uncommon,,e585241e-c647-456d-b3b1-3d48dd78c372,69,fem,uncommon
Goblin Chirurgeon,Fallen Empires,1,FALSE,0.75,Common,,2b710c21-e9f5-4660-80f6-2104ec65f63f,54a,fem,common
Goblin Chirurgeon (Version 3),Fallen Empires,1,FALSE,0.76,Common,,,,,
Goblin Flotilla,Fallen Empires,1,FALSE,0.75,Rare,,87024efe-4a74-49fe-a43a-480bed0a650a,55,fem,rare
Goblin Kites,Fallen Empires,1,FALSE,0.25,Uncommon,,a0a27ac3-2273-469a-92ba-3f4a3d55de6f,57,fem,uncommon
Goblin War Drums (Version 2),Fallen Empires,1,FALSE,0.25,Common,,,,,
