Name,Set,Qty,Foil,Avg Price,Rarity,Number,scryfall_id,collector_number,scryfall_set,scryfall_rarity
Abzan Advantage,Fate Reforged,1,FALSE,0.15,Common,2,3ffd46f5-afd1-4130-b019-d8822e61fdfa,2,frf,common
Abzan Beastmaster,Fate Reforged,1,TRUE,0.78,Uncommon,119,219c4ab2-1f7c-469b-a72a-d435213f130c,119,frf,uncommon
Abzan Runemark,Fate Reforged,1,FALSE,0.15,Common,3,fe356261-3126-41f1-ae71-b69ca5641f84,3,frf,common
Abzan Skycaptain,Fate Reforged,1,FALSE,0.15,Common,4,c4195373-e902-4fc3-aead-1f6e728dbbae,4,frf,common
Ainok Guide,Fate Reforged,1,FALSE,0.15,Common,121,c361ea9c-a989-4ded-8b2c-f565aa9d8a1d,121,frf,common
"Alesha, Who Smiles at Death",Fate Reforged,1,FALSE,0.34,Rare,90,09ac9669-d0ee-4df8-af77-12dfccac774f,90,frf,rare
Ambush Krotiq,Fate Reforged,1,FALSE,0.15,Common,122,fd3068c6-d403-46d5-b3d7-1c3b00b9a9b1,122,frf,common
Arashin Cleric,Fate Reforged,1,FALSE,0.20,Common,5,10aeac19-6892-448e-9e5f-302051a089fc,5,frf,common
Aven Skirmisher,Fate Reforged,1,FALSE,0.15,Common,6,05f7a3b1-4d92-4d32-a823-2e774c6e7e73,6,frf,common
Bathe in Dragonfire,Fate Reforged,1,FALSE,0.15,Common,92,b8cc6931-2005-4d0a-a42a-ce8bc279372e,92,frf,common
Battle Brawler,Fate Reforged,1,FALSE,0.23,Uncommon,63,7c9b5baf-6163-48a9-b58d-195edfeb437d,63,frf,uncommon
Battlefront Krushok,Fate Reforged,1,FALSE,0.20,Uncommon,125,e3b425cd-c5a5-48e9-b697-3860dfa6d5d3,125,frf,uncommon
Bloodfell Caves,Fate Reforged,1,FALSE,0.20,Common,165,cbb65512-fb39-473e-b646-15ed81b55d17,165,frf,common
Citadel Siege,Fate Reforged,1,FALSE,0.40,Rare,8,239c373a-465c-4cda-9895-624871d8606e,8,frf,rare
Collateral Damage,Fate Reforged,1,FALSE,0.17,Common,95,fb738362-b0b4-4811-9fbf-5f45c852c822,95,frf,common
Dark Deal,Fate Reforged,1,FALSE,4.79,Uncommon,66,69dfaafe-2fbd-4f2f-913d-ea64e4ce44cd,66,frf,uncommon
Defiant Ogre,Fate Reforged,1,FALSE,0.15,Common,96,09cfd3d5-1b44-4dc7-b35d-703f3a75da88,96,frf,common
Dismal Backwater,Fate Reforged,1,FALSE,0.20,Common,168,69005861-f228-444d-ae64-d36ec74b23da,168,frf,common
Douse in Gloom,Fate Reforged,1,FALSE,0.15,Common,68,9b710fcd-0721-4720-a8fa-6d9ceb7b8104,68,frf,common
Dragon Bell Monk,Fate Reforged,1,FALSE,0.15,Common,10,7ed0c9c7-e50d-4bcf-a90e-89cb441de0af,10,frf,common
Elite Scaleguard,Fate Reforged,1,FALSE,0.20,Uncommon,12,55ac3224-54af-4688-a015-6a447971544e,12,frf,uncommon
Enhanced Awareness,Fate Reforged,1,FALSE,0.16,Common,33,21df7db7-c23b-4dca-b9c8-c785d7007285,33,frf,common
Ethereal Ambush,Fate Reforged,1,FALSE,0.15,Common,152,825d3f4d-eba3-4c45-8846-03b246e93f6c,152,frf,common
Fascination,Fate Reforged,1,FALSE,0.30,Uncommon,34,37c96615-0dcb-4108-978a-b41b43e12f38,34,frf,uncommon
Fearsome Awakening,Fate Reforged,1,FALSE,0.28,Uncommon,69,5a672979-024a-4f69-91ae-a2cf4055e0a8,69,frf,uncommon
Formless Nurturing,Fate Reforged,1,FALSE,0.16,Common,129,f70646e4-936a-4c2a-8d4a-a2c659733093,129,frf,common
Goblin Boom Keg,Fate Reforged,1,FALSE,0.20,Uncommon,159,14343e23-83fb-4d2e-a272-20d7787ef2ca,159,frf,uncommon
Goblin Heelcutter,Fate Reforged,1,TRUE,0.29,Common,102,5b3bfeb6-95d6-4f00-8981-c6d3c9c93f67,102,frf,common
Gore Swine,Fate Reforged,1,FALSE,0.15,Common,103,31c36d53-1173-4a55-8fb8-63a624fde7de,103,frf,common
Great-Horn Krushok,Fate Reforged,1,FALSE,0.15,Common,13,122e08cb-407b-4b3d-8af0-077ff96bf160,13,frf,common
Grim Contest,Fate Reforged,1,FALSE,0.15,Common,153,24c44722-c65a-41ae-92a9-9c9d7d759a8e,153,frf,common
Harsh Sustenance,Fate Reforged,1,FALSE,0.18,Common,154,770d60a0-23fc-4224-873c-2e5549b3a816,154,frf,common
Hero's Blade,Fate Reforged,1,FALSE,0.25,Uncommon,160,e69b72c1-232c-420e-b900-6dfe73cfff13,160,frf,uncommon
Hooded Assassin,Fate Reforged,1,FALSE,0.15,Common,73,05d4da1d-5b8c-43be-aa30-22df69c0cc23,73,frf,common
Hunt the Weak,Fate Reforged,1,FALSE,0.15,Common,133,bbdaf8bc-e7ce-4cfc-963a-c3fb924a8fa7,133,frf,common
Island,Fate Reforged,1,FALSE,0.20,Basic Land,178,99702ff6-e496-422a-aa62-ec933110acf7,178,frf,common
Jeskai Runemark,Fate Reforged,1,FALSE,0.15,Common,37,2ada6302-326b-4ab1-a9a3-ae4fa6a9001c,37,frf,common
Jungle Hollow,Fate Reforged,1,FALSE,0.20,Common,169,0a5b4535-468b-44b9-9ae3-d09a2228f1cc,169,frf,common
Lightning Shrieker,Fate Reforged,1,FALSE,0.16,Common,106,0071bf6e-a78b-4286-b3e7-acf44631a001,106,frf,common
Lotus-Eye Mystics,Fate Reforged,1,FALSE,0.20,Uncommon,17,e8bf97a0-2b90-4006-8a54-7795dbc0dba1,17,frf,uncommon
Map the Wastes,Fate Reforged,1,FALSE,0.19,Common,134,039b61b1-79d5-44b6-8c0f-b8e8e508e5a9,134,frf,common
Mardu Scout,Fate Reforged,1,FALSE,0.15,Common,108,0e7891b8-ba69-4c5b-a29f-ee7bcf2374f0,108,frf,common
Mardu Strike Leader,Fate Reforged,1,FALSE,0.35,Rare,75,c93fd5f0-fb62-42cc-8c7d-c0368e191c4b,75,frf,rare
Merciless Executioner,Fate Reforged,1,FALSE,0.33,Uncommon,76,7c588d7a-e352-40a0-9fc7-55c7b4bfd013,76,frf,uncommon
Mountain,Fate Reforged,1,FALSE,0.19,Basic Land,183,55483163-c53a-424d-9cc4-74da9aa6dff9,182,frf,common
Noxious Dragon,Fate Reforged,1,FALSE,0.20,Uncommon,77,cece7235-604c-49b6-b80f-3229a20b154f,77,frf,uncommon
Plains,Fate Reforged,1,FALSE,0.15,Basic Land,176,65b7eb6a-aed1-4fc9-9b10-06169fa50690,176,frf,common
Plains,Fate Reforged,1,FALSE,0.15,Basic Land,177,65b7eb6a-aed1-4fc9-9b10-06169fa50690,176,frf,common
Pressure Point,Fate Reforged,1,FALSE,0.15,Common,21,d0027360-736c-4b3e-b2cd-0d821cca587a,21,frf,common
Qarsi High Priest,Fate Reforged,1,FALSE,0.20,Uncommon,80,58c1bdbc-2bf4-4036-bf83-669c27458c6e,80,frf,uncommon
Reach of Shadows,Fate Reforged,1,FALSE,0.15,Common,81,bbf9a803-473a-4c38-b352-d47c4fd93d5e,81,frf,common
Refocus,Fate Reforged,1,FALSE,0.25,Common,47,35c78973-f2ae-4c76-802f-793d1022fcbd,47,frf,common
Sandblast,Fate Reforged,1,FALSE,0.15,Common,24,b7305cd4-a9f1-4801-bdfe-b07869ed5b56,24,frf,common
Sandsteppe Outcast,Fate Reforged,1,FALSE,0.17,Common,25,f29943bb-aa89-443b-96b7-8f6f24672a9d,25,frf,common
Scoured Barrens,Fate Reforged,1,FALSE,0.20,Common,171,84f0d2ed-063a-4086-8563-de3bc71330cf,171,frf,common
Sibsig Host,Fate Reforged,1,FALSE,0.15,Common,82,2791f1a5-bf29-48ac-8a41-88b7f97ede41,82,frf,common
Smoldering Efreet,Fate Reforged,1,FALSE,0.18,Common,115,af33b204-6b50-4404-b986-9f6b970a7f06,115,frf,common
Soul Summons,Fate Reforged,1,FALSE,0.16,Common,26,fb884ac2-c990-4ab0-8610-e07d93da2f13,26,frf,common
Sultai Emissary,Fate Reforged,1,FALSE,0.19,Common,85,12421e1c-5144-4391-abf2-a2fb864920e9,85,frf,common
Sultai Runemark,Fate Reforged,1,FALSE,0.15,Common,86,98d73ae0-de01-4a70-a51c-b990687561a1,86,frf,common
Sultai Skullkeeper,Fate Reforged,1,FALSE,0.15,Common,53,21a93355-553c-456b-999b-e9f826a1f572,53,frf,common
Swamp,Fate Reforged,1,FALSE,0.18,Basic Land,180,21900fe6-ae43-42af-a601-d70c25457239,180,frf,common
Swamp,Fate Reforged,1,FALSE,0.18,Basic Land,181,21900fe6-ae43-42af-a601-d70c25457239,180,frf,common
Temur Battle Rage,Fate Reforged,1,FALSE,0.25,Common,116,8a1dd786-f4e3-4951-b87b-82442edec016,116,frf,common
Temur Runemark,Fate Reforged,1,TRUE,0.25,Common,140,ddd76874-842e-4f4c-b18e-0e441dae59d7,140,frf,common
Tranquil Cove,Fate Reforged,1,FALSE,0.19,Common,174,685ef7b5-ffad-4342-9a3a-f01a6d67d5e2,174,frf,common
Typhoid Rats,Fate Reforged,1,FALSE,0.20,Common,89,d13cb90b-50c3-46ef-83f8-812dfb7ff881,89,frf,common
Wandering Champion,Fate Reforged,1,FALSE,0.20,Uncommon,29,59086792-c048-455f-ac0d-1a4a994bd621,29,frf,uncommon
War Flare,Fate Reforged,1,FALSE,0.18,Common,158,243f33d8-ec20-4376-99c2-a12098773dee,158,frf,common
Warden of the First Tree,Fate Reforged,1,FALSE,0.50,Mythic Rare,143,2e0c6628-04f1-4800-baa8-bcaefe64f59f,143,frf,mythic
Wardscale Dragon,Fate Reforged,1,FALSE,0.25,Uncommon,30,d4290215-3aec-40b8-aac5-e5c39c035cfe,30,frf,uncommon
Whisperwood Elemental,Fate Reforged,1,FALSE,0.74,Mythic Rare,145,66c61828-98b9-4264-b3dd-e83f881f4a67,145,frf,mythic
Wild Slash,Fate Reforged,1,TRUE,1.20,Uncommon,118,6975490f-7679-48b3-ba34-04dec97a29c2,118,frf,uncommon
